鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~30號,3.66,住,,,1050201,土地1建物1車位1,二十九層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,113.88,2,2,1,有,有,有,12000,105,坡道平面,12.65,0,,RPRNMLLJKHLFFBE47CC
苓雅區,房地(土地+建物),高雄市苓雅區青年一路391~420號,162.0,商,,,1050127,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0650612,74.23,0,2,1,有,無,有,42000,566,,0.0,0,,RPSNMLLJKHLFFBE57CC
新興區,房地(土地+建物),高雄市新興區五福二路121~150號,82.0,商,,,1050101,土地1建物1車位0,見其他登記事項,6,店面(店鋪),見使用執照,鋼筋混凝土造,0721015,189.9,0,0,0,無,有,有,70000,369,,0.0,0,105、106年，每月租金7萬元整107至109年，每月租金7.5萬元整110年，每月租金8.5萬元整,RPUNMLLJKHLFFBE77CC
苓雅區,房地(土地+建物),高雄市苓雅區建國一路181~210號,35.62,商,,,1031215,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660622,58.53,0,0,0,無,無,無,10000,171,,0.0,0,,RPPOMLLJKHLFFBE37CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,2.7,商,,,1050114,土地1建物1車位0,十七層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,126.69,3,2,2,有,有,有,12000,95,,0.0,0,,RPQOMLLJKHLFFBE47CC
新興區,房地(土地+建物)+車位,高雄市新興區民生二路31~60號,6.63,商,,,1050126,土地1建物1車位1,二十八層,41,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0900326,254.98000000000002,3,2,2,有,有,有,40000,157,坡道平面,16.86,0,,RPSOMLLJKHLFFBE67CC
鼓山區,房地(土地+建物),高雄市鼓山區河西一路1441~1470號,29.92,住,,,1050131,土地1建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990504,278.1,3,2,2,有,有,有,29000,104,,0.0,0,,RPVNMLLJKHLFFAE77CC
鼓山區,房地(土地+建物),高雄市鼓山區裕國街61~90號,16.24,住,,,1031222,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,135.99,3,2,2,有,有,有,22000,162,,0.0,0,含稅,RPXNMLLJKHLFFAE97CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街91~120號,13.64,住,,,1050131,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,122.44,2,1,1,有,無,有,22000,180,坡道機械,17.35,0,,RPQOMLLJKHLFFAE37CC
前鎮區,建物,高雄市前鎮區佛中路61~90號,0.0,商,,,1050130,土地0建物1車位1,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,0800301,178.18,0,0,0,無,有,無,13000,73,坡道平面,0.0,0,租金含B2/10號坡道平面車位.換約,RPUNMLLJKHLFFCE87CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區英明路5巷1~30號,19.65,住,,,1050113,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020918,158.76999999999998,2,2,2,有,有,無,23000,145,坡道平面,24.41,0,,RPTOMLLJKHLFFCE87CC
前鎮區,建物,高雄市前鎮區精忠街114巷2弄1~30號,30.5,住,,,1050201,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700305,75.24,3,2,2,有,無,無,6000,80,,0.0,0,,RPUOMLLJKHLFFCE97CC
前鎮區,建物,高雄市前鎮區中山二路1~30號,0.0,商,,,1050126,土地0建物1車位0,二十四層,28,辦公商業大樓,商業用,鋼筋混凝土造,0870714,194.17,3,1,0,有,有,有,23100,119,,0.0,0,,RPWOMLLJKHLFFCE18CC
三民區,房地(土地+建物),高雄市三民區建工路361~390號,28.42,商,,,1050131,土地2建物1車位0,四層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0661109,66.04,3,2,2,有,無,無,9000,136,,0.0,0,,RPPNMLLJKHLFFDE47CC
三民區,房地(土地+建物),高雄市三民區正忠路211~240號,58.0,住,,,1050127,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0660426,55.69,1,0,1,有,無,有,7500,135,,0.0,0,,RPUNMLLJKHLFFDE97CC
