編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLMJKHLFFAT76CA,坡道平面,0,
RPUNMLPJKHLFFAT76CA,坡道機械,0,
RPUOMLNJKHLFFAT66CA,坡道平面,0,
RPQOMLOJLHLFFAT09CA,坡道平面,0,4.34
RPQOMLOJLHLFFAT09CA,坡道平面,0,4.34
RPSOMLSKKHLFFAT07CA,坡道平面,0,
RPOOMLSKKHLFFAT66CA,坡道平面,0,
RPPOMLSKKHLFFAT76CA,坡道平面,0,
RPTOMLSKKHLFFAT17CA,坡道平面,0,
RPXNMLSKKHLFFAT47CA,坡道平面,0,
RPQOMLSKKHLFFAT86CA,坡道平面,0,
RPVOMLSKKHLFFAT37CA,坡道平面,0,
RPRNMLSKKHLFFAT86CA,坡道平面,0,
RPUOMLSKKHLFFAT27CA,坡道平面,0,
RPWOMLSKKHLFFAT47CA,坡道平面,0,
RPUNMLSKKHLFFAT17CA,坡道平面,0,
RPSNMLSKKHLFFAT96CA,坡道平面,0,
RPXOMLSKKHLFFAT57CA,坡道平面,0,
RPWNMLSKKHLFFAT37CA,坡道平面,0,
RPSNMLPLKHLFFAT76CA,坡道平面,0,
RPWOMLOLKHLFFAT17CA,一樓平面,0,8.21
RPUOMLOLKHLFFAT96CA,一樓平面,0,8.16
RPXOMLOLKHLFFAT27CA,一樓平面,0,8.21
RPUOMLNLKHLFFAT86CA,一樓平面,0,19.51
RPWNMLNLKHLFFAT96CA,坡道平面,0,
RPPOMLNLKHLFFAT98CA,坡道平面,0,
RPQOMLNLKHLFFAT09CA,坡道平面,0,
RPPOMLTJLHLFFAT86CA,坡道平面,0,
RPVTMLPLKHLFFAT67CA,坡道平面,0,
RPPNMLTJLHLFFAT76CA,一樓平面,0,
RPPNMLTJLHLFFAT76CA,一樓平面,0,
RPXNMLRKLHLFFAT47CA,一樓平面,0,
RPWNMLQLKHLFFAT27CA,坡道平面,0,
RPXNMLQLKHLFFAT37CA,坡道平面,0,
RPOOMLQLKHLFFAT56CA,坡道平面,0,
RPQNMLMJLHLFFAT78CA,坡道平面,388000,24.00
RPSOMLLJLHLFFAT98CA,坡道平面,0,
RPRNMLMJLHLFFDT56CA,坡道平面,0,
RPQOMLNJLHLFFAT98CA,一樓平面,0,8.21
RPRNMLOJLHLFFAT09CA,坡道機械,0,
RPQPMLSKLHLFFAT07CA,坡道平面,0,4.34
RPSNMLSJLHLFFDT27CA,升降機械,0,
RPRNMLSJLHLFFAT86CA,坡道平面,0,
RPQNMLSJLHLFFAT76CA,坡道平面,0,
RPRPMLSKLHLFFAT17CA,坡道平面,0,4.34
RPSNMLMLLHLFFAT56CA,坡道平面,0,6.51
RPPNMLOJMHLFFAT98CA,一樓平面,0,
RPRPMLPKLHLFFAT86CA,坡道平面,0,
RPVNMLSLLHLFFAT47CA,坡道機械,0,
RPQNMLRKLHLFFAT76CA,坡道平面,480000,24.00
RPUNMLLLLHLFFAT66CA,一樓平面,0,8.16
RPRNMLLLLHLFFAT98CA,坡道平面,0,24.00
RPPOMLNKMHLFFAT09CA,一樓平面,0,
RPROMLLLLHLFFAT09CA,坡道平面,0,24.00
RPVNMLMLLHLFFAT86CA,升降機械,0,
RPOOMLNLLHLFFAT98CA,坡道平面,0,24.00
RPQNMLOLLHLFFAT56CA,坡道平面,0,
RPPNMLPLLHLFFAT56CA,坡道平面,0,
RPQNMLQJMHLFFAT76DA,坡道平面,0,
RPRNMLQJMHLFFAT86DA,坡道平面,0,
RPQNMLSJMHLFFDT17CA,一樓平面,0,
RPQNMLSJMHLFFDT17CA,一樓平面,0,
RPRNMLSJMHLFFDT27CA,一樓平面,0,
RPRNMLSJMHLFFDT27CA,一樓平面,0,
RPOPMLOLLHLFFAT56CA,坡道平面,0,
RPSNMLSJMHLFFDT37CA,一樓平面,0,
RPSNMLSJMHLFFDT37CA,一樓平面,0,
RPSNMLQJMHLFFAT96DA,坡道平面,0,
RPOOMLRJMHLFFAT66CA,坡道平面,0,
RPQNMLMJMHLFFDT56CA,坡道平面,0,
RPPNMLMJMHLFFDT09CA,坡道平面,0,
RPTNMLQJMHLFFAT07DA,坡道平面,0,
RPOPMLRJMHLFFAT76CA,坡道平面,0,24.00
RPVNMLRJMHLFFAT27CA,一樓平面,0,8.21
RPPOMLRJMHLFFCT96CA,坡道平面,0,
RPOOMLNKMHLFFAT09DA,坡道平面,0,
RPSOMLKLMHLFFAT56CA,坡道機械,0,
RPQNMLTKMHLFFAT17DA,坡道平面,0,
RPTNMLPKMHLFFCT17CA,坡道平面,0,
RPVOMLPKMHLFFAT27CA,一樓平面,0,
