鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
七堵區,房地(土地+建物),長安段31~60地號,41.78,住,,,1040215,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.98,3,2,2,有,無,7800000,56123,,0.0,0,,RPSNMLTKKHLFFCC38DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,34.19,住,,,1031228,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7500000,84213,坡道平面,33.99,1200000,,RPTNMLTKKHLFFCC48DB
七堵區,房地(土地+建物),長安段31~60地號,33.99,住,,,1031220,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,5980000,54963,,0.0,0,,RPUNMLTKKHLFFCC58DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,34.19,住,,,1031228,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7800000,88223,坡道平面,33.99,1200000,,RPVNMLTKKHLFFCC68DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,38.98,住,,,1031212,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.98,3,2,2,有,無,8890000,86414,坡道平面,33.99,1200000,,RPWNMLTKKHLFFCC78DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,37.38,住,,,1031221,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.4,3,2,2,有,無,8300000,77672,坡道平面,33.99,1200000,,RPXNMLTKKHLFFCC88DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,41.98,住,,,1040424,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.74,3,2,2,有,無,11500000,98345,坡道平面,33.99,1100000,,RPOOMLTKKHLFFCC08DB
七堵區,房地(土地+建物),長安段31~60地號,41.78,住,,,1040723,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.98,3,2,2,有,無,7780000,55979,,0.0,0,,RPPOMLTKKHLFFCC18DB
七堵區,房地(土地+建物),長安段31~60地號,41.78,住,,,1040726,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.98,3,2,2,有,無,7780000,55979,,0.0,0,,RPQOMLTKKHLFFCC28DB
七堵區,房地(土地+建物),長安段31~60地號,41.38,住,,,1040530,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.52,3,2,2,有,無,7650000,57727,,0.0,0,,RPROMLTKKHLFFCC38DB
七堵區,房地(土地+建物),長安段31~60地號,41.38,住,,,1040311,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.52,3,2,2,有,無,8000000,60368,,0.0,0,,RPSOMLTKKHLFFCC48DB
七堵區,房地(土地+建物),長安段31~60地號,33.99,住,,,1040412,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,6500000,59743,,0.0,0,,RPUOMLTKKHLFFCC68DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,34.19,住,,,1040530,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,8000000,92234,坡道平面,33.99,1100000,,RPWOMLTKKHLFFCC88DB
七堵區,房地(土地+建物)+車位,長安段31~60地號,34.19,住,,,1040611,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.8,3,2,2,有,無,7760000,84518,坡道平面,30.0,1100000,,RPXOMLTKKHLFFCC98DB
七堵區,房地(土地+建物),長安段31~60地號,38.78,住,,,1040726,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.98,3,2,2,有,無,6880000,55944,,0.0,0,,RPOPMLTKKHLFFCC18DB
