鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,1050112,土地0建物0車位1,,,其他,,,,34.99,0,0,0,有,有,400000,,坡道平面,34.99,400000,,RPUNMLNJKHLFFBC57CA
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,1050121,土地0建物0車位1,,,其他,,,,34.99,0,0,0,有,有,400000,,坡道平面,34.99,400000,,RPVNMLNJKHLFFBC67CA
信義區,房地(土地+建物),基隆市信義區教孝街61~90號,20.9,住,,,1050101,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,113.39,3,2,2,有,有,4150000,36599,,0.0,0,,RPOQMLNJKHLFFBC27CA
信義區,房地(土地+建物),基隆市信義區教忠街194巷1~30號,151.74,住,,,1041216,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930615,213.29999999999998,4,3,3,有,無,13600000,63760,,0.0,0,,RPTQMLNJKHLFFBC77CA
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街91~120號,35.26,住,,,1040519,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041020,223.09,4,2,2,有,有,11800000,57707,坡道平面,37.67,1100000,,RPSOMLQKKHLFFBC87CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街241~270號,22.13,住,,,1050109,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,156.5,1,1,2,有,有,4700000,30032,坡道平面,0.0,0,,RPSNMLOLKHLFFBC67CA
中正區,房地(土地+建物),基隆市中正區新豐街162巷61~90號,41.72,住,,,1050104,土地9建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980629,135.74,3,2,2,有,有,8000000,58936,,0.0,0,,RPTOMLLJLHLFFBC47CA
安樂區,房地(土地+建物),基隆市安樂區安和一街181~210號,54.85,住,,,1050107,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710911,89.79,3,2,2,有,無,5000000,55685,,0.0,0,,RPROMLMJKHLFFCC37CA
中山區,土地,德育段781~810地號,12.96,住,,,1050122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,34722,,0.0,0,未辦理保存登記之車位交易。現況土地係規劃成21個停車位使用。,RPQNMLNJKHLFFCC27CA
