編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLOJKHLFFAU76CA,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,一層
RPUNMLOJKHLFFAU76CA,17,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPNMLSKKHLFFAU76CA,8,245.38,農舍,鋼筋混凝土造,96年4月16日,三層,二層 三層 屋頂突出物 一層
RPSNMLOJKHLFFAU56CA,15,107.81,住家用,鋼筋混凝土造,90年4月23日,四層,二層
RPSNMLOJKHLFFAU56CA,15,26.47,見其他登記事項,鋼筋混凝土造,90年4月23日,四層,
RPTOMLMJKHLFFAU56CA,44,83.85,住家用,鋼筋混凝土加強磚造,60年10月5日,二層,一層 二層
RPRNMLMJKHLFFAU88CA,17,118.90,住家用,鋼筋混凝土造,88年4月14日,五層,一層
RPRNMLMJKHLFFAU88CA,17,8.61,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPROMLMJKHLFFAU98CA,22,82.41,住家用,鋼筋混凝土造,82年9月9日,六層,三層
RPROMLMJKHLFFAU98CA,22,33.37,共有部份,鋼筋混凝土造,82年9月9日,六層,
RPOOMLPKKHLFFAU09CA,5,185.94,住家用,鋼筋混凝土造,99年10月8日,三層,一層 二層 三層 見其他登記事項
RPOOMLTKKHLFFAU86CA,23,110.96,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,八層
RPOOMLTKKHLFFAU86CA,23,18.47,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPUOMLOLKHLFFAU07CA,6,233.53,住家用,鋼筋混凝土造,98年12月9日,三層,一層 二層 三層
RPQOMLMLKHLFFAU09CA,1,367.40,住家用,鋼筋混凝土造,103年10月15日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPVOMLNLKHLFFAU07CA,12,202.13,農舍,鋼筋混凝土造,91年7月26日,,一層
RPQOMLNLKHLFFAU56CA,44,209.18,住家用,鋼筋混凝土加強磚造,61年1月1日,二層,一層 二層
RPVOMLOJKHLFFAU17EA,25,211.17,住家用,鋼筋混凝土造,80年4月10日,二層,一層 二層 屋頂突出物 騎樓
RPOPMLMJKHLFFAU98EA,18,101.77,住家用,鋼筋混凝土造,86年7月18日,十二層,七層
RPOPMLMJKHLFFAU98EA,18,25.85,共有部份,鋼筋混凝土造,86年7月18日,十二層,
RPTOMLNLKHLFFAU86CA,20,61.71,住家用,鋼筋混凝土造,85年2月5日,十二層,七層
RPTOMLNLKHLFFAU86CA,20,9.56,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPTOMLNLKHLFFAU86CA,20,8.89,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPPNMLQKKHLFFBU66CA,,120.18,住家用,加強磚造,,二層,一層 二層
RPROMLMLKHLFFAU56CA,38,53.38,住家用,鋼筋混凝土加強磚造,66年7月11日,一層,一層
RPPPMLMJKHLFFAU09EA,29,81.80,住家用,鋼筋混凝土造,75年7月22日,五層,三層
RPPPMLMJKHLFFAU09EA,29,6.89,共有部份,鋼筋混凝土造,75年7月22日,五層,
RPWNMLPJKHLFFAU07CA,21,74.36,住家用,鋼筋混凝土造,83年10月26日,九層,五層
RPWNMLPJKHLFFAU07CA,21,6.18,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPWNMLPJKHLFFAU07CA,21,18.81,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPSNMLRKKHLFFAU96CA,,326.73,住家用,鋼筋混凝土造,104年11月30日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPUPMLOJKHLFFAU96CA,3,249.43,農舍,鋼筋混凝土造,101年9月6日,三層,一層 二層 三層
RPTNMLNJKHLFFAU56CA,16,20.04,住家用,鋼筋混凝土造,88年11月25日,六層,三層
RPTNMLNJKHLFFAU56CA,16,14.25,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPPOMLOJKHLFFAU98CA,,221.56,住家用,鋼筋混凝土造,104年12月7日,四層,一層 二層 三層 四層
RPROMLOJKHLFFAU56CA,,200.26,住家用,鋼筋混凝土造,104年12月7日,三層,一層 二層 三層 屋頂突出物
RPQOMLOJKHLFFAU09CA,,203.22,住家用,鋼筋混凝土造,104年12月7日,三層,一層 二層 三層 屋頂突出物
RPTOMLOJKHLFFAU76CA,,187.96,住家用,鋼筋混凝土造,104年12月7日,三層,一層 二層 三層 屋頂突出物
