編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSOMLMJJIKFFDA47CC,坡道平面,0,116.39
RPQPMLMJJIKFFBA17CC,坡道平面,0,20.51
RPRPMLMJJIKFFBA27CC,坡道平面,0,27.66
RPVNMLMJJIKFFBA47CC,坡道平面,0,38.07
RPWNMLMJJIKFFCA67CC,坡道平面,0,43.91
RPOOMLMJJIKFFCA96CC,坡道機械,0,16.52
RPWOMLMJJIKFFCA77CC,坡道平面,0,13.40
RPUOMLMJJIKFFCA57CC,坡道平面,0,12.38
RPWPMLNJJIKFFCA97CC,坡道平面,0,40.29
RPWPMLNJJIKFFCA97CC,坡道平面,0,40.29
RPOOMLNJJIKFFCA07CC,坡道平面,0,26.12
RPPQMLNJJIKFFCA37CC,坡道平面,0,48.30
RPRQMLNJJIKFFCA57CC,坡道平面,0,
RPTNMLNJJIKFFFA77CC,坡道平面,0,18.13
RPPOMLNJJIKFFEA37CC,一樓平面,0,30.53
RPPPMLNJJIKFFEA47CC,坡道平面,0,
RPUOMLOJJIKFFDA87CC,坡道平面,0,44.37
RPTNMLOJJIKFFDA67CC,坡道平面,0,36.43
RPQNMLOJJIKFFCA27CC,坡道平面,0,32.03
RPQNMLOJJIKFFCA27CC,坡道平面,0,32.03
RPTNMLPJJIKFFCA67CC,坡道平面,0,47.10
RPUNMLPJJIKFFEA97CC,坡道平面,0,
RPVNMLPJJIKFFEA08CC,坡道平面,0,
RPUNMLPJJIKFFDA87CC,坡道平面,0,43.50
RPUNMLPJJIKFFDA87CC,坡道平面,0,43.50
RPTOMLQJJIKFFEA08CC,坡道平面,0,9.90
RPQNMLTJJIKFFBA67CC,坡道平面,7000,46.90
RPPOMLKKJIKFFDA07CC,坡道平面,0,27.57
RPPOMLKKJIKFFDA07CC,坡道平面,0,27.57
RPPOMLKKJIKFFDA07CC,坡道平面,0,27.57
RPPOMLKKJIKFFDA07CC,坡道平面,0,27.57
RPQNMLKKJIKFFFA27CC,坡道平面,0,38.90
