編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLRKJIKFFAU66CA,豐東段,768.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLMJJIKFFAU09CA,豐山段,76.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLMJJIKFFAU56CA,慈安段,89.73,都市：住
RPUNMLOJJIKFFAU66CA,興海段,991.98,都市：農
RPTOMLTJJIKFFAU17CA,自強段,5.63,都市：住
RPUQMLMJJIKFFAU76CA,慈安段,60.69,都市：住
RPPNMLOJJIKFFAU78CA,佳東段,117.39,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJJIKFFAU78CA,佳東段,396.64,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJJIKFFAU78CA,佳東段,170.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLPJJIKFFAU56CA,永安段,111.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJJIKFFAU88CA,林森段,87.00,都市：住
RPOOMLPJJIKFFAU09EA,樹人段,4.99,都市：住
RPOOMLPJJIKFFAU09EA,樹人段,5.67,都市：商
RPSOMLPJJIKFFAU86EA,慈安段,109.00,都市：住
RPPNMLTKJIKFFAU76CA,慈雲段,1.42,都市：住
RPTNMLTKJIKFFAU17CA,慈雲段,1.42,都市：住
RPPNMLQJJIKFFBU09CA,大安段,110.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQJJIKFFBU09CA,大安段,789.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJJIKFFCU09DA,民北段,923.04,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJJIKFFCU09DA,民北段,68.01,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLOJJIKFFCU09DA,民北段,260.07,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNJJIKFFBU98EA,紅葉段,2860.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLOJJIKFFCU56DA,玉璞段,87.00,都市：住
RPUOMLTJJIKFFAU27CA,北濱段,68.00,都市：商
RPUOMLTJJIKFFAU27CA,北濱段,1.00,都市：其他
RPSNMLOJJIKFFBU76EA,大安段,104.00,都市：住
RPVNMLLKJIKFFAU76EA,光華段二小段,78.47,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLPJJIKFFAU98CA,永興段,116.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJJIKFFAU98CA,永興段,9.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
