編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLKKJIKFFAT66CC,,207.00,住商用,鋼筋混凝土加強磚造,,三層,
RPPPMLMJJIKFFAT88CC,27,359.14,見其他登記事項,鋼筋混凝土造,78年3月2日,五層,
RPQOMLTJKIKFFAT17DC,9,134.08,住商用,加強磚造,96年3月29日,二層,
RPRNMLLKJIKFFCT09CC,11,200.79,住商用,鋼筋混凝土造,94年2月22日,四層,
RPSNMLSKKIKFFCT37CC,21,3568.47,見其他登記事項,見使用執照,84年2月21日,二層,
RPSNMLNLKIKFFCT96CC,5,245.48,見使用執照,見使用執照,99年11月9日,一層,
RPWNMLKMKIKFFDT27CC,4,628.14,住家用,鋼筋混凝土構造,101年6月14日,三層,
RPVOMLQJJHLFFAT17CC,25,1042.26,見其他登記事項,加強磚造,79年7月13日,二層,
RPTOMLQJJHLFFAT07DC,11,791.70,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPTOMLQJJHLFFAT07DC,11,475.36,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPWOMLOJJHLFFAT07CC,22,108.92,住商用,鋼筋混凝土造,83年4月27日,七層,
