鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040201,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,9900000,71387,坡道平面,29.1,1300000,,RPUNMLNJJIKFFCC67CB
七堵區,房地(土地+建物),大華段1201~1230地號,34.97,住,,,1030509,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9300000,77198,,0.0,0,,RPTOMLNJJIKFFCC67CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1030312,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10300000,74707,坡道平面,29.1,1300000,,RPUOMLNJJIKFFCC77CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040131,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10880000,79522,坡道平面,29.1,1300000,,RPOPMLNJJIKFFCC27CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040207,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,11050000,80103,坡道平面,29.1,1400000,,RPTPMLNJJIKFFCC77CB
七堵區,房地(土地+建物),大華段1201~1230地號,34.97,住,,,1040211,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9200000,76368,,0.0,0,,RPUPMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040214,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.17,3,2,2,有,無,10550000,77613,坡道平面,30.7,1200000,,RPWPMLNJJIKFFCC08CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040201,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10820000,79024,坡道平面,29.1,1300000,,RPXPMLNJJIKFFCC18CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040509,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10980000,78692,坡道平面,29.1,1500000,,RPOQMLNJJIKFFCC37CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,1040201,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10930000,79937,坡道平面,29.1,1300000,,RPPQMLNJJIKFFCC47CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.28,住,,,1040131,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,10560000,72605,坡道平面,29.1,1350000,,RPRQMLNJJIKFFCC67CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.28,住,,,1040128,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,10800000,74103,坡道平面,29.1,1400000,,RPSQMLNJJIKFFCC77CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.28,住,,,1040128,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,10950000,75286,坡道平面,29.1,1400000,,RPTQMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.28,住,,,1040201,土地2建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.55,3,2,2,有,無,11050000,76862,坡道平面,30.7,1300000,,RPUQMLNJJIKFFCC97CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.28,住,,,1040207,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.95,3,2,2,有,無,11200000,78833,坡道平面,29.1,1200000,,RPVQMLNJJIKFFCC08CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,37.99,住,,,1040208,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.74,3,2,2,有,無,11650000,80068,坡道平面,29.1,1350000,,RPWQMLNJJIKFFCC18CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.96,住,,,1040126,土地2建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.69,2,2,1,有,無,8600000,78302,坡道平面,29.1,1350000,,RPXQMLNJJIKFFCC28CB
七堵區,房地(土地+建物),大華段1201~1230地號,27.17,住,,,1040126,土地2建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,6850000,74287,,0.0,0,,RPORMLNJJIKFFCC47CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.36,住,,,1040308,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.31,2,2,1,有,無,8380000,77324,坡道平面,28.1,1250000,,RPPRMLNJJIKFFCC57CB
七堵區,房地(土地+建物),大華段1201~1230地號,27.17,住,,,1040328,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7200000,78083,,0.0,0,,RPQRMLNJJIKFFCC67CB
七堵區,房地(土地+建物),大華段1201~1230地號,27.17,住,,,1040130,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7190000,77974,,0.0,0,,RPRRMLNJJIKFFCC77CB
七堵區,房地(土地+建物),大華段1201~1230地號,27.17,住,,,1040427,土地2建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.21,2,2,1,有,無,7350000,79709,,0.0,0,,RPSRMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.36,住,,,1040509,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,81336,坡道平面,29.1,1300000,,RPVRMLNJJIKFFCC18CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.36,住,,,1040320,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.91,2,2,1,有,無,8880000,82746,坡道平面,30.7,1250000,,RPWRMLNJJIKFFCC28CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.36,住,,,1040304,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,80252,坡道平面,29.1,1400000,,RPXRMLNJJIKFFCC38CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,27.36,住,,,1040227,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.31,2,2,1,有,無,8800000,81336,坡道平面,29.1,1300000,,RPOSMLNJJIKFFCC57CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040201,土地2建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5710000,80832,,0.0,0,,RPPSMLNJJIKFFCC67CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040320,土地2建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5500000,77860,,0.0,0,,RPQSMLNJJIKFFCC77CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040323,土地2建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5600000,79275,,0.0,0,,RPRSMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,20.85,住,,,1040323,土地2建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.74,1,1,1,有,無,6950000,79275,坡道平面,29.1,1350000,,RPSSMLNJJIKFFCC97CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040323,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5770000,81682,,0.0,0,,RPTSMLNJJIKFFCC08CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040307,土地2建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5600000,79275,,0.0,0,,RPUSMLNJJIKFFCC18CB
七堵區,房地(土地+建物),大華段1201~1230地號,20.66,住,,,1040324,土地2建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.64,1,1,1,有,無,5830000,82531,,0.0,0,,RPVSMLNJJIKFFCC28CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,20.85,住,,,1040411,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.74,1,1,1,有,無,7130000,82531,坡道平面,29.1,1300000,,RPWSMLNJJIKFFCC38CB
