鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站前北路1~30號,94.0,住,,,1041030,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0940609,207.61,0,0,0,無,無,無,22000,106,,0.0,0,,RPRPMLNJJIKFFAG87CC
宜蘭市,建物,宜蘭縣宜蘭市農權路91~120號,0.0,住,,,1041101,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880331,85.86,4,2,2,有,有,有,13000,151,,0.0,0,,RPOPMLNJJIKFFBG67CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段31~60號,659.25,,特定農業區,農牧用地,1041005,土地1建物1車位0,一層,1,倉庫,見其他登記事項,鋼筋混凝土造,1020415,36.45,5,0,3,有,無,無,8000,,,0.0,0,承租部分為1/5,RPQNMLOJJIKFFAG67CC
宜蘭市,建物,宜蘭縣宜蘭市東港路34巷1~30號,0.0,住,,,1041007,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840410,115.78,3,2,2,有,有,有,16000,138,,0.0,0,,RPSOMLTJJIKFFBG58CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正北路1~30號,94.0,商,,,1041108,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土加強磚造,0620401,339.37,5,2,5,有,無,無,48000,141,,0.0,0,,RPRPMLTJJIKFFAG68EC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段31~60號,659.25,,特定農業區,農牧用地,1041014,土地1建物1車位0,一層,1,倉庫,見其他登記事項,鋼筋混凝土造,1020415,36.45,5,0,3,有,無,無,6000,,,0.0,0,承租部分為4/5,RPUNMLKKJIKFFAG77CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉季水路清水一巷一弄1~30號,53.4,,鄉村區,乙種建築用地,1041026,土地1建物1車位0,三層,4,其他,見其他登記事項,鋼筋混凝土造,0870602,111.55,3,1,2,有,無,有,8000,72,,0.0,0,,RPSNMLMKJIKFFAG77CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段36巷1~30號,72.0,商,,,1041106,土地2建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0800204,109.15,4,2,2,有,無,無,8000,73,,0.0,0,,RPUNMLMKJIKFFAG97CC
宜蘭市,建物,宜蘭縣宜蘭市嵐峰路三段31~60號,0.0,,,,1041020,土地0建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1001223,11.92,0,0,0,無,無,無,11000,923,,0.0,0,,RPXPMLMKJIKFFBG58CC
