編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSNMLNJKHMFFAO78CC,坡道平面,0,
RPTOMLNJKHMFFAO98CC,坡道平面,0,
RPOPMLSJKHMFFAO09CC,坡道機械,0,
RPQPMLPKKHMFFAO09CC,坡道平面,0,
RPROMLNLKHMFFAO98CC,坡道機械,0,
RPOOMLLJLHMFFAO38CC,坡道平面,0,42.50
RPPOMLLJLHMFFAO48CC,坡道機械,0,
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.38
RPOQMLMJLHMFFAO68CC,坡道平面,4200,40.48
RPUOMLMJLHMFFAO09CC,升降平面,0,40.00
RPUOMLQJLHMFFAO86CC,升降平面,0,40.00
RPWNMLNKLHMFFAO76CC,坡道平面,0,
RPXNMLNKLHMFFAO86CC,坡道平面,0,45.55
RPPOMLMLLHMFFAO88DC,坡道平面,0,
RPPOMLMLLHMFFAO88DC,坡道平面,0,
RPOPMLNLLHMFFAO98DC,坡道平面,0,26.54
RPWOMLRLLHMFFAO37CC,坡道平面,0,
RPWOMLRLLHMFFAO37CC,坡道平面,0,
RPPPMLKMLHMFFAO78CC,坡道平面,0,
RPUOMLRLLHMFFAO17CC,坡道平面,0,34.59
RPPOMLQJMHMFFAO09CC,坡道平面,0,33.07
RPRNMLKKMHMFFAO68CC,坡道平面,0,30.55
RPTOMLKKMHMFFAO98CC,坡道平面,0,40.00
RPXOMLMKMHMFFAO96CC,坡道機械,0,
RPOOMLNKMHMFFAO78CC,坡道平面,0,29.87
RPOOMLNKMHMFFAO78CC,坡道平面,0,29.87
RPRPMLMKMHMFFAO09CC,坡道平面,0,
RPUNMLKLMHMFFAO09CC,坡道平面,0,
RPPOMLOLMHMFFAO09CC,坡道平面,0,33.58
