鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.79,住,,,1010404,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.8,2,2,1,有,無,12500000,151166,坡道平面,48.34,2000000,,RPPOMLPJNHLFFBA57CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.8,住,,,1010901,土地1建物1車位2,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.32,2,2,1,有,無,12690000,153902,坡道機械,55.86,2000000,,RPQOMLPJNHLFFBA67CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.8,住,,,1010918,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.39,2,2,1,有,無,12000000,156925,坡道機械,27.93,1100000,,RPROMLPJNHLFFBA77CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.79,住,,,1040304,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.39,2,2,1,有,無,11700000,147567,坡道機械,27.93,1450000,,RPSOMLPJNHLFFBA87CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.8,住,,,1040413,土地1建物1車位2,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.32,2,2,1,有,無,12800000,155485,坡道機械,55.86,2000000,,RPTOMLPJNHLFFBA97CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,5.59,住,,,1010606,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.66,2,2,1,有,無,6500000,158365,坡道機械,27.93,1000000,,RPUOMLPJNHLFFBA08CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,5.6,住,,,1010606,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.66,2,2,1,有,無,6490000,158077,坡道機械,27.93,1000000,,RPVOMLPJNHLFFBA18CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.8,住,,,1010915,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.39,2,2,1,有,無,12080000,156637,坡道機械,27.93,1200000,,RPWOMLPJNHLFFBA28CB
萬華區,房地(土地+建物)+車位,雙園段一小段391~420地號,11.8,住,,,1010816,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.39,2,2,1,有,無,12600000,155485,坡道機械,27.93,1800000,,RPXOMLPJNHLFFBA38CB
