鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
名間鄉,土地,埔中段661~690地號,1902.87,,一般農業區,農牧用地,1050422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,788,,0.0,0,,RPVNMLNJNHLFFAM88CA
名間鄉,土地,萬丹段541~570地號,53.75,,鄉村區,乙種建築用地,1050412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,8930,,0.0,0,兄弟間之交易。,RPWNMLNJNHLFFAM98CA
南投市,土地,光復段571~600地號,1192.0,,特定農業區,農牧用地,1050303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12120000,10168,,0.0,0,,RPSNMLKKNHLFFAM38CA
南投市,土地,南投段361~390地號,7.1,住,,,1050410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,197800,27859,,0.0,0,,RPTNMLTKNHLFFAM76CA
南投市,土地,光興段421~450地號,67.74,住,,,1050419,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6147000,90744,,0.0,0,,RPQNMLPLNHLFFAM78CA
南投市,房地(土地+建物),南投縣南投巿南新路119巷1~30號,165.94,住,,,1050408,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040320,274.44,6,2,4,有,無,19800000,72147,,0.0,0,,RPVNMLPLNHLFFAM66CA
南投市,土地,牛運堀段121~150地號,92.0,住,,,1050420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6957500,75625,,0.0,0,,RPTPMLKMNHLFFAM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路331~360號,5.89,住,,,1050413,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800920,34.92,1,0,1,有,有,838000,23998,,0.0,0,,RPPNMLOJNHLFFBM48CA
草屯鎮,土地,中興段931~960地號,3482.0,農,,,1050408,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38129000,10950,,0.0,0,,RPTNMLOJNHLFFBM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路一段361~390號,97.0,住,,,1050419,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0681120,193.5,3,3,3,有,無,15000000,77519,,0.0,0,,RPPNMLPJNHLFFBM58CA
草屯鎮,土地,土城段241~270地號,23.89,,特定農業區,甲種建築用地,1050415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325000,13604,,0.0,0,持分土地買賣,RPQNMLPJNHLFFBM68CA
草屯鎮,土地,復興段151~180地號,28.89,,鄉村區,乙種建築用地,1050409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,140000,4846,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLKLNHLFFBM38CA
魚池鄉,土地,大雁段151~180地號,1893.0,,山坡地保育區,農牧用地,1050411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,970000,512,,0.0,0,,RPUNMLMJNHLFFCM88CA
魚池鄉,土地,大雁段151~180地號,17584.0,,山坡地保育區,林業用地,1050411,土地19建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9030000,514,,0.0,0,,RPVNMLMJNHLFFCM98CA
埔里鎮,房地(土地+建物),南投縣埔里鎮和平東路91~120號,24.95,住,,,1050318,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830530,116.52,3,2,2,有,無,3200000,27463,,0.0,0,,RPTNMLPJNHLFFCM09CA
