鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),基隆市中正區新豐街211~240號,5.5,住,,,1080714,土地1建物1車位0,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,30.900000000000002,0,0,0,無,有,1500000,48544,,0.0,0,,RPOOMLOKQHOFFBC18CA
中正區,房地(土地+建物),基隆市中正區觀海街1~30號,24.57,住,,,1080709,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,129.45,4,2,2,有,有,5000000,38625,,0.0,0,,RPPOMLPKQHOFFBC38CA
信義區,房地(土地+建物)+車位,基隆市信義區信二路36巷31~60號,51.83,住,,,1080721,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050317,203.45999999999998,2,2,2,有,有,13100000,64386,升降機械,0.0,0,,RPRNMLQKQHOFFBC58CA
中正區,房地(土地+建物),基隆市中正區新豐街211~240號,6.08,住,,,1080724,土地1建物1車位0,十層,二十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851129,32.28,1,1,1,有,有,1500000,46468,,0.0,0,,RPUNMLNLQHOFFBC68CA
中正區,房地(土地+建物),基隆市中正區中正路241~270號,106.0,商,,,1080622,土地4建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0831216,347.28,3,2,4,有,無,20100000,57878,,0.0,0,含增建或未登記建物。;,RPPOMLRLQHOFFBC68CA
仁愛區,房地(土地+建物),基隆市仁愛區復興街31~60號,42.0,住,,,1080712,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670811,103.7,3,2,1,有,無,4600000,44359,,0.0,0,含增建或未登記建物。;,RPUOMLNJRHOFFBC68CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路151~180號,29.45,住,,,1080726,土地8建物2車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,235.87,5,2,3,有,有,11600000,49180,坡道平面,0.0,0,,RPSNMLMKQHOFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷211~240號,15.72,住,,,1080706,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,94.72,3,1,1,有,有,3750000,39590,,0.0,0,,RPPOMLMKQHOFFCC18CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街181~210號,16.99,商,,,1080705,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020911,171.32,3,2,2,有,有,7370000,43019,坡道平面,30.77,0,,RPUNMLNKQHOFFCC68CA
