鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,房地(土地+建物),新竹縣竹北市嘉政九街31~60號,9.0,住,,,1080717,土地1建物1車位0,三層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970606,48.59,1,1,1,有,有,3200000,65857,,0.0,0,,RPWQMLNKQHOFFBJ17CA
關西鎮,土地,石門段211~240地號,1431.0,,山坡地保育區,農牧用地,1080626,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,1153,,0.0,0,石門段218地號成交金額1550000元石門段218-1地號成交金額100000元合計總價款165萬元整,RPQRMLNKQHOFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路一段107巷1~30號,34.89,住,,,1080605,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,215.14,3,2,2,有,有,11800000,54848,坡道平面,35.75,0,,RPVOMLOKQHOFFBJ96CA
竹北市,房地(土地+建物),新竹縣竹北市中山路461巷1~30號,43.25,住,,,1080626,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800306,167.01,3,2,2,有,有,6000000,35926,,0.0,0,,RPSNMLPKQHOFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市聯發街1~30號,26.07,住,,,1080630,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040519,172.32999999999998,3,2,2,有,有,9750000,56577,坡道平面,28.35,0,,RPWOMLQKQHOFFBJ27CA
新埔鎮,土地,福田段301~330地號,141.6,住,,,1080522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,72034,,0.0,0,建商與地主合建案。;,RPRNMLRKQHOFFBJ76CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路一段421~450號,64.05,住,,,1080611,土地1建物1車位3,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051014,438.33000000000004,3,2,2,有,有,30500000,84036,坡道平面,121.8,3900000,,RPRNMLTKQHOFFBJ96CA
關西鎮,土地,馬武督段赤柯山小段211~240地號,5.43,,山坡地保育區,丙種建築用地,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16800,3094,,0.0,0,,RPVOMLKLQHOFFBJ66CA
關西鎮,土地,馬武督段赤柯山小段241~270地號,14852.0,,山坡地保育區,林業用地,1080717,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5635000,379,,0.0,0,,RPOPMLKLQHOFFBJ68CA
竹北市,房地(土地+建物),新竹縣竹北市嘉豐一街1~30號,11.25,住,,,1080629,土地1建物1車位0,二層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0971128,42.06,1,1,1,有,有,3150000,74893,,0.0,0,,RPXOMLNLQHOFFBJ17CA
竹北市,土地,東海窟段旱坑子小段91~120地號,330.6,,特定農業區,農牧用地,1080621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,14217,,0.0,0,,RPPNMLQLQHOFFBJ56CA
竹北市,房地(土地+建物),新竹縣竹北市三民路151~180號,18.95,住,,,1080620,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820202,118.82,3,2,2,有,有,4200000,35348,,0.0,0,,RPPNMLRLQHOFFBJ66CA
