鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物),台中市南區復興路一段301~330號,8.5,商,,,1020724,土地2建物1車位0,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0941219,64.32,4,0,3,有,有,3280000,50995,,0.0,0,,RPXOMLMJQHIFFAB97CA
東區,房地(土地+建物),台中市東區振興路437巷49弄1~30號,75.0,住,,,1020711,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0791206,197.35,4,2,4,有,無,7780000,39422,,0.0,0,,RPTPMLMJQHIFFAB67CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段211~240號,40.03,商,,,1020517,土地1建物1車位3,十七層,三十七層,辦公商業大樓,見其他登記事項,見其他登記事項,0800402,1038.4,1,0,3,有,有,54580000,52562,坡道平面,0.0,3700000,,RPXNMLOJQHIFFAB08CA
西區,車位,臺中市西區五權西六街121~150號,0.0,,,,1020707,土地0建物0車位1,,,其他,,,,11.17,0,0,0,有,無,400000,,升降機械,11.17,400000,,RPOOMLQJQHIFFAB47CA
西區,車位,臺中市西區五權西六街121~150號,0.0,,,,1020714,土地0建物0車位1,,,其他,,,,11.17,0,0,0,有,無,400000,,升降機械,11.17,400000,,RPPOMLQJQHIFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區新榮街61~90號,11.21,住,,,1020525,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960927,128.08,3,2,2,有,有,7150000,55824,坡道平面,19.82,0,,RPRRMLQJQHIFFAB08CA
南區,房地(土地+建物),臺中市南區工學一街179巷1~30號,13.56,住,,,1020705,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,80.03,2,2,1,有,有,3150000,39360,,0.0,0,,RPVNMLSJQHIFFAB28CA
中區,房地(土地+建物),臺中市中區成功路306巷1~30號,3.47,商,,,1020715,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,39.84,1,1,1,有,有,650000,16315,,0.0,0,,RPUPMLSJQHIFFAB38CA
中區,房地(土地+建物),臺中市中區成功路306巷1~30號,3.74,商,,,1020715,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,42.31,1,1,1,有,有,720000,17017,,0.0,0,,SPUPMLSJQHIFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區大慶街二段6之16巷31~60號,13.46,商,,,1020629,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840525,124.39,3,2,2,有,有,4680000,37624,坡道機械,0.0,0,,RPPQMLMKQHIFFAB47CA
西區,房地(土地+建物),臺中市西區柳川東路二段93巷1~30號,72.0,住,,,1020705,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0651213,156.06,0,0,0,無,無,10500000,67282,,0.0,0,,RPTNMLPKQHIFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路571~600號,11.22,住,,,1020615,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940602,129.0,3,2,2,有,有,5600000,43411,坡道平面,0.0,0,,RPQNMLTKQHIFFAB97CA
西區,車位,臺中市西區土庫里存中街31~60號,2.95,住,,,1020730,土地0建物0車位1,,,其他,,,,28.61,0,0,0,有,無,950000,,坡道平面,28.6,0,,RPSOMLMLQHIFFAB67CA
西區,房地(土地+建物)+車位,臺中市西區大墩十一街1~30號,65.84,住,,,1020717,土地1建物1車位3,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020529,224.31,4,2,2,有,無,29000000,129285,坡道平面,82.2,0,,RPVOMLSLQHIFFAB58CA
西區,房地(土地+建物)+車位,臺中市西區大墩十一街1~30號,41.57,住,,,1020717,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020529,286.28,4,2,2,有,無,17000000,59382,坡道平面,54.8,0,,RPOQMLSLQHIFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區大墩十一街1~30號,49.66,住,,,1020419,土地1建物1車位3,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020529,358.73,4,2,3,有,有,22000000,61327,坡道平面,82.2,0,,RPORMLSLQHIFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區大墩十一街1~30號,42.27,住,,,1020228,土地1建物1車位3,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020529,317.34000000000003,4,2,3,有,有,19700000,62079,坡道平面,82.2,0,,RPPRMLSLQHIFFAB28CA
西區,房地(土地+建物)+車位,臺中市西區大墩十一街1~30號,49.57,住,,,1010608,土地1建物1車位3,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020529,358.15,4,2,3,有,有,22700000,63381,坡道平面,82.2,0,,RPSSMLSLQHIFFAB68CA
北屯區,房地(土地+建物),台中市北屯區安順四街1~30號,88.0,住,,,1020624,土地1建物1車位0,騎樓，一層，二層，三層，四層,四層,店面(店鋪),住商用,鋼筋混凝土造,0830610,232.78,4,3,4,有,無,14400000,61861,,0.0,0,1、含增建或未登記建物陽台外推。2、權利人非簽約人。3、住商用，一樓為店面，二至四樓為住家。,RPVTMLLJQHIFFBB28CA
北屯區,土地,仁美段1291~1320地號,1090.37,住,,,1020722,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49474500,45374,,0.0,0,,RPQOMLMJQHIFFBB37CA
