編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLRJNHJFFAI28CA,下路頭段,76.00,都市：住
RPUNMLMJNHJFFAI08CA,玉川段,67.00,都市：住
RPWOMLRJNHJFFAI88CA,竹圍子段,7.50,都市：住
RPWNMLNJNHJFFAI38CA,東門段七小段,8.29,都市：住
RPPNMLQJNHJFFAI97CA,車店段,30.96,都市：住
RPRNMLSKNHJFFAI48CA,竹圍子段一小段,102.00,都市：住
RPQNMLPJNHJFFAI18EA,榮段一小段,16.00,都市：商
RPQNMLQJNHJFFAI08CA,竹圍子段二小段,9.56,都市：住
RPRNMLQJNHJFFAI18CA,台斗坑段,.24,都市：住
RPRNMLQJNHJFFAI18CA,台斗坑段,13.51,都市：住
RPRNMLQJNHJFFAI18CA,台斗坑段,9.11,都市：住
RPRNMLSJNHJFFAI48DA,竹圍子段,56.00,都市：住
RPRNMLSJNHJFFAI48DA,竹圍子段,21.00,都市：住
RPRNMLSJNHJFFAI48DA,竹圍子段,82.00,都市：其他
RPRNMLSJNHJFFAI48DA,竹圍子段,29.50,都市：其他
RPRNMLSJNHJFFAI48DA,竹圍子段,10.00,都市：住
RPSNMLTJNHJFFAI78EA,興村段,79.00,都市：住
RPTNMLSKNHJFFAI68CA,西門段四小段,7.39,都市：商
RPVNMLSKNHJFFAI88CA,車店段車店小段,39.46,都市：住
RPOPMLMLNHJFFAI87CA,台斗坑段,105.00,都市：住
RPUNMLNJNHJFFAI18CA,竹圍子段,89.00,都市：住
RPSNMLPJNHJFFAI18CA,中庄段,17.00,都市：住
RPVNMLPJNHJFFAI48CA,下路頭段,33.17,都市：住
RPVNMLPJNHJFFAI48CA,下路頭段,88.00,都市：住
RPUNMLPJNHJFFAI38CA,下路頭段,32.84,都市：住
RPUNMLPJNHJFFAI38CA,下路頭段,76.00,都市：住
RPQOMLMKNHJFFAI87CA,盧厝段,68.00,都市：住
RPTNMLRKNHJFFAI58CA,短竹段,14.64,都市：住
RPVOMLMKNHJFFAI38CA,彌陀段,71.00,都市：住
RPVNMLRKNHJFFAI78CA,遠東段,15.86,都市：住
RPQNMLKKNHJFFAI57CA,興村段,5.85,都市：住
RPQNMLKKNHJFFAI57CA,興村段,59.00,都市：住
RPRNMLRKNHJFFAI38CA,下路頭段,193.00,都市：住
RPSNMLRKNHJFFAI48CA,下路頭段,7.61,都市：住
RPUNMLTKNHJFFAI88CA,北社尾段保安小段,23.34,都市：住
RPWNMLSJNHJFFAI88CA,興村段,.09,都市：住
RPWNMLSJNHJFFAI88CA,興村段,.56,都市：住
RPVNMLSJNHJFFAI78CA,短竹段,13.93,都市：住
RPOOMLMLNHJFFAI77CA,新富段三小段,32.55,都市：商
RPOOMLMLNHJFFAI77CA,新富段三小段,72.00,都市：商
RPSNMLNKNHJFFAI08CA,北門段七小段,8.82,都市：住
RPPNMLTJNHJFFAI28CA,湖內段,32.00,都市：住
RPPNMLTJNHJFFAI28CA,湖內段,90.20,都市：住
RPTNMLRJNHJFFAI68EA,堀川段,20.20,都市：住
RPSOMLRJNHJFFAI48CA,車店段車店小段,6.34,都市：住
RPTNMLLKNHJFFAI97CA,湖內段,20.21,都市：住
RPQNMLSJNHJFFAI28CA,新富段三小段,13.55,都市：商
RPQNMLSJNHJFFAI28CA,新富段三小段,12.76,都市：商
RPXOMLNKNHJFFAI68CA,軍輝段,33.08,都市：住
RPPOMLRJNHJFFAI38EA,何庄段,661.16,都市：農
RPXNMLSJNHJFFAI98CA,竹村段,3523.35,都市：其他
RPROMLRJNHJFFAI58EA,短竹段,117.00,都市：住
RPPNMLSJNHJFFAI28DA,育人段,20.18,都市：住
RPPNMLSJNHJFFAI28DA,育人段,76.20,都市：住
RPPNMLSJNHJFFAI28DA,育人段,.32,都市：住
RPSOMLMKNHJFFAI28EA,長竹段,139.00,都市：住
RPSOMLMKNHJFFAI28EA,長竹段,280.00,都市：住
RPTNMLSJNHJFFAI58CA,劉厝段,22.00,都市：住
RPQNMLTJNHJFFAI38CA,下路頭段,135.00,都市：住
RPPNMLOLNHJFFAI97CA,同興段,21.87,都市：住
RPOPMLRLNHJFFAI38CA,中庄段,98.00,都市：住
RPPNMLSLNHJFFAI38CA,車店段,9.30,都市：住
RPPNMLSLNHJFFAI38CA,車店段,.31,都市：住
RPSOMLKMNHJFFAI08CA,下路頭段,70.00,都市：住
RPSOMLKMNHJFFAI08CA,下路頭段,48.00,都市：住
RPUNMLKMNHJFFAI38EA,玉川段,64.00,都市：住
RPPNMLKKNHJFFAI47CA,中庄段,76.00,都市：住
RPUNMLLKNHJFFAI08CA,埤子頭段,4.93,都市：住
RPSNMLKKNHJFFAI77CA,新富段三小段,56.00,都市：住
RPVNMLOLNHJFFAI58CA,盧厝段,31.26,都市：住
RPVNMLOLNHJFFAI58CA,長竹段,.35,都市：住
RPROMLKMNHJFFAI97CA,竹圍子段,161.00,都市：住
RPROMLKMNHJFFAI97CA,竹圍子段,73.00,都市：住
RPTNMLSLNHJFFAI78CA,下路頭段,113.00,都市：住
RPTNMLSLNHJFFAI78CA,下路頭段,82.00,都市：住
RPTNMLKMNHJFFAI08CA,玉川段,6.94,都市：住
RPTNMLNJOHJFFAI18CA,短竹段,17.55,都市：住
RPTNMLKLNHJFFAI97CA,白川段,73.00,都市：住
RPSNMLKLNHJFFAI87CA,白川段,77.00,都市：住
RPQOMLTLNHJFFAI68CA,車店段,49.00,都市：住
RPQOMLTLNHJFFAI68CA,車店段,25.00,都市：住
RPQNMLNJOHJFFAI87CA,劉厝段玉山小段,78.00,都市：住
RPQNMLNJOHJFFAI87CA,劉厝段玉山小段,23.53,都市：住
RPOPMLMKNHJFFAI77CA,下路頭段,24.18,都市：住
RPSNMLLKNHJFFAI87CA,盧厝段,233.00,都市：住
RPQNMLSKNHJFFAI38CA,盧厝段,11.52,都市：住
RPOOMLTJNHJFFAI28CA,港子坪段港坪小段,110.00,都市：商
RPRNMLKKNHJFFAI67CA,下路頭段,82.00,都市：住
RPSNMLSJNHJFFAI48CA,劉厝段,348.80,都市：住
RPRNMLTJNHJFFAI48CA,長竹段,22.75,都市：住
RPVNMLTJNHJFFAI88CA,下路頭段,23.50,都市：住
RPVNMLTJNHJFFAI88CA,下路頭段,84.00,都市：住
RPXNMLRKNHJFFAI98CA,盧厝段,92.00,都市：住
RPWNMLRKNHJFFAI88CA,盧厝段,70.00,都市：住
RPTNMLKKNHJFFAI97DA,北園段,80.00,都市：住
RPXNMLTJNHJFFAI66EA,車店段,60.00,都市：住
RPSNMLPKNHJFFAI38DA,竹村段,772.38,都市：住
RPUNMLPKNHJFFAI58DA,竹村段,56.86,都市：住
RPUNMLPKNHJFFAI58DA,竹村段,65.78,都市：住
RPQNMLMKNHJFFAI97EA,白川段,12.08,都市：住
RPPNMLNKNHJFFAI97EA,下路頭段,2.00,都市：住
RPPNMLNKNHJFFAI97EA,下路頭段,.83,都市：住
RPVNMLKMNHJFFAI48EA,盧厝段,63.00,都市：住
RPVNMLKMNHJFFAI48EA,盧厝段,259.00,都市：住
RPROMLMKNHJFFAI18EA,興村段,17.00,都市：其他
RPPPMLNKNHJFFAI18EA,北門段四小段,8.64,都市：商
RPROMLMKNHJFFAI18EA,興村段,54.00,都市：住
RPRNMLNKNHJFFAI18EA,竹圍子段,16.84,都市：住
RPUPMLMKNHJFFAI38CA,竹圍子段,58.00,都市：住
RPUPMLMKNHJFFAI38CA,竹圍子段,46.00,都市：住
RPROMLNKNHJFFAI28EA,竹圍子段,25.09,都市：住
RPOOMLOKNHJFFAI97DA,檜段三小段,46.00,都市：住
RPOOMLOKNHJFFAI97DA,檜段三小段,24.00,都市：住
RPUNMLOKNHJFFAI38CA,彌陀段,110.00,都市：住
RPTNMLTKNHJFFAI88DA,白川段,34.25,都市：住
RPPNMLRKNHJFFAI18CA,興村段,16.62,都市：住
RPOPMLPJOHJFFAI08CA,堀川段,2.82,都市：住
RPOPMLPJOHJFFAI08CA,堀川段,3.20,都市：住
RPOPMLPJOHJFFAI08CA,下路頭段,17.28,都市：住
RPOPMLPJOHJFFAI08CA,下路頭段,2.05,都市：住
RPOPMLPJOHJFFAI08CA,下路頭段,1.34,都市：住
RPSOMLPJOHJFFAI58EA,竹圍子段三小段,98.00,都市：住
RPSPMLMKNHJFFAI18CA,盧厝段,65.56,都市：農
RPTPMLMKNHJFFAI28CA,盧厝段,15.70,都市：農
RPUOMLMKNHJFFAI28CA,北門段七小段,6.53,都市：住
RPXOMLMKNHJFFAI58CA,竹圍子段一小段,13.23,都市：住
RPQNMLOLNHJFFAI08CA,竹圍子段三小段,28.10,都市：住
RPTNMLOLNHJFFAI38CA,太平段,15.23,都市：住
RPQOMLOLNHJFFAI18CA,玉川段,4.00,都市：住
RPOPMLPKNHJFFAI08CA,堀川段,3.96,都市：住
RPOPMLPKNHJFFAI08CA,堀川段,8.99,都市：住
