編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXPMLMJNHJFFAO56CA,坡道平面,0,
RPUPMLMJNHJFFAO88CA,坡道平面,0,
RPTPMLMJNHJFFAO78CA,坡道平面,0,24.61
RPTQMLMJNHJFFAO88CA,坡道平面,1200000,27.58
RPTQMLMJNHJFFAO88CA,坡道平面,1200000,27.58
RPVPMLMJNHJFFAO98CA,坡道平面,0,24.61
RPSQMLMJNHJFFAO78CA,坡道平面,1350000,27.58
RPSQMLMJNHJFFAO78CA,坡道平面,1350000,27.58
RPSQMLMJNHJFFAO78CA,坡道平面,1350000,27.58
RPPQMLPJNHJFFAO78CA,坡道平面,0,
RPWOMLQJNHJFFAO76CA,坡道機械,0,
RPSNMLRJNHJFFAO98CA,其他,0,25.94
RPWOMLTJNHJFFAO07CA,坡道平面,0,
RPWOMLSJNHJFFAO96CA,坡道平面,0,28.10
RPWOMLSJNHJFFAO96CA,坡道平面,0,28.10
RPXPMLTJNHJFFAO27CA,坡道平面,0,30.57
RPXPMLTJNHJFFAO27CA,坡道平面,0,30.57
RPXPMLSJNHJFFAO17CA,坡道平面,0,
RPROMLSJNHJFFAO09CA,坡道平面,0,28.10
RPROMLSJNHJFFAO09CA,坡道平面,0,28.10
RPOQMLSJNHJFFAO98CA,坡道平面,0,28.10
RPVPMLSJNHJFFAO96CA,坡道平面,0,28.10
RPVPMLSJNHJFFAO96CA,坡道平面,0,28.10
RPWPMLSJNHJFFAO07CA,坡道平面,0,14.06
RPWPMLSJNHJFFAO07CA,坡道平面,0,14.06
RPWPMLSJNHJFFAO07CA,坡道平面,0,14.06
RPWPMLSJNHJFFAO07CA,坡道平面,0,14.06
RPOOMLSJNHJFFAO78CA,坡道機械,750000,10.04
RPORMLMJNHJFFAO58DA,坡道平面,0,
RPORMLMJNHJFFAO58DA,坡道平面,0,
RPSTMLMLIIJFFAO09EA,其他,0,32.21
RPSTMLMLIIJFFAO09EA,其他,0,32.21
RPQPMLLLIIJFFAO38EA,其他,0,32.21
RPQPMLLLIIJFFAO38EA,其他,0,32.21
RPTTMLMLIIJFFAO56EA,其他,0,27.74
RPTTMLMLIIJFFAO56EA,其他,0,27.74
SPTTMLMLIIJFFAO66EA,其他,0,27.74
SPTTMLMLIIJFFAO66EA,其他,0,27.74
RPVNMLMKNHJFFAO88CA,坡道平面,0,
RPXOMLTLIIJFFAO17EA,其他,0,32.21
RPXOMLTLIIJFFAO17EA,其他,0,32.21
RPQTMLSJKIJFFAO86EA,坡道機械,0,
RPWNMLPKNHJFFAO66CA,坡道機械,0,
RPWNMLPKNHJFFAO66CA,坡道機械,0,
RPWOMLPKNHJFFAO76CA,坡道平面,0,
RPOOMLRKNHJFFAO78CA,坡道機械,0,
RPXOMLNLOHJFFAO07EA,坡道平面,0,
RPTOMLLLNHJFFAO78CA,坡道機械,0,24.08
RPWPMLKLNHJFFAO09CA,一樓平面,0,
RPUNMLLLNHJFFAO78CA,坡道平面,0,
RPUNMLLLNHJFFAO78CA,坡道平面,0,
RPSOMLNKNHJFFAO78CA,坡道平面,0,
RPWQMLMKNHJFFAO66CA,坡道平面,0,
RPXOMLNKNHJFFAO66CA,坡道平面,0,31.28
RPQNMLSJNHJFFAO88CA,坡道平面,0,31.51
RPQNMLSJNHJFFAO88CA,坡道平面,0,33.70
RPRNMLSJNHJFFAO98CA,坡道平面,0,33.70
RPRNMLSJNHJFFAO98CA,坡道平面,0,33.70
RPSNMLSJNHJFFAO09CA,坡道平面,0,33.70
RPSNMLSJNHJFFAO09CA,坡道平面,0,33.70
RPSNMLTJNHJFFAO56CA,坡道平面,0,
RPWNMLRKNHJFFAO86CA,坡道平面,0,
RPPNMLLKNHJFFAO18CA,坡道平面,0,
RPQOMLNKNHJFFAO58CA,坡道平面,0,
RPVPMLQJNHJFFAO86DA,坡道機械,0,
RPSNMLRKNHJFFAO09CA,坡道平面,0,
RPXOMLQKNHJFFAO96CA,坡道平面,0,
RPXOMLQKNHJFFAO96CA,坡道平面,0,
RPROMLNKNHJFFAO68CA,坡道機械,0,
RPOQMLPKNHJFFAO78CA,坡道平面,0,
RPVNMLKKNHJFFAO68CA,坡道平面,0,
RPPQMLTJNHJFFAO66DA,坡道平面,0,
RPXPMLMKNHJFFAO76DA,坡道平面,0,
RPXPMLMKNHJFFAO76DA,坡道平面,0,
RPPPMLRLNHJFFAO56DA,坡道平面,0,
RPUQMLKLNHJFFAO98CA,升降機械,0,
RPTOMLNKNHJFFAO88CA,坡道機械,0,
RPORMLNKNHJFFAO68CA,坡道平面,0,22.81
