鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街31~60號,8.51,住,,,1030416,土地1建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830811,56.769999999999996,1,1,1,有,有,有,7000,123,,0.0,0,,RPWNMLLJNHJFFAU96CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路1~30號,24.86,住,,,1030501,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841228,98.57,3,2,2,有,有,有,8000,81,,0.0,0,,RPSNMLPJNHJFFAU96CC
新城鄉,土地,嘉北段1171~1200地號,424.0,住,,,1030425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,35,,0.0,0,,RPOOMLQJNHJFFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市花蓮市博愛街121~150號,186.0,商,,,1030509,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0771231,556.75,0,0,0,無,無,無,80000,144,,0.0,0,,RPPNMLKKNHJFFAU88CC
花蓮市,房地(土地+建物),花蓮縣花蓮市延平街31~60號,27.33,住,,,1030501,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0870410,49.11,1,1,1,有,無,有,9000,183,,0.0,0,透天厝，房客租賃第二層部份,RPROMLMKNHJFFAU86DC
花蓮市,房地(土地+建物),花蓮縣花蓮市東興路271~300號,31.28,住,,,1030423,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0890609,186.26999999999998,3,2,2,有,有,有,11000,59,,0.0,0,,RPRQMLMKNHJFFAU07DC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海六街61~90號,19.13,住,,,1030430,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850306,68.33,2,1,1,有,無,有,7000,102,,0.0,0,,RPSQMLMKNHJFFAU17DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路241~270號,15.25,商,,,1030414,土地1建物1車位0,二層,2,套房(1房1廳1衛),商業用,鋼筋混凝土造,0620327,27.67,1,0,1,有,無,有,6500,235,,0.0,0,,RPPPMLNKNHJFFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段721~750號,4.96,住,,,1030424,土地1建物1車位0,十一層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840819,36.54,1,0,1,有,有,有,5000,137,,0.0,0,,RPSPMLNKNHJFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路31~60號,29.02,住,,,1030430,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0851012,125.97999999999999,0,0,0,無,有,無,10000,79,,0.0,0,,RPTPMLNKNHJFFAU17CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中華路二段181~210號,159.0,商,,,1030425,土地2建物2車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0730822,465.86,0,0,0,無,無,無,48000,103,,0.0,0,,RPXNMLOKNHJFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路151~180號,179.0,商,,,1030418,土地3建物1車位0,見其他登記事項,10,其他,見其他登記事項,鋼筋混凝土造,0690818,1731.05,40,3,40,有,無,有,280000,162,,0.0,0,旅館,RPTNMLPKNHJFFAU17CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里12街26巷1~30號,65.0,住,,,1030506,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650826,80.86,3,2,1,有,無,有,12000,148,,0.0,0,,RPRNMLQKNHJFFAU07CC
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉大學路二段63巷108弄1~30號,1591.39,農,,,1030429,土地1建物1車位0,見其他登記事項,2,農舍,農舍,鋼骨鋼筋混凝土造,0950621,305.61,20,2,18,有,無,有,80000,,,0.0,0,,RPUNMLLLNHJFFAU96CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路二段241~270號,25.53,住,,,1030510,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0901019,65.63,1,0,1,有,無,無,15000,229,,0.0,0,,RPVNMLLLNHJFFAU07CC
