鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,建物,宜蘭縣羅東鎮倉前路61~90號,0.0,商,,,1030428,土地0建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860825,35.56,0,0,1,有,無,有,7000,197,,0.0,0,,RPOPMLLJNHJFFAG57CC
羅東鎮,建物,宜蘭縣羅東鎮興東南路181~210號,0.0,商,,,1030418,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,見其他登記事項,0880514,478.5,0,0,4,有,無,無,50000,104,,0.0,0,,RPQNMLMJNHJFFAG67CC
羅東鎮,建物,宜蘭縣羅東鎮公正路61~90號,0.0,商,,,1030428,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830302,64.6,2,1,2,有,有,有,8000,124,,0.0,0,,RPSNMLMJNHJFFAG87CC
五結鄉,建物,宜蘭縣五結鄉五結路三段391~420號,0.0,工,,,1030421,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0821206,108.68,0,0,1,有,無,無,12000,110,,0.0,0,店面使用,RPUNMLMJNHJFFAG08CC
羅東鎮,建物,宜蘭縣羅東鎮公正路1~30號,0.0,商,,,1030430,土地0建物1車位0,五層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0801224,72.21,1,1,1,有,無,有,6000,83,,0.0,0,,RPROMLQJNHJFFAG28CC
宜蘭市,建物,宜蘭縣宜蘭市東港路1~30號,0.0,住,,,1030417,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820224,118.97,3,2,2,有,有,有,13000,109,,0.0,0,,RPRNMLQJNHJFFBG28CC
壯圍鄉,建物,宜蘭縣壯圍鄉古結路301~330號,0.0,,特定農業區,甲種建築用地,1030427,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810909,199.21,3,2,2,有,無,有,7500,38,,0.0,0,,RPVNMLSJNHJFFBG88CC
礁溪鄉,建物,宜蘭縣礁溪鄉大坡路90巷1~30號,0.0,住,,,1030429,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0870422,208.87,4,3,4,有,無,有,21000,101,,0.0,0,,RPVOMLNKNHJFFBG68DC
宜蘭市,建物,宜蘭縣宜蘭市環市東路二段691~720號,0.0,農,,,1030508,土地0建物1車位0,見其他登記事項,3,農舍,見其他登記事項,見其他登記事項,1000209,318.33,0,0,3,無,無,無,22000,,,0.0,0,,RPWNMLNKNHJFFBG78EC
