編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOQMLOKJIMFFBJ28CA,坡道平面,0,28.22
RPUOMLKLJIMFFBJ38CA,坡道機械,0,
RPTPMLRKJIMFFBJ98CA,坡道平面,1400000,39.37
RPTPMLRKJIMFFBJ98CA,坡道平面,1400000,39.37
RPTPMLRKJIMFFBJ98CA,坡道平面,1400000,39.37
RPUPMLOKJIMFFBJ78CA,坡道平面,1100000,30.03
RPUPMLOKJIMFFBJ78CA,坡道平面,1100000,30.03
RPTPMLOKJIMFFBJ68CA,坡道平面,1100000,30.03
RPVPMLOKJIMFFBJ88CA,坡道平面,0,25.80
RPUOMLQKJIMFFBJ88CA,坡道平面,0,
RPRSMLTLJIMFFBJ76CA,坡道平面,0,31.34
RPRNMLOKJIMFFCJ38CA,一樓平面,0,
RPUPMLTLJIMFFBJ76CA,坡道平面,1400000,28.76
RPUPMLTLJIMFFBJ76CA,坡道平面,1350000,28.76
RPVNMLQKJIMFFDJ09CA,升降機械,0,
RPWNMLQKJIMFFDJ56CA,升降機械,0,
RPPOMLQKJIMFFBJ38CA,坡道平面,0,
RPUNMLRKJIMFFCJ98CA,坡道平面,1050000,29.37
RPORMLTLJIMFFBJ98CA,坡道平面,0,
RPPOMLKLJIMFFBJ87CA,坡道平面,0,
RPQOMLLKKIMFFBJ08CA,坡道平面,0,33.91
RPQOMLLKKIMFFBJ08CA,坡道平面,0,33.91
RPXOMLPKJIMFFBJ09CA,坡道平面,0,31.89
RPXOMLPKJIMFFBJ09CA,坡道平面,0,31.89
RPRNMLQKJIMFFBJ48CA,坡道平面,1250000,33.24
RPRNMLQKJIMFFBJ48CA,坡道平面,1250000,33.24
RPSNMLQKJIMFFBJ58CA,坡道平面,1250000,33.24
RPSNMLQKJIMFFBJ58CA,坡道平面,1250000,33.24
RPQOMLRKJIMFFBJ58CA,其他,0,
RPPOMLRKJIMFFBJ48CA,坡道平面,0,36.13
RPPOMLRKJIMFFBJ48CA,坡道平面,0,31.26
RPQPMLQKJIMFFBJ58CA,坡道平面,0,31.34
RPQPMLQKJIMFFBJ58CA,坡道平面,0,31.34
RPOPMLQKJIMFFBJ38CA,坡道平面,0,31.34
RPVPMLPJKIMFFBJ98CA,坡道平面,0,
RPROMLLKKIMFFBJ18CA,坡道平面,1150000,33.91
RPSOMLLKKIMFFBJ28CA,坡道平面,1150000,33.91
RPUOMLLKKIMFFBJ48CA,坡道平面,1150000,33.91
RPVOMLLKKIMFFBJ58CA,坡道平面,1250000,33.91
RPWQMLKMJIMFFBJ88CA,坡道平面,0,42.31
RPWQMLKMJIMFFBJ88CA,坡道平面,0,42.31
RPVQMLKMJIMFFBJ78CA,坡道平面,0,42.31
RPVQMLKMJIMFFBJ78CA,坡道平面,0,42.31
RPVNMLMLJIMFFBJ58CA,坡道平面,0,42.31
RPWQMLPJKIMFFBJ56CA,坡道機械,0,
RPXOMLLKKIMFFBJ78CA,坡道平面,1000000,33.91
RPOPMLLKKIMFFBJ97CA,坡道平面,1150000,33.91
RPPPMLLKKIMFFBJ08CA,坡道平面,1100000,33.91
SPXOMLLKKIMFFBJ88CA,坡道平面,1000000,33.91
RPRPMLLKKIMFFBJ28CA,坡道平面,1100000,33.91
RPSPMLLKKIMFFBJ38CA,坡道平面,1250000,33.91
RPUNMLQKJIMFFDJ98CA,一樓平面,0,
RPPNMLNKJIMFFCJ38CD,坡道平面,0,25.79
RPPNMLNLJIMFFBJ08CA,坡道平面,0,28.59
RPPNMLNLJIMFFBJ08CA,坡道平面,0,26.54
RPVNMLOLJIMFFBJ78CA,坡道平面,0,26.58
RPVNMLOLJIMFFBJ78CA,坡道平面,0,26.58
RPVNMLOLJIMFFBJ78CA,坡道平面,0,26.58
RPVNMLOLJIMFFBJ78CA,坡道平面,0,26.58
RPRPMLOLJIMFFCJ68CA,坡道平面,0,
RPROMLKLJIMFFBJ08CA,坡道平面,0,39.56
RPPNMLSKJIMFFBJ48CA,坡道平面,0,30.19
RPPNMLSKJIMFFBJ48CA,坡道平面,0,30.19
RPPNMLSKJIMFFBJ48CA,坡道平面,0,30.19
RPRQMLPJKIMFFBJ68CA,坡道機械,0,
RPRQMLPJKIMFFBJ68CA,坡道機械,0,
RPTNMLPJKIMFFBJ58CA,坡道平面,0,36.40
RPTNMLLJKIMFFBJ18CA,坡道平面,0,
RPTNMLLJKIMFFBJ18CA,坡道平面,0,
RPTNMLLJKIMFFBJ18CA,坡道平面,0,
RPUOMLRKJIMFFBJ98CA,坡道平面,0,33.06
RPXOMLRKJIMFFBJ66CA,坡道平面,0,33.43
RPXOMLRKJIMFFBJ66CA,坡道平面,0,33.43
RPTNMLNLJIMFFBJ48CA,坡道平面,0,24.04
RPTNMLNLJIMFFBJ48CA,坡道平面,0,26.15
RPSOMLRKJIMFFBJ78CA,坡道平面,0,
RPPNMLRLJIMFFBJ48CA,坡道平面,650000,28.84
RPWNMLKLJIMFFBJ48CA,坡道平面,800000,30.03
RPVOMLKLJIMFFBJ48CA,坡道平面,0,29.80
