編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSNMLLLJIMFFGD08CA,一樓平面,0,
RPQNMLLLJIMFFGD87CA,一樓平面,0,
RPOOMLLLJIMFFGD77CA,一樓平面,0,
RPVNMLLLJIMFFGD38CA,一樓平面,0,
RPXNMLLLJIMFFGD58CA,一樓平面,0,
RPTNMLLLJIMFFGD18CA,一樓平面,0,
RPRNMLLLJIMFFGD97CA,一樓平面,0,
RPQNMLLLJIMFFHD97CA,一樓平面,0,
RPQNMLLLJIMFFHD97CA,一樓平面,0,
RPOPMLLLJIMFFHD97CA,坡道平面,950000,
RPVNMLSLJIMFFHD56CA,坡道平面,0,
RPXNMLRKJIMFFAD48CA,坡道平面,660000,31.89
RPRNMLLLJIMFFAD37CA,坡道平面,0,34.69
RPTOMLKLJIMFFAD57CA,坡道機械,0,
RPVPMLMLJIMFFAD08CA,坡道平面,860000,31.89
RPOQMLMLJIMFFAD47CA,坡道平面,660000,31.89
RPQRMLKMJIMFFAD67CA,坡道平面,1000000,33.80
RPSNMLLLJIMFFBD57CA,一樓平面,0,
RPQNMLOJKIMFFAD47CA,坡道平面,0,27.83
RPQOMLOLJIMFFCD87CA,坡道機械,0,
RPSOMLKLJIMFFCD67CA,升降機械,0,
RPSNMLLLJIMFFCD67CA,坡道平面,0,
RPSNMLLLJIMFFCD67CA,坡道平面,0,
RPSNMLRLJIMFFCD28CA,坡道平面,0,
RPTNMLRJKIMFFCD28CA,坡道平面,0,
RPXNMLSJKIMFFCD78CA,坡道平面,0,25.33
RPVNMLSJKIMFFCD58CA,坡道平面,0,25.33
RPPNMLKLJIMFFKD08CA,坡道機械,0,
RPSPMLRLJIMFFKD66CA,坡道平面,0,
RPSPMLRLJIMFFKD66CA,坡道機械,0,
RPQQMLQKJIMFFKD98CA,坡道平面,0,
RPSOMLSJKIMFFKD56CA,坡道平面,0,28.27
RPTOMLSJKIMFFKD66CA,坡道平面,0,28.27
RPQPMLSJKIMFFKD09CA,坡道平面,0,28.27
RPPPMLSJKIMFFKD98CA,坡道平面,0,28.27
RPVOMLSJKIMFFKD86CA,坡道平面,0,28.27
RPTOMLRKJIMFFKD56CA,坡道平面,0,
RPVNMLPKJIMFFKD09CA,坡道平面,0,
RPUNMLRKJIMFFCD38CA,坡道平面,0,
RPPPMLTLJIMFFCD38CA,坡道平面,0,38.56
RPUOMLKLJIMFFCD87CA,坡道平面,0,24.43
RPQNMLSKJIMFFCD08CA,坡道平面,0,
RPOPMLQKJIMFFCD87CA,坡道平面,0,
RPXNMLKLJIMFFCD08CA,坡道平面,0,
RPPNMLOJKIMFFAD37CA,升降平面,0,
RPPNMLLLJIMFFAD17CA,升降平面,0,
RPQOMLRKJIMFFAD87CA,坡道機械,0,
RPVPMLLJKIMFFAD87CA,坡道平面,1200000,38.74
RPTPMLLJKIMFFAD67CA,坡道平面,1200000,32.97
RPTPMLLJKIMFFAD67CA,坡道平面,1100000,38.74
RPWPMLLJKIMFFAD97CA,坡道平面,1200000,38.74
RPOPMLLJKIMFFAD17CA,坡道平面,1300000,38.74
RPQPMLLJKIMFFAD37CA,坡道平面,1100000,38.74
RPRPMLQKJIMFFAD97CA,坡道平面,0,
RPOOMLPKJIMFFAD47CA,坡道平面,0,33.42
RPPOMLLLJIMFFGD87CA,一樓平面,0,
RPPOMLLLJIMFFGD87CA,一樓平面,0,
RPQOMLLLJIMFFGD97CA,一樓平面,0,
RPQOMLLLJIMFFGD97CA,一樓平面,0,
RPPNMLMLJIMFFDD57CA,一樓平面,0,
RPTOMLLLJIMFFGD28CA,一樓平面,0,
RPSOMLLLJIMFFGD18CA,一樓平面,0,
RPUOMLLLJIMFFGD38CA,一樓平面,0,
RPVNMLRKJIMFFAD28CA,坡道平面,930000,
RPVNMLRKJIMFFAD28CA,坡道平面,930000,
RPWNMLRKJIMFFAD38CA,坡道平面,900000,
RPWNMLRKJIMFFAD38CA,坡道平面,900000,
RPVNMLLLJIMFFBD87CA,一樓平面,0,
RPWNMLLLJIMFFBD97CA,一樓平面,0,
RPOOMLLLJIMFFBD27CA,一樓平面,0,
RPQPMLKLJIMFFCD57CA,坡道平面,0,
RPQPMLKLJIMFFCD57CA,坡道平面,0,
RPPOMLKLJIMFFCD37CA,坡道機械,0,
RPQNMLLLJIMFFCD47CA,坡道平面,0,24.43
RPVNMLLLJIMFFCD97CA,坡道平面,0,24.43
RPUNMLLLJIMFFCD87CA,坡道平面,0,24.43
RPWNMLLLJIMFFCD08CA,坡道平面,0,24.43
RPTOMLOJKIMFFCD08CA,坡道平面,950000,40.00
RPPNMLNJKIMFFCD47CA,坡道平面,1050000,40.00
RPQNMLNJKIMFFCD57CA,坡道平面,1350000,40.00
RPQNMLNJKIMFFCD57CA,坡道平面,1350000,40.00
RPRNMLRJKIMFFCD08CA,坡道機械,0,
RPPOMLLLJIMFFKD28CA,坡道機械,0,
RPQNMLRKJIMFFKD78CA,坡道機械,0,
RPQNMLRKJIMFFKD78CA,坡道機械,0,
RPSOMLNLJIMFFKD78CA,坡道平面,0,
RPPOMLSLJIMFFKD98CA,坡道平面,0,
RPXNMLNLJIMFFKD56CA,坡道平面,0,
RPXNMLKMJIMFFKD98CA,坡道平面,0,
RPQOMLRKJIMFFKD88CA,坡道平面,0,
RPPNMLLLJIMFFKD18CA,坡道平面,0,
RPSNMLNJKIMFFCD77CA,坡道平面,950000,40.00
RPUNMLNJKIMFFCD97CA,坡道平面,1150000,40.00
RPUNMLLJKIMFFCD77CA,其他,0,
RPSOMLSJLHNFFKD76DA,坡道平面,0,28.27
RPOOMLLLJIMFFCD37CA,坡道平面,0,24.43
RPUOMLRKJIMFFAD28CA,坡道機械,0,
RPVOMLRKJIMFFAD38CA,坡道平面,300000,39.31
RPWNMLNKKIMFFHD78CA,坡道平面,850000,
RPSNMLMLJIMFFHD28CA,坡道機械,0,
RPRNMLNJKIMFFAD47CA,坡道平面,0,
RPQOMLLLJIMFFHD08CA,一樓平面,0,
RPQOMLLLJIMFFHD08CA,一樓平面,0,
RPOQMLLLJIMFFBD47CA,一樓平面,0,
RPPOMLRJKIMFFAD77CA,坡道平面,0,
RPPOMLLLJIMFFCD47CA,坡道平面,0,24.43
RPQOMLLLJIMFFCD57CA,坡道平面,0,24.43
RPROMLLLJIMFFCD67CA,坡道平面,0,24.43
RPSOMLLLJIMFFCD77CA,坡道平面,0,24.43
RPPOMLNKKIMFFAD47CA,坡道平面,1400000,38.74
RPQOMLNKKIMFFAD57CA,坡道平面,1200000,38.74
RPXNMLNKKIMFFAD18CA,坡道平面,1100000,38.74
