編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPROMLRKJIMFFAG28CA,一樓平面,0,
RPOOMLTLJIMFFAG28CA,坡道平面,1000000,26.17
RPSOMLRKJIMFFBG48CA,坡道平面,1100000,42.93
RPXOMLLLJIMFFBG48CA,坡道平面,1050000,52.96
RPQPMLLLJIMFFBG87CA,坡道平面,1050000,52.96
RPPPMLLLJIMFFBG77CA,坡道平面,1050000,52.96
RPRPMLLLJIMFFBG97CA,坡道平面,1050000,52.96
RPOPMLLLJIMFFBG67CA,坡道平面,1050000,52.96
RPUOMLRKJIMFFBG68CA,坡道平面,480000,
RPXOMLOLJIMFFBG78CA,坡道平面,1000000,35.53
RPSOMLSLJIMFFBG68CA,坡道平面,0,
RPWOMLLKKIMFFBG38CA,坡道平面,0,
RPXNMLTLJIMFFAG09CA,坡道平面,1000000,26.17
RPSOMLKLJIMFFBG87CA,一樓平面,0,
RPUNMLOLJIMFFBG38CA,坡道平面,0,
RPROMLRLJIMFFBG48CA,坡道平面,450000,
RPQNMLOKKIMFFBG97CA,坡道平面,0,
RPVOMLSLJIMFFBG98CA,坡道平面,0,
RPTNMLRLJIMFFBG58CA,坡道平面,0,
RPPNMLRJKIMFFAG97CA,坡道平面,0,
RPPNMLMKKIMFFBG67CA,坡道平面,0,
RPSNMLSLJIMFFBG58CA,坡道平面,0,
RPQOMLOJKIMFFBG97CA,坡道平面,1100000,42.93
RPQOMLOJKIMFFBG97CA,坡道平面,1100000,42.93
RPPOMLSLJIMFFBG58EA,坡道平面,0,
RPQNMLKMJIMFFBG67CA,坡道平面,0,
RPQNMLNJKIMFFBG77CA,坡道平面,0,
RPRNMLNJKIMFFBG87CA,坡道平面,0,
RPRPMLQJKIMFFBG38CA,坡道平面,1000000,35.53
RPWOMLQJKIMFFBG78CA,坡道平面,1100000,35.53
RPXNMLPJKIMFFBG68CA,坡道平面,0,
RPVOMLOJKIMFFBG48CA,坡道平面,0,
RPQPMLQJKIMFFBG28CA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPPNMLMLKIMFFBG87DA,坡道平面,800000,31.86
RPWNMLPJKIMFFBG58CA,坡道平面,0,51.11
RPQNMLMLKIMFFBG97DA,坡道平面,800000,31.86
RPSNMLMLKIMFFBG18DA,坡道平面,800000,31.86
RPRNMLMLKIMFFBG08DA,坡道平面,800000,31.86
RPSNMLTKKIMFFBG68CA,坡道平面,1100000,42.93
RPSNMLTKKIMFFBG68CA,坡道平面,1100000,42.93
RPRNMLOKKIMFFBG08CA,坡道平面,0,
RPVNMLSKKIMFFAG78CA,坡道平面,0,
RPXNMLNKKIMFFAG48CA,坡道平面,0,
RPSNMLQJKIMFFAG18CA,一樓平面,0,
RPPOMLQJKIMFFBG28EA,坡道平面,0,
RPOQMLLKKIMFFBG77CA,一樓平面,0,
RPPOMLSJKIMFFAG18CA,坡道平面,0,
RPVNMLMLKIMFFAG28CA,坡道平面,1000000,26.17
RPQOMLMKKIMFFAG77CA,一樓平面,0,
RPXNMLTLKIMFFBG66CA,坡道平面,0,
RPWNMLOKKIMFFBG58CA,坡道平面,1000000,35.53
RPVOMLNKKIMFFBG48CA,坡道平面,0,
RPOOMLTLKIMFFBG48CA,坡道平面,0,
RPPOMLTLKIMFFBG58CA,坡道平面,0,
RPWNMLLKKIMFFAG18CA,坡道平面,0,
RPOOMLKLKIMFFBG57CA,坡道平面,1050000,52.96
RPSNMLKLKIMFFBG87CA,坡道平面,0,
RPOOMLTKKIMFFBG38CA,坡道平面,0,
RPOOMLTKKIMFFBG38CA,坡道平面,0,
RPWOMLOKKIMFFAG58CA,一樓平面,0,
RPPOMLTKKIMFFBG48CA,一樓平面,700000,33.95
RPUNMLTKKIMFFAG78CA,坡道平面,0,
RPUOMLNJJHNFFBG18CA,坡道平面,800000,24.80
RPUOMLTJJHNFFBG78CA,坡道平面,800000,24.80
RPOOMLTJJHNFFBG18CA,坡道平面,800000,24.80
RPROMLTJJHNFFBG48CA,坡道平面,800000,24.80
RPPOMLTJJHNFFBG28CA,坡道平面,800000,24.80
RPSQMLKKJHNFFBG97CA,坡道平面,800000,24.80
RPQQMLKKJHNFFBG77CA,坡道平面,800000,24.80
RPPRMLKKJHNFFBG77CA,坡道平面,800000,24.80
RPRRMLKKJHNFFBG97CA,坡道平面,800000,24.80
RPWOMLTKKIMFFBG56CA,坡道平面,0,
RPQOMLLLKHNFFBG87CA,坡道平面,800000,24.80
RPROMLLLKHNFFBG97CA,坡道平面,800000,24.80
RPROMLRLKIMFFAG48CA,坡道平面,0,
RPUOMLTLKIMFFAG98CA,一樓平面,0,
RPTNMLQLKIMFFBG58CA,一樓平面,0,
RPPNMLMLKIMFFAG67CA,升降機械,0,
RPUNMLSLKIMFFBG88CA,坡道平面,0,
RPSNMLNLKIMFFBG18CA,坡道平面,1100000,45.85
RPWNMLPLKIMFFBG78CA,坡道平面,1200000,
RPXOMLQLKIMFFBG09CA,坡道平面,0,
RPWNMLTLKIMFFAG09CA,一樓平面,0,
RPVNMLTLKIMFFAG56EA,坡道平面,0,
RPWNMLMLJHNFFAG28CA,坡道平面,1000000,26.17
RPOOMLLKJHNFFBG47CA,坡道平面,0,
RPVOMLOJJHNFFBG38CA,坡道平面,1100000,52.96
RPPOMLTJJHNFFAG18CA,坡道機械,0,
RPXNMLSLKIMFFAG09CA,其他,0,
RPUPMLQKJHNFFAG58CA,升降機械,0,
RPUOMLOJJHNFFBG28CA,一樓平面,0,
RPWOMLOJJHNFFBG48CA,坡道平面,1100000,52.96
RPRNMLOJJHNFFBG87CA,升降機械,0,
RPTPMLPKJHNFFBG68EA,坡道平面,0,
RPUOMLMLJHNFFAG18CA,坡道平面,0,
RPXOMLSKJHNFFAG98CA,坡道平面,0,
RPROMLLJKHNFFAG67CA,坡道平面,0,
RPXNMLLJKHNFFAG18CA,坡道平面,0,
RPPOMLLJKHNFFAG47CA,坡道平面,0,
RPVOMLLJKHNFFAG08CA,坡道平面,0,
RPWOMLLJKHNFFAG18CA,坡道平面,0,
RPWOMLLJKHNFFAG18CA,坡道平面,0,
RPXNMLQKJHNFFBG78CA,坡道平面,1100000,52.96
RPORMLLMJHNFFBG97CA,坡道平面,800000,24.80
RPQRMLLMJHNFFBG18CA,坡道平面,800000,24.80
RPXQMLLMJHNFFBG78CA,坡道平面,800000,24.80
