編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPROMLOJNHMFFAI38CA,升降機械,0,
RPVNMLMLNHMFFAI68CA,坡道機械,1100000,14.31
RPVNMLMLNHMFFAI68CA,坡道機械,0,14.31
RPWNMLLMNHMFFAI78CA,坡道機械,0,
RPRNMLRKNHMFFAI68CA,坡道平面,350000,
RPVNMLKLNHMFFAI48CA,坡道平面,0,
RPWNMLTJNHMFFAI66CA,坡道機械,0,
RPOOMLSJNHMFFAI48CA,坡道平面,0,
RPVNMLQKNHMFFAI98CA,坡道平面,950000,30.46
RPQNMLPLNHMFFAI68EA,坡道機械,150000,28.66
RPPOMLKKNHMFFAI87CA,坡道機械,0,
RPRNMLQKNHMFFAI58CA,坡道機械,1000000,14.31
RPRNMLQKNHMFFAI58CA,坡道機械,0,14.31
RPTNMLOLNHMFFAI68CA,坡道機械,200000,
RPUNMLMLNHMFFAI58CA,坡道機械,200000,
RPQNMLPKNHMFFAI38CA,坡道平面,0,
RPUOMLMLNHMFFAI68CA,坡道平面,0,
RPUNMLRJOHMFFAI98CA,升降機械,0,
RPUNMLMJOHMFFAI48CA,坡道平面,0,
RPSOMLPJOHMFFAI68CA,坡道平面,0,
RPVNMLTKNHMFFAI66CA,坡道平面,0,
RPPNMLTKNHMFFAI88EA,坡道平面,0,
RPQPMLLMNHMFFAI38CA,坡道平面,0,
RPVOMLMLNHMFFAI78CA,坡道平面,0,
RPVNMLOLNHMFFAI88CA,坡道平面,0,
RPVNMLPJOHMFFAI88CA,坡道平面,0,
RPQNMLLMNHMFFAI18CA,一樓平面,0,
RPSPMLLMNHMFFAI58CA,坡道平面,0,
RPTOMLKLOHMFFAI48CA,升降機械,0,
RPVNMLPJOHMFFAI09EA,坡道平面,0,
RPSNMLPKOHMFFAI68CA,一樓平面,0,
RPRNMLSJOHMFFAI78CA,坡道機械,0,14.31
RPRNMLSJOHMFFAI78CA,坡道機械,0,14.31
RPWNMLPKOHMFFAI09CA,坡道機械,0,
RPROMLTLOHMFFAI56CA,坡道平面,0,
RPXNMLSJOHMFFAI96EA,坡道機械,0,
RPXNMLSJOHMFFAI96EA,坡道機械,0,
RPRNMLRJOHMFFAI88EA,坡道機械,0,
RPTOMLPKOHMFFAI88CA,坡道平面,0,
RPROMLSLOHMFFAI66EA,一樓平面,0,
RPUOMLSLOHMFFAI96EA,坡道平面,0,
RPOPMLSLOHMFFAI09EA,坡道平面,0,
RPSOMLSLOHMFFAI76EA,坡道機械,0,
RPSOMLSLOHMFFAI76EA,坡道機械,0,
RPVOMLSLOHMFFAI07EA,坡道機械,0,
RPQPMLSLOHMFFAI66EA,坡道機械,0,
RPRPMLSLOHMFFAI76EA,坡道機械,0,
RPSOMLPJPHMFFAI78CA,坡道機械,0,
RPXNMLNLOHMFFAI09CA,坡道機械,0,
RPWOMLSLOHMFFAI17EA,坡道機械,0,
RPOOMLOJPHMFFAI28CA,坡道平面,0,
RPPPMLSLOHMFFAI56EA,坡道機械,0,
RPXNMLLKPHMFFAI88CA,坡道平面,0,
RPQNMLNLOHMFFAI38CA,坡道平面,0,14.76
RPPNMLMJPHMFFAI08CA,坡道平面,0,
RPTOMLPJPHMFFAI88CA,坡道機械,0,
RPUNMLMKPHMFFAI68CA,坡道機械,500000,
RPTNMLMKPHMFFAI58CA,坡道平面,1100000,29.42
RPPOMLTLOHMFFAI98CA,升降機械,0,
RPTNMLQLOHMFFAI98CA,坡道平面,0,
RPVNMLRLOHMFFAI86EA,升降機械,0,
RPQNMLQKPHMFFAI68CA,坡道機械,600000,
RPXNMLTLOHMFFAI07CA,坡道平面,0,15.00
RPQOMLTLOHMFFAI09CA,坡道機械,0,
RPPOMLRLPHMFFAI88CA,坡道平面,0,30.46
RPROMLKLPHMFFAI38CA,坡道平面,0,
RPPOMLNJPHMFFAI48EA,坡道平面,0,
RPSNMLOKPHMFFAI68CA,升降機械,0,
RPOPMLPJPHMFFAI48CA,坡道機械,0,
RPSNMLSKPHMFFAI09CA,升降機械,0,6.16
RPSNMLRLPHMFFAI09CA,一樓平面,0,
RPSNMLRLPHMFFAI09CA,一樓平面,0,
RPWOMLPJPHMFFAI56CA,坡道平面,0,
RPUNMLMKPHMFFAI88EA,一樓平面,0,48.27
RPVNMLMKPHMFFAI78CA,坡道機械,400000,14.31
RPUNMLPKPHMFFAI98CA,坡道機械,0,
RPRNMLSKPHMFFAI98CA,坡道機械,0,
RPPNMLTLPHMFFAI98CA,坡道機械,0,
RPTNMLNJQHMFFAI68CA,坡道平面,0,
RPQNMLOLPHMFFAI78EA,坡道平面,410000,
RPXNMLSKPHMFFAI96CA,坡道機械,0,
RPUNMLRJQHMFFAI56CA,一樓平面,0,
RPUNMLRJQHMFFAI56CA,一樓平面,0,
RPRNMLTKPHMFFAI09CA,坡道平面,0,
RPOOMLKLPHMFFAI28EA,坡道機械,0,
RPWNMLLLPHMFFAI88CA,坡道平面,0,
RPRNMLNLPHMFFAI68DA,升降機械,0,
RPWOMLQKQHMFFAI86CA,坡道平面,0,
RPVNMLQLPHMFFAI86EA,升降機械,0,
RPVNMLQLPHMFFAI86EA,升降機械,0,
RPPNMLKLQHMFFAI18CA,坡道平面,0,
RPSOMLTLPHMFFAI76CA,坡道平面,0,
RPTOMLSJQHMFFAI66CA,坡道平面,900000,30.46
RPUNMLKKQHMFFAI58CA,坡道平面,0,
RPSNMLLJQHMFFAI38CA,一樓平面,0,
RPVNMLLJQHMFFAI68CA,坡道平面,0,
RPTNMLPLQHMFFAI09CA,坡道平面,0,
