鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
土城區,房地(土地+建物),新北市土城區廣興街16巷1~30號,27.43,住,,,1040614,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740805,101.28,3,2,1,有,無,9000000,88863,,0.0,0,含增建或未登記建物。,RPVNMLOJQHKFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街31巷31~60號,21.79,住,,,1040701,土地1建物1車位1,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871120,138.61,3,2,2,有,有,10000000,72145,坡道平面,29.42,0,,RPWOMLPJQHKFFAF78CA
板橋區,房地(土地+建物),新北市板橋區文化路一段188巷11弄61~90號,33.0,住,,,1040531,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,79.74,2,2,1,有,無,13500000,169300,,0.0,0,含增建或未登記建物。,RPQPMLPJQHKFFAF28CA
板橋區,房地(土地+建物),新北市板橋區大觀路二段7巷31~60號,23.61,住,,,1040716,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,50.82,2,1,1,有,無,3700000,72806,,0.0,0,二親等間特殊關係之交易。,RPXQMLPJQHKFFAF09CA
板橋區,房地(土地+建物),新北市板橋區金華街10巷48弄1~30號,31.0,住,,,1040606,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650612,67.25,3,2,1,有,無,7950000,118216,,0.0,0,含增建或未登記建物。,RPUNMLRJQHKFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區中正路301~330號,18.8,住,,,1040629,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000401,170.41,3,2,2,有,有,22000000,129100,坡道平面,32.89,0,,RPXNMLRJQHKFFAF98CA
土城區,房地(土地+建物),新北市土城區順風路1~30號,43.9,住,,,1040622,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810228,107.31,3,2,1,有,無,6000000,55913,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQPMLRJQHKFFAF48CA
板橋區,房地(土地+建物),新北市板橋區陽明街241~270號,3.76,商,,,1040706,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,,41.71,1,1,1,有,有,6100000,146248,,0.0,0,,RPWNMLKKQHKFFAF28CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.01,住,,,1040629,土地1建物1車位0,二十層,四十層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,40.86,1,1,1,有,有,8750000,214146,,0.0,0,含增建或未登記建物。,RPQQMLKKQHKFFAF97CA
