鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄61~90號,43.44,住,,,1040707,土地2建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,73.83,2,2,1,有,有,9600000,130028,,0.0,0,,RPVOMLNJQHKFFAA97CA
中正區,房地(土地+建物),臺北市中正區南海路1~30號,40.19,住,,,1040621,土地1建物1車位0,一層,八層,店面(店鋪),住家用,鋼筋混凝土造,0830809,140.08,0,1,2,有,無,55680000,397487,,0.0,0,含增建或未登記建物。,RPOPMLNJQHKFFAA37CA
中正區,房地(土地+建物),臺北市中正區重慶南路三段121~150號,3.13,商,,,1040725,土地2建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971117,32.81,1,1,1,有,有,6550000,199634,,0.0,0,含增建或未登記建物。,RPPPMLNJQHKFFAA47CA
文山區,房地(土地+建物),臺北市文山區指南路三段32巷1~30號,8.79,住,,,1040704,土地1建物1車位0,二層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990806,39.55,1,1,1,有,有,6200000,156764,,0.0,0,含增建或未登記建物。,RPPNMLOJQHKFFAA37CA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段92巷1弄1~30號,127.0,商,,,1040701,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,128.8,5,1,3,有,無,36500000,283385,,0.0,0,,RPRNMLOJQHKFFAA57CA
文山區,房地(土地+建物),臺北市文山區秀明路二段1~30號,14.45,住,,,1040619,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730419,47.650000000000006,3,2,2,有,無,7900000,165792,,0.0,0,含增建或未登記建物。,RPTNMLOJQHKFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段91~120號,24.09,商,,,1040715,土地1建物1車位1,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030609,285.58000000000004,4,2,3,有,有,41500000,160490,坡道平面,43.81,2700000,,RPVNMLOJQHKFFAA97CA
文山區,土地,政大段四小段661~690地號,2.29,住,,,1040716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,648541,283206,,0.0,0,本案為親友關係間交易行為，雙方約定以公告現值為買賣價格移轉土地。,RPRNMLPJQHKFFAA67CA
文山區,土地,政大段四小段661~690地號,0.76,住,,,1040716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,216180,0,,0.0,0,本案為親友關係間交易行為，雙方約定以公告現值為買賣價格移轉土地。,RPSNMLPJQHKFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區仙岩路22巷1~30號,27.28,住,,,1040706,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,120.53,2,2,1,有,有,15600000,129428,坡道平面,0.0,0,,RPWNMLPJQHKFFAA18CA
文山區,房地(土地+建物),臺北市文山區中崙路1~30號,25.5,住,,,1040704,土地2建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,64.53,4,0,4,有,無,8000000,123973,,0.0,0,,RPQNMLRJQHKFFAA77CA
文山區,車位,臺北市文山區木新路三段61~90號,0.68,住,,,1040725,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,1000718,32.75,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,,RPUNMLRJQHKFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區政大一街241~270號,169.31,住,,,1040511,土地1建物1車位2,一層，二層，三層，屋頂突出物，地下一層,三層,其他,住家用,鋼筋混凝土造,0941228,353.91,5,3,5,有,有,52000000,146930,坡道平面,0.0,0,含增建或未登記建物。建物型態為別墅,RPSOMLQJQHKFFAA97CA
中正區,房地(土地+建物),臺北市中正區汀州路二段241~270號,22.02,住,,,1040603,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970425,100.09,3,2,2,有,有,28770000,287441,,0.0,0,,RPPNMLLKQHKFFAA17CA
文山區,房地(土地+建物),臺北市文山區福興路91~120號,19.28,住,,,1040710,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850503,68.61,1,1,1,有,有,8600000,125346,,0.0,0,,RPUNMLMKQHKFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段58巷16弄1~30號,45.27,住,,,1040723,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030606,339.3,3,1,2,有,有,32800000,143004,坡道平面,144.9,5000000,,RPWOMLPLQHKFFAA48CA
