編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLQJQHHFFAE67CA,興福段,17.46,都市：住
RPTNMLKLQHHFFDS86DA,圳觀段,1250.00,都市：農
RPTNMLKLQHHFFDS86DA,圳觀段,24.75,都市：農
RPQNMLSLQHHFFDS37DA,觀音山段,8.99,都市：農
RPQNMLSLQHHFFDS37DA,觀音山段,548.06,都市：農
RPPNMLSJQHHFFDS07DA,草潭段,3.90,都市：住
RPPNMLSJQHHFFDS07DA,草潭段,63.85,都市：住
RPPNMLSJQHHFFDS07DA,草潭段,5.61,都市：住
RPRNMLQJQHHFFDS07DA,豐禾段,35.20,都市：住
RPQNMLQJQHHFFDS96DA,興農段,19.29,都市：住
RPPNMLQJQHHFFGS17DA,山子頂段,1989.00,都市：農
RPPNMLQJQHHFFGS17DA,山子頂段,60.00,都市：其他
RPRNMLNLQHHFFGS27DA,王公廟段,100.00,都市：住
RPTNMLNKQHHFFDS07DA,竹後段,60.00,都市：住
RPRNMLPKQHHFFDE18CA,灣中段,62.63,都市：住
RPTNMLPKQHHFFDS17CA,育才段,20.22,都市：住
RPPPMLLMQHHFFBE77CA,新興段三小段,8.92,都市：商
RPQPMLLMQHHFFBE87CA,新興段三小段,8.90,都市：商
RPWOMLLMQHHFFBE38CA,新興段三小段,8.92,都市：商
RPPNMLQJQHHFFBS56CA,五甲段,23.97,都市：住
RPTNMLRLQHHFFBS37DA,道爺段,26.90,都市：住
RPPNMLRJQHHFFES07DA,中華段,169.52,都市：其他
RPPNMLRJQHHFFES07DA,中華段,21.31,都市：其他
RPSPMLTLQHHFFBS67DA,文英段,30.56,都市：住
RPTNMLSJQHHFFGS67CA,赤崁段,260.00,都市：農
RPTNMLSJQHHFFGS67CA,赤崁段,882.00,都市：農
RPTNMLRJQHHFFBE38DA,正昌段,22.88,都市：住
RPTNMLRJQHHFFBE38DA,正昌段,2.55,都市：商
RPXNMLLMQHHFFES47CA,青安段,71.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLLMQHHFFES47CA,青安段,11.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNJRHHFFES47CA,海埔段,1167.00,都市：住
RPPNMLSJQHHFFGS27CA,後庄段,18.23,都市：住
RPOOMLOKQHHFFDE97DA,大港段七小段,2.85,都市：商
RPOOMLOKQHHFFDE97DA,大港段七小段,.21,都市：其他
RPQNMLTJQHHFFBS96CA,七老爺段一甲小段,19.47,都市：住
RPTNMLMLQHHFFGS27CA,伍厝段,25.99,都市：住
RPWNMLKMQHHFFEE58DA,和平段五小段,10.80,都市：住
RPSOMLNKQHHFFBS76CA,頂宏段,128.03,都市：住
RPPNMLQJQHHFFEE18DA,莒光段二小段,28.74,都市：住
RPPOMLLLQHHFFAS98DA,岡山段,36.63,都市：住
RPXNMLKKQHHFFBS86CA,五甲段,2.05,都市：住
RPXNMLKKQHHFFBS86CA,五甲段,.98,都市：住
RPXNMLKKQHHFFBS86CA,五甲段,8.78,都市：住
RPRNMLNJQHHFFBS09CA,道爺段,19.03,都市：住
RPTNMLPLQHHFFBS07CA,文英段,27.49,都市：住
RPQNMLRJQHHFFAS66CA,燕中段,43.57,非都市： ; 非都市編定：
RPQQMLKMQHHFFBS66CA,南華段,22.53,都市：住
RPQQMLKMQHHFFBS66CA,南華段,64.72,都市：住
RPPNMLRKQHHFFAS66CA,維新段,70.65,都市：住
RPVNMLLMQHHFFBS96CA,南華段,22.90,都市：住
RPVNMLLMQHHFFBS96CA,南華段,65.84,都市：住
RPQNMLPKQHHFFDE08CA,建安段,13.28,都市：住
RPOQMLKMQHHFFEE97CA,新庄段十二小段,10.94,都市：住
RPVPMLKMQHHFFEE58CA,新庄段十三小段,10.66,都市：商
RPTNMLKMQHHFFEE18CA,和平段一小段,15.14,都市：住
RPPNMLQKQHHFFDE08CA,獅頭段,25.15,都市：住
SPPNMLQKQHHFFDE18CA,獅頭段,25.50,都市：住
RPUNMLQKQHHFFDE58CA,獅頭段,7.07,都市：住
RPTNMLTLQHHFFEE98CA,新民段,13.20,都市：住
RPSNMLMLQHHFFEE18CA,興隆段,30.29,都市：住
RPPNMLRJQHHFFDE08CA,大裕段一小段,125.00,都市：住
RPXNMLRKQHHFFDE98CA,建德段,6.12,都市：商
RPVNMLRKQHHFFDE78CA,大港段七小段,3.48,都市：商
RPTNMLTJQHHFFDE68CA,建豐段,9.33,都市：住
RPXNMLRLQHHFFDE09CA,澄清段二小段,14.63,都市：住
RPSNMLNLQHHFFDE18CA,鼎泰段,31.42,都市：住
RPXNMLKMQHHFFBE28CA,福東段,48.00,都市：商
RPQNMLKLQHHFFBE47CA,新興段四小段,4.85,都市：商
RPXNMLQKQHHFFCE78CA,高鳳段,88.00,都市：住
RPPNMLNKQHHFFCE67CA,瑞崗段三小段,149.00,都市：住
RPROMLSLQHHFFBE48CA,大統段二小段,16.50,都市：商
RPROMLSLQHHFFBE48CA,大統段二小段,14.50,都市：商
RPPNMLSKQHHFFBE08CA,林興段,64.00,都市：住
RPTOMLMLQHHFFBE08CA,林興段,7.30,都市：住
RPTOMLMLQHHFFBE08CA,林興段,.16,都市：住
RPTOMLMLQHHFFBE08CA,林興段,.90,都市：住
RPXNMLMLQHHFFCE48CA,愛群段,3.93,都市：住
RPTNMLKKQHHFFCE77CA,瑞隆段一小段,28.60,都市：住
RPRNMLKKQHHFFCE57CA,盛興段,12.87,都市：住
RPRNMLMLQHHFFCE87CA,瑞隆段一小段,24.19,都市：住
RPSNMLTLQHHFFDE78CA,大港段,31.30,都市：住
RPPOMLRKQHHFFDE28CA,義民段,2.58,都市：商
RPPOMLRKQHHFFDE28CA,義民段,.20,都市：商
RPPOMLRKQHHFFDE28CA,義民段,.06,都市：商
RPPOMLRKQHHFFDE28CA,義民段,2.04,都市：商
RPPOMLRKQHHFFDE28CA,義民段,.59,都市：商
RPRNMLPLQHHFFDE28CA,灣內段,68.04,都市：住
RPPNMLRJQHHFFCE97CA,草衙段二小段,59.92,都市：住
RPPNMLTJQHHFFDE28CA,三塊厝段,61.00,都市：住
RPTNMLRKQHHFFDE58CA,有光段,18.17,都市：住
RPXPMLTLQHHFFEE96CA,新光段,7.05,都市：住
RPXPMLTLQHHFFEE96CA,新光段,3.79,都市：住
RPXPMLTLQHHFFEE96CA,新光段,.29,都市：住
RPSPMLTLQHHFFEE09CA,新光段,9.04,都市：商
RPWOMLTLQHHFFEE76CA,果貿段,24.21,都市：住
RPTOMLTLQHHFFCE88CA,愛群段,11.08,都市：商
RPUOMLNLQHHFFCE38CA,瑞南段一小段,65.57,都市：住
RPSNMLTJQHHFFAE28CA,青海段,26.09,都市：住
RPPNMLPKQHHFFAE67CA,鼓南段三小段,20.20,都市：商
RPPNMLPKQHHFFAE67CA,鼓南段三小段,5.40,都市：商
RPSNMLQJQHHFFDE28CA,灣昌段,38.13,都市：住
RPTNMLLMQHHFFEE28CA,楠梓段五小段,19.35,都市：住
RPVNMLSLQHHFFEE09CA,新民段,11.10,都市：住
RPTNMLRJQHHFFAS96CA,大公段,106.00,都市：住
RPQOMLSLQHHFFBS17CA,五甲段,19.40,都市：住
RPRNMLSJQHHFFAS86CA,大寮段,711.00,都市：農
RPRNMLSLQHHFFAS07CA,大仁段,88.00,都市：住
RPPNMLNKQHHFFAS88CA,岡山段,36.63,都市：住
RPPOMLOKQHHFFDE08DA,大裕段一小段,16.65,都市：住
RPRNMLRJQHHFFDE38DA,三塊厝段,15.11,都市：住
RPUNMLTJQHHFFBS37CA,埤頂段,31.00,都市：住
RPUNMLTJQHHFFBS37CA,埤頂段,29.00,都市：住
RPWPMLPJRHHFFEE98CA,果貿段,17.50,都市：住
RPPNMLTJQHHFFEE38CA,右昌段六小段,29.66,都市：住
RPPNMLTJQHHFFEE38CA,右昌段六小段,4.02,都市：住
RPPNMLNKQHHFFEE87CA,新庄段十二小段,11.16,都市：住
RPOOMLOKQHHFFEE08DA,新庄段十三小段,10.57,都市：住
RPOOMLMLQHHFFBE67DA,林聖段,6.48,都市：住
RPRNMLTJQHHFFEE68DA,福山段,63.15,都市：住
RPRNMLOKQHHFFCE08DA,光華段,17.00,都市：住
RPPNMLSJQHHFFAE97DA,青海段,18.09,都市：住
RPVNMLTJQHHFFAE68DA,青海段,11.88,都市：住
RPPNMLRJQHHFFAE87DA,旗汕段,43.00,都市：住
RPRNMLMLQHHFFBS56CA,新甲段,28.01,都市：住
RPPNMLNKQHHFFDS56CA,保社段,261.83,都市：農
RPVNMLMLQHHFFDE48DA,三塊厝段,18.68,都市：住
RPPNMLNLQHHFFGS96CA,翁公園段,14.48,都市：住
RPXNMLNKQHHFFDS37CA,保社段,1495.70,都市：農
RPXNMLNKQHHFFDS37CA,保社段,1896.34,都市：農
RPXNMLNKQHHFFDS37CA,保社段,261.83,都市：農
RPWNMLLLQHHFFCE38DA,高鳳段,34.00,都市：住
SPWNMLLLQHHFFCE48DA,高鳳段,26.38,都市：住
RPOOMLLMQHHFFGS86CA,山子頂段,2066.00,都市：工
RPRNMLTJQHHFFGS57CA,潭頭段,1474.00,都市：農
RPTNMLPJRHHFFBS96CA,新甲段,74.00,都市：住
RPQNMLRLQHHFFDS17CA,長庚段,330.00,都市：其他
RPTNMLRLQHHFFDS47CA,保社段,261.83,都市：農
RPWNMLMLQHHFFAS96CA,下竹圍段,42.37,都市：住
RPWNMLRLQHHFFDS77CA,暘善段,344.10,都市：農
RPXNMLPKQHHFFAS37DA,赤慈段,80.06,都市：住
RPRNMLSJQHHFFES27CA,華山段,1240.63,都市：農
RPRNMLRJQHHFFAS86DA,岡山段,34.48,都市：住
RPRNMLTJQHHFFBS17DA,園尾段,13.68,都市：住
RPRNMLTJQHHFFBS17DA,園尾段,69.05,都市：住
RPPNMLNKQHHFFBS09DA,頂新段,108.67,都市：住
RPXNMLNLQHHFFBS37DA,文山段,26.16,都市：住
RPSNMLNJRHHFFBS76DA,七老爺段,27.14,都市：住
RPPNMLSJQHHFFAS76DA,大仁段,94.00,都市：住
RPPNMLSJQHHFFBS96EA,竹子腳段,79.00,都市：住
RPSNMLTJQHHFFBS27DA,赤山段,39.09,都市：商
RPUNMLLMQHHFFGS47DA,王公廟段,1463.00,都市：農
RPPNMLNJRHHFFBS09DA,文山段,27.20,都市：住
RPQNMLKMQHHFFCS09CA,廣溪段,4066.22,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLMQHHFFGS96DA,內厝段,77.00,都市：住
RPPNMLLMQHHFFGS96DA,內厝段,14.70,都市：住
RPPNMLLMQHHFFGS96DA,內厝段,.80,都市：住
RPPNMLRJQHHFFDS96DA,八德段,230.73,都市：住
RPRNMLSJQHHFFDS27DA,霞海段,50.43,都市：住
RPSNMLSJQHHFFDS37DA,霞海段,81.92,都市：住
RPQNMLLMQHHFFDS66CA,草潭段,39.94,都市：住
RPQNMLLMQHHFFDS66CA,草潭段,135.21,都市：住
RPUOMLKMQHHFFDS07CA,烏材林段,75.00,都市：住
RPSNMLRLQHHFFES57DA,崙子頂段,160.00,都市：農
RPPOMLOJRHHFFAS56DA,橋南段,.62,都市：其他
RPSQMLOJRHHFFAS07DA,橋南段,.50,都市：其他
RPPOMLOJRHHFFAS56DA,橋南段,.08,都市：其他
RPPOMLOJRHHFFAS56DA,橋南段,.03,都市：其他
RPPOMLOJRHHFFAS56DA,橋南段,.07,都市：其他
RPPOMLOJRHHFFAS56DA,橋南段,.01,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,.33,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,.27,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,.13,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,3.40,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,.03,都市：其他
RPRPMLOJRHHFFAS86DA,橋南段,.30,都市：其他
RPWNMLOJRHHFFAS17DA,橋南段,.33,都市：其他
