編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLMJJILFFAN97CA,37,103.00,見其他登記事項,加強磚造,68年9月6日,二層,一層 二層
RPUNMLNJJILFFAN58CA,36,88.56,住家用,加強磚造,70年2月4日,二層,一層 二層
RPOOMLNJJILFFAN08CA,38,87.06,住家用,鋼筋混凝土加強磚造,68年3月12日,二層,一層 二層
RPQOMLNJJILFFAN28CA,32,371.88,農舍,鋼筋混凝土造,74年3月16日,三層,一層 二層 三層
RPQOMLNJJILFFAN28CA,29,1713.30,見其他登記事項,見其他登記事項,76年7月11日,二層,一層 二層
RPVNMLNJJILFFAN68CA,37,106.20,住商用,鋼筋混凝土加強磚造,68年9月11日,二層,一層 二層 騎樓
RPPOMLKKJILFFAN97CA,22,76.51,住家用,鋼筋混凝土造,83年6月21日,十二層,六層
RPPOMLKKJILFFAN97CA,22,22.39,見其他登記事項,鋼筋混凝土造,83年6月21日,十四層,
RPUNMLRJJILFFCN56CA,4,223.27,見其他登記事項,鋼筋混凝土造,101年6月1日,四層,一層 二層 三層 四層
RPUNMLRJJILFFCN56CA,4,.18,見其他登記事項,鋼筋混凝土造,101年6月1日,一層,
RPUNMLMJJILFFDN78CA,4,143.30,住家用,鋼筋混凝土造,101年12月22日,三層,一層 二層 三層
RPQNMLPKJILFFDN78CA,16,88.17,住家用,鋼筋混凝土造,89年5月25日,十四層,十二層
RPQNMLPKJILFFDN78CA,16,27.59,見其他登記事項,鋼筋混凝土造,89年5月25日,十四層,
RPVNMLMJJILFFFN09CA,33,99.48,住家用,加強磚造,72年10月4日,二層,一層 二層
RPSNMLSJJILFFFN76CA,4,196.33,見其他登記事項,鋼筋混凝土造,101年8月8日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLOJJILFFDN58CA,4,247.40,見其他登記事項,鋼筋混凝土造,101年7月12日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLTLJILFFDN27CA,1,371.54,見其他登記事項,鋼筋混凝土造,104年12月30日,四層,一層 二層 三層 四層
RPSNMLLJJILFFHN88CA,2,162.49,見其他登記事項,鋼筋混凝土造,103年12月4日,三層,一層 二層 三層 屋頂突出物
RPRRMLSJJILFFCN86DA,,179.35,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPXPMLSJJILFFCN27DA,,179.35,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPPNMLMJJILFFFN58DA,32,162.78,住商用,鋼筋混凝土造,73年12月3日,三層,一層 二層 三層
RPORMLSJJILFFCN56DA,,180.80,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPXNMLNJJILFFDN66DA,34,76.16,住家用,鋼筋混凝土造,72年3月17日,五層,五層
RPSNMLRJJILFFHN96DA,22,138.96,住家用,鋼筋混凝土造,84年1月28日,三層,一層 二層 三層
RPQOMLOKJILFFDN98EA,,271.26,見其他登記事項,鋼筋混凝土造,105年4月6日,四層,一層 二層 三層 四層
RPVQMLSJJILFFCN17DA,,179.35,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPUNMLPLJILFFDN76DA,,271.00,見其他登記事項,鋼筋混凝土造,105年4月6日,四層,一層 二層 三層 四層
RPPNMLSLJILFFFN66CA,,244.44,住宅,鋼筋混凝土造,105年6月23日,四層,一層 二層 三層 四層
RPQNMLSLJILFFFN76CA,,260.07,住宅,鋼筋混凝土造,105年6月23日,四層,一層 二層 三層 四層
RPSNMLLLJILFFHN09CA,12,268.58,見其他登記事項,鋼筋混凝土造,94年2月25日,五層,一層 二層 三層 四層 五層
RPPNMLLKJILFFFN48CA,20,182.51,住家用,鋼筋混凝土造,85年8月2日,三層,一層 二層 三層
RPQNMLMJJILFFDN38CA,36,72.46,住家用,加強磚造,69年7月1日,二層,一層
RPQOMLOJJILFFCN58CA,,182.15,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPVNMLNJJILFFCN88CA,6,173.09,見其他登記事項,鋼筋混凝土造,100年1月26日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSNMLOJJILFFCN68CA,,167.64,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPVNMLOJJILFFCN98CA,,180.80,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPWNMLOJJILFFCN09CA,,179.35,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPSNMLMJJILFFDN58CA,26,7.08,停車空間,鋼筋混凝土造,79年9月7日,七層,
RPSNMLMJJILFFDN58CA,26,24.43,見其他登記事項,鋼筋混凝土造,79年9月7日,七層,
RPSNMLMJJILFFDN58CA,26,16.70,共有部分,鋼筋混凝土造,79年9月7日,七層,
RPSNMLMJJILFFDN58CA,26,146.84,住家用,鋼筋混凝土造,79年9月7日,七層,六層
RPRNMLOJJILFFBN48CA,38,96.00,住商用,鋼筋混凝土加強磚造,67年10月15日,二層,一層 二層 騎樓
RPVNMLMJJILFFAN58CA,22,72.77,見其他登記事項,鋼筋混凝土造,83年8月31日,十二層,九層
RPVNMLMJJILFFAN58CA,22,9.62,見其他登記事項,鋼筋混凝土造,83年8月31日,十二層,
RPPPMLNJJILFFAN28CA,36,98.12,住家用,加強磚造,69年10月14日,一層,一層
RPRNMLPKJILFFBN68CA,,201.97,住家用,鋼筋混凝土造,105年7月28日,四層,一層 二層 三層 四層
RPPNMLPKJILFFBN48CA,,202.20,住家用,鋼筋混凝土造,105年7月28日,四層,一層 二層 三層 四層
RPQNMLPKJILFFBN58CA,,201.36,住家用,鋼筋混凝土造,105年7月28日,四層,一層 二層 三層 四層
RPSNMLPKJILFFBN78CA,,201.91,住家用,鋼筋混凝土造,105年7月28日,四層,一層 二層 三層 四層
