鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
嘉義市,建物,嘉義市嘉義市國華街301~330號,0.0,,,,1051104,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,26.45,1,0,1,有,無,有,9000,340,,0.0,0,含管理費、稅金或水電等費用。,RPSNMLKMJILFFAI18DC
嘉義市,建物,嘉義市嘉義市國華街301~330號,0.0,,,,1051104,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,16.72,1,0,1,有,無,有,6500,389,,0.0,0,,RPTNMLKMJILFFAI28DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路91~120號,14.48,住,,,1051105,土地1建物1車位0,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,115.37,3,2,2,有,有,有,11000,95,,0.0,0,,RPUNMLKMJILFFAI38DC
嘉義市,房地(土地+建物),嘉義市嘉義市西區世賢路二段151~180號,93.0,住,,,1051201,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1000117,239.59,5,2,4,有,無,無,27000,113,,0.0,0,,RPUNMLPJKILFFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市東區芳安路337巷1~30號,70.0,住,,,1051112,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0671103,94.82,4,2,2,有,無,無,8000,84,,0.0,0,,RPVNMLPJKILFFAI68CC
嘉義市,房地(土地+建物),嘉義市嘉義市新生路721~750號,88.0,商,,,1051208,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0690228,195.55,4,2,5,有,無,無,27500,141,,0.0,0,,RPRNMLSJKILFFAI58CC
嘉義市,建物,嘉義市嘉義市嘉義市西區志昇街31~60號,0.0,住,,,1051124,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,有,11000,60,,0.0,0,"起租日105年12月12日,有一個含在大公設的坡道平面式車位可使用,月租金內含每月管理費和車位清潔費",RPOOMLTJKILFFAI48CC
嘉義市,建物,嘉義市嘉義市興仁街38巷61~90號,0.0,住,,,1051206,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831223,133.81,3,2,2,有,有,有,9000,67,,0.0,0,"起租日105年12月10日,月租月內含每月管理費",RPPOMLTJKILFFAI58CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市文化路432巷31~60號,25.19,住,,,1051120,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801125,120.53,4,2,2,有,有,無,9000,75,坡道機械,0.0,0,,RPOOMLOKKILFFAI18DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,9.65,住,,,1051203,土地1建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,83.95,2,2,1,有,有,有,9000,107,,0.0,0,,RPQOMLOKKILFFAI38DC
嘉義市,房地(土地+建物),嘉義市嘉義市垂楊路811~840號,233.0,住,,,1051218,土地1建物1車位0,全,2,透天厝,住商用,見其他登記事項,0660114,269.48,0,0,0,無,無,有,35000,130,,0.0,0,,RPRNMLTKKILFFAI78CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.5,住,,,1051126,土地1建物1車位0,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.54,4,2,2,有,有,有,12000,81,,0.0,0,,RPTNMLKLKILFFAI28DC
嘉義市,房地(土地+建物),嘉義市嘉義市新生路151~180號,87.0,住,,,1051221,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0571208,105.93,0,0,0,無,無,無,25000,236,,0.0,0,,RPSNMLMLKILFFAI28CC
嘉義市,房地(土地+建物),嘉義市嘉義市重興里北興街172巷1~30號,60.0,住,,,1051201,土地2建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0720514,86.87,5,2,2,有,無,無,8000,92,,0.0,0,,RPTNMLNLKILFFAI58DC
嘉義市,房地(土地+建物),嘉義市嘉義市泰瑞四街61~90號,49.63,住,,,1051206,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0870611,245.37,2,2,2,有,有,無,11000,45,,0.0,0,含管理費。,RPQOMLSLKILFFAI88DC
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路197巷31~60號,62.0,住,,,1051217,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0630402,73.89,4,2,2,有,無,有,11000,149,,0.0,0,,RPPOMLKMKILFFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市光正街53巷1~30號,93.0,其他,,,1051214,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0851120,65.97,12,1,6,有,無,無,15000,227,,0.0,0,,RPPNMLLMKILFFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路31~60號,154.0,其他,,,1051227,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820802,171.9,0,0,0,無,無,無,25000,145,,0.0,0,,RPUNMLLMKILFFAI48CC
嘉義市,建物,嘉義市嘉義市國華街301~330號,0.0,,,,1051217,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,20.0,1,0,1,有,無,有,7000,350,,0.0,0,含管理費、稅金或水電等費用。,RPSNMLLKJHMFFAI08DC
嘉義市,建物,嘉義市嘉義市國華街301~330號,0.0,,,,1051218,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,16.72,1,0,1,有,無,有,7000,419,,0.0,0,含管理費、稅金或水電等費用。,RPTNMLLKJHMFFAI18DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路91~120號,9.65,住,,,1051223,土地1建物1車位0,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,84.41,2,2,1,有,有,有,10228,121,,0.0,0,含稅金、二代健保等費用。,RPWNMLRKJHMFFAI09DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,14.47,住,,,1051227,土地1建物1車位0,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,117.99,2,2,2,有,有,有,10000,85,,0.0,0,,RPXNMLRKJHMFFAI56DC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路151~180號,18.5,住,,,1051220,土地1建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,150.53,4,2,2,有,有,有,13000,86,坡道平面,30.51,0,,RPQOMLRKJHMFFAI48CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,13.68,住,,,1051228,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.62,3,1,2,有,無,有,10000,84,,0.0,0,,RPROMLRKJHMFFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.5,住,,,1051230,土地1建物1車位0,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,150.51,4,2,2,有,有,有,12000,80,,0.0,0,,RPSOMLRKJHMFFAI68CC
嘉義市,房地(土地+建物),嘉義市嘉義市安樂街1~30號,63.63,住,,,1060101,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830409,127.26,0,0,0,無,無,無,35000,275,,0.0,0,,RPUNMLSKJHMFFAI88CC
嘉義市,房地(土地+建物),嘉義市嘉義市保健街31~60號,20.51,住,,,1051220,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820623,117.56,3,2,2,有,有,有,10000,85,,0.0,0,,RPOOMLTKJHMFFAI48CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,14.48,住,,,1060105,土地1建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.94,3,2,2,有,有,有,10000,83,,0.0,0,,RPTOMLNLJHMFFAI58DC
