鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
太保市,土地,過溝段過溝小段631~660地號,200.0,其他,,,1040217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,75,,0.0,0,,RPWOMLOJLHKFFDQ17CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉民族路31~60號,57.0,住,,,1040312,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0731109,171.38,3,1,2,有,無,有,17000,99,,0.0,0,,RPTNMLQKLHKFFCQ96CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1040313,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.07,1,0,1,有,有,有,2500,80,,0.0,0,,RPRNMLPLLHKFFBQ66CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1040323,土地1建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2500,80,,0.0,0,,RPUNMLSJMHKFFBQ17CC
太保市,房地(土地+建物),嘉義縣太保市太保一路1~30號,104.72,住,,,1040401,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0940902,53.07,0,0,0,無,無,無,8000,151,,0.0,0,,RPQNMLTJMHKFFDQ07CC
太保市,房地(土地+建物),嘉義縣太保市太保二路31~60號,45.28,住,,,1040401,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850207,148.2,4,1,2,有,無,有,12000,81,,0.0,0,,RPSNMLTJMHKFFDQ27CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,5.87,住,,,1040317,土地1建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,50.06,1,0,1,有,有,有,3000,60,,0.0,0,,RPVNMLOKMHKFFBQ96CC
朴子市,房地(土地+建物),嘉義縣朴子市朴子三路169巷1~30號,6.54,住,,,1040331,土地1建物1車位0,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,33.02,1,0,1,有,有,有,3450,104,,0.0,0,,RPWNMLOKMHKFFBQ07CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1040411,土地1建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.07,1,0,1,有,有,有,2000,64,,0.0,0,,RPQNMLSLMHKFFBQ96CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1040411,土地1建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.07,1,0,1,有,有,有,2000,64,,0.0,0,,RPRNMLSLMHKFFBQ07CC
