編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLOJQHMFFBN86CA,大嘉段,124.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJQHMFFBN86CA,大嘉段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOJQHMFFBN96CA,大嘉段,17.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOJQHMFFBN96CA,大嘉段,39.73,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOJQHMFFBN96CA,大嘉段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOJQHMFFBN96CA,大嘉段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMJQHMFFBN66CA,和群段,11.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMJQHMFFBN66CA,和群段,3.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMJQHMFFBN66CA,和群段,5.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMJQHMFFBN66CA,和群段,5.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMJQHMFFBN66CA,和群段,58.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLNJQHMFFAN66CA,牛稠子段牛稠子小段,4.50,都市：住
RPUNMLNJQHMFFAN66CA,牛稠子段牛稠子小段,30.50,都市：住
RPPNMLNJQHMFFAN78CA,北口段,88.07,都市：住
RPWNMLNJQHMFFAN86CA,大埔段,12.26,都市：住
RPQNMLQKQHMFFBN76CA,糖友段,117.77,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLOJQHMFFAN66CA,新灣子口段,19.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOJQHMFFAN66CA,新灣子口段,11.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNJQHMFFCN98CA,鹿洋段,1067.48,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJQHMFFAN88CA,阿夷段阿夷小段,76.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOJQHMFFAN98CA,牛稠子段牛稠子小段,23.69,都市：住
RPQOMLNJQHMFFCN56CA,東石段,3633.45,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLNJQHMFFCN09CA,山崙段,3860.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLOKQHMFFAN09CA,南郭段南郭小段,33.74,都市：住
RPPOMLOKQHMFFAN09CA,南郭段南郭小段,62.50,都市：住
RPWNMLKKQHMFFDN96CA,惠來段,37.86,都市：住
RPQNMLMJQHMFFDN09CA,福興段,102.46,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMJQHMFFDN56CA,靜修段,20.39,都市：其他
RPRNMLMJQHMFFDN56CA,靜修段,255.54,都市：住
RPRNMLMJQHMFFDN56CA,靜修段,4.05,都市：住
RPRNMLMJQHMFFDN56CA,靜修段,1.58,都市：住
RPROMLMJQHMFFDN66CA,大峰段,1219.99,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLPKQHMFFDN47CA,港西段,90.66,都市：農
RPPNMLNJQHMFFDN09CA,永興段,564.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJQHMFFDN56CA,平和段,1513.83,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKQHMFFDN76CA,浮圳段,1265.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKQHMFFDN66CA,地政段,37.02,都市：住
RPSOMLPKQHMFFDN17CA,江夏段,22.63,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPKQHMFFDN17CA,江夏段,90.09,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPKQHMFFDN17CA,江夏段,17.95,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRJQHMFFDN57CA,僑信段,.01,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,64.11,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,2.75,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,2.77,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,.58,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,.57,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,16.86,都市：住
RPWNMLRJQHMFFDN57CA,僑信段,.55,都市：住
RPPNMLMLRHMFFDN66CA,地政段,146.00,都市：住
RPPNMLLJQHMFFGN56CA,臺山段,2184.00,非都市：一般農業區 ; 非都市編定：農牧用地
