編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLPJJIIFFAA47CA,坡道機械,0,20.10
RPRNMLOJJIIFFBA86CA,坡道平面,2400000,42.71
RPOQMLLJJIIFFBA56CA,坡道平面,0,40.38
RPOQMLLJJIIFFBA56CA,坡道平面,0,40.38
RPPRMLLJJIIFFCA86CA,升降平面,0,38.52
RPPSMLPJJIIFFCA37CA,坡道平面,0,
RPSPMLPJJIIFFCA37CA,坡道平面,0,
RPUNMLPKJIIFFCA47CA,坡道平面,0,
RPORMLRLJIIFFCA57CA,坡道平面,2500000,42.07
RPPRMLRLJIIFFCA67CA,坡道平面,2000000,42.07
RPXQMLRLJIIFFCA38CA,坡道平面,2500000,42.07
RPTOMLMLJIIFFCA27CA,升降機械,0,
RPTOMLMLJIIFFCA27CA,升降機械,0,
RPTOMLMLJIIFFCA27CA,升降機械,0,
RPPNMLQJJIIFFDA07CA,坡道平面,3000000,44.10
RPPNMLQJJIIFFDA07CA,坡道平面,2700000,51.13
RPUOMLQJJIIFFDA67CA,坡道平面,0,
RPOPMLLJJIIFFEA76CA,一樓平面,0,23.05
RPSPMLNKJIIFFDA37CA,升降平面,2200000,21.86
RPXNMLNKJIIFFDA67CA,坡道平面,0,
RPVOMLLLJIIFFDA47CA,坡道平面,0,48.03
RPQOMLOJJIIFFFA27CA,其他,0,12.22
RPTOMLMKJIIFFFA47CA,坡道平面,4000000,47.80
RPQPMLMKJIIFFFA27CA,坡道平面,0,
RPSNMLTLJIIFFFA08CA,升降機械,2000000,4.05
RPQQMLOJJIIFFCA27DA,坡道平面,0,7.15
RPSNMLMJJIIFFCA96DA,坡道平面,0,
RPVTMLPJJIIFFCA18DA,坡道平面,0,
RPOQMLSJJIIFFCA47DA,坡道機械,0,
RPSPMLQLJIIFFEA97DA,坡道平面,0,59.60
RPQQMLQJJIIFFEA67DA,升降機械,0,
RPXNMLNKJIIFFCA67DA,坡道平面,0,
RPUNMLKKJIIFFCA07DA,升降平面,0,
RPVNMLKKJIIFFCA17DA,塔式車位,0,
RPWNMLLKJIIFFEA47CA,升降機械,1180000,23.15
RPROMLMLJIIFFEA27CA,坡道平面,1650000,38.64
RPXOMLOJJIIFFEA87CA,坡道平面,0,49.49
RPWOMLOJJIIFFEA77CA,升降機械,0,15.43
RPPNMLPKJIIFFDA07CA,坡道平面,0,
RPWOMLSJJIIFFEA18CA,坡道平面,0,
RPTQMLPJJIIFFDA67CA,坡道平面,2300000,39.66
RPOPMLMLJIIFFDA96CA,坡道平面,0,5.84
RPSNMLTLJIIFFDA87CA,坡道平面,0,34.92
RPSNMLTLJIIFFDA87CA,坡道平面,0,34.92
RPSNMLTLJIIFFDA87CA,坡道平面,0,34.92
RPRNMLQLJIIFFCA37CA,坡道平面,2200000,37.86
RPQPMLPJJIIFFCA17CA,坡道平面,0,23.19
RPPPMLKLJIIFFCA76CA,坡道平面,0,38.72
RPQPMLTKJIIFFCA67CA,坡道平面,0,26.76
RPQPMLTKJIIFFCA67CA,坡道平面,0,31.04
RPPQMLSJJIIFFCA47CA,坡道平面,0,
RPPQMLSJJIIFFCA47CA,坡道平面,0,
RPTPMLQJJIIFFCA57CA,坡道機械,1000000,23.24
RPTPMLQJJIIFFCA57CA,坡道機械,1000000,23.24
RPUOMLQJJIIFFBA47CA,坡道平面,2400000,42.71
RPVOMLQJJIIFFBA57CA,坡道平面,2400000,42.71
RPROMLPJJIIFFBA07CA,坡道機械,1800000,16.51
RPWOMLQJJIIFFBA67CA,坡道平面,2300000,36.84
RPTTMLPJJIIFFCA87CA,坡道平面,0,40.89
RPTPMLNKJIIFFBA27CA,坡道平面,0,40.38
RPTPMLNKJIIFFBA27CA,坡道平面,0,40.38
RPTPMLNKJIIFFBA27CA,坡道平面,0,40.38
RPSOMLPJJIIFFBA17CA,坡道機械,1800000,16.51
RPXPMLLKJIIFFAA37CA,坡道平面,0,33.43
RPVNMLMLJIIFFAA17CA,坡道平面,0,35.58
RPVNMLMLJIIFFAA17CA,坡道平面,0,35.58
RPSNMLQJJIIFFAA07CA,坡道機械,0,19.47
RPOOMLPJJIIFFAA66CA,坡道平面,0,33.73
RPWOMLQJJIIFFAA57CA,坡道平面,0,35.58
RPROMLTLJIIFFBA67CA,其他,0,35.94
RPROMLTLJIIFFBA67CA,其他,0,35.94
RPPOMLTLJIIFFBA47CA,其他,0,35.94
RPPOMLTLJIIFFBA47CA,其他,0,35.94
RPXNMLTLJIIFFBA18CA,其他,0,35.94
RPXNMLTLJIIFFBA18CA,其他,0,35.94
RPRNMLNKJIIFFAA76CA,坡道機械,1500000,22.68
RPVOMLRJJIIFFBA67CA,坡道平面,2000000,42.71
RPWOMLRJJIIFFBA77CA,坡道平面,2300000,36.84
RPUQMLQLJIIFFAA77CA,坡道機械,0,22.68
RPOPMLRJJIIFFBA07CA,坡道平面,2000000,36.84
RPXOMLRJJIIFFBA87CA,坡道機械,1500000,21.35
RPOOMLQJJIIFFCA96CA,坡道平面,0,36.27
RPUPMLQJJIIFFCA67CA,坡道機械,0,9.43
RPWOMLOJKIIFFBA57CA,坡道平面,0,36.35
RPOPMLRJJIIFFCA17CA,升降機械,0,11.36
RPQQMLMKJIIFFCA07CA,坡道平面,0,
RPPRMLSKJIIFFCA67CA,塔式車位,1600000,14.68
RPVNMLQLJIIFFCA77CA,坡道平面,1200000,31.40
RPVNMLQLJIIFFCA77CA,坡道平面,1200000,31.40
RPVNMLQLJIIFFCA77CA,坡道平面,1200000,31.40
RPVNMLQLJIIFFCA77CA,坡道平面,1200000,31.40
RPVNMLQLJIIFFCA77CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPWNMLQLJIIFFCA87CA,坡道平面,1200000,31.40
RPQNMLQJJIIFFDA17CA,坡道平面,0,45.01
RPUOMLTLJIIFFCA08CA,坡道平面,0,31.41
RPXOMLQJJIIFFDA97CA,坡道平面,0,
RPXOMLQJJIIFFDA97CA,坡道平面,0,
RPUNMLQLJIIFFDA77CA,坡道平面,1450000,38.07
RPTNMLQLJIIFFDA67CA,坡道平面,1450000,38.07
RPPOMLQLJIIFFDA37CA,升降機械,0,17.79
RPPOMLQLJIIFFDA37CA,升降機械,0,17.79
RPPQMLRJJIIFFEA57CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPVOMLTKJIIFFDA18CA,坡道機械,0,
RPRPMLRJJIIFFAA37DA,坡道機械,0,
RPVOMLSJJIIFFAA77DA,坡道平面,0,
RPSQMLQJJIIFFCA67DA,其他,0,
RPRQMLQJJIIFFCA57DA,坡道平面,0,
RPSQMLSJJIIFFCA87DA,升降機械,0,
RPSNMLKKJIIFFCA86DA,坡道平面,0,
RPXOMLSJJIIFFDA28DA,坡道平面,0,
RPQNMLQKJHJFFEA37CA,坡道平面,0,
RPSQMLQJJIIFFEA87DA,坡道機械,0,
RPSQMLQJJIIFFEA87DA,坡道機械,0,
RPRPMLQJJIIFFDA57DA,坡道平面,0,
RPUQMLSJJIIFFCA08DA,升降平面,0,
RPUNMLRJJHJFFFA97DA,坡道平面,3000000,44.61
RPUNMLRJJHJFFFA97DA,坡道平面,3200000,51.83
RPVNMLSJJIIFFEA97CA,升降機械,1350000,18.12
RPVNMLSJJIIFFEA97CA,升降機械,1350000,18.12
RPOOMLRJJHJFFFA47DA,坡道平面,3000000,44.61
RPOOMLRJJHJFFFA47DA,坡道平面,3200000,51.83
RPROMLNKJIIFFEA27CA,坡道平面,2350000,43.77
RPRPMLRJJIIFFEA67CA,坡道機械,0,30.33
