編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLKKJIHFFAD66CC,其他,0,23.41
RPXOMLNKJIHFFAD87CC,坡道平面,0,34.75
RPQOMLNLJIHFFCD47CC,坡道平面,0,
RPOOMLRLJIHFFHR07DC,坡道機械,0,
RPRNMLQJKIHFFDR66DC,坡道平面,0,
RPOPMLNKKIHFFAD17CC,升降機械,0,17.86
RPWNMLPLKIHFFAD08CC,其他,0,29.03
RPXNMLPJJHIFFER07CC,一樓平面,0,6.81
RPPOMLMJJHIFFHR98CC,坡道機械,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPQOMLLKJHIFFCD17CC,坡道平面,0,
RPUNMLPKJHIFFCD97DC,坡道平面,0,
RPTOMLQKJHIFFER96CC,坡道平面,0,13.22
