編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLKKJIJFFBG97CA,7,81.66,住家用,鋼筋混凝土造,96年8月10日,十層,十層
RPWPMLKKJIJFFBG97CA,7,35.88,共有部分,鋼筋混凝土造,96年8月10日,十層,
RPWPMLKKJIJFFBG97CA,7,13.85,共有部分,鋼筋混凝土造,96年8月10日,十層,
RPOOMLKKJIJFFBG07CA,3,178.89,見其他登記事項,鋼筋混凝土造,100年7月20日,三層,一層 二層 三層 見其他登記事項
RPWQMLQJJIJFFBG58CA,31,88.20,見其他登記事項,鋼筋混凝土造,72年5月11日,五層,五層
RPWQMLQJJIJFFBG58CA,31,5.76,共有部分,鋼筋混凝土造,72年5月11日,五層,
RPTPMLRJJIJFFBG38DA,36,306.92,住家用,鋼筋混凝土加強磚造,68年1月13日,二層,一層 二層
RPVNMLOJJIJFFAG87CA,15,93.12,住家用,鋼筋混凝土造,88年9月29日,十二層,四層
RPVNMLOJJIJFFAG87CA,15,13.03,見其他登記事項,鋼筋混凝土造,88年9月29日,十二層,
RPVNMLOJJIJFFAG87CA,15,22.82,見其他登記事項,鋼筋混凝土造,88年9月29日,十二層,
RPUPMLPJJIJFFAG08CA,,173.60,住家用,鋼筋混凝土造,103年9月1日,三層,一層 二層 三層 見其他登記事項
RPTRMLRJJIJFFBG48CA,20,45.93,住家用,鋼筋混凝土造,84年3月16日,十七層,十二層
RPTRMLRJJIJFFBG48CA,20,12.56,共有部分,鋼筋混凝土造,84年3月16日,十七層,
RPSNMLRJJIJFFBG97CA,6,232.39,住家用,鋼筋混凝土造,97年9月11日,四層,一層 二層 三層 四層
RPTOMLOJJIJFFAG77CA,20,167.90,住商用,鋼筋混凝土造,84年3月15日,三層,騎樓 一層 二層 三層
RPOPMLMKJIJFFAG27CA,20,222.90,見其他登記事項,鋼筋混凝土造,83年10月26日,四層,一層 二層 三層 四層
RPVNMLOKJIJFFAG97CA,,165.72,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPVNMLOKJIJFFAG97CA,,15.69,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPWOMLOKJIJFFAG18CA,,167.58,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPTOMLOKJIJFFAG87CA,,169.57,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPQOMLOKJIJFFAG57CA,,167.49,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPVOMLOKJIJFFAG08CA,,168.77,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPUOMLOKJIJFFAG97CA,,174.21,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPSOMLOKJIJFFAG77CA,,170.17,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPPOMLOKJIJFFAG47CA,,166.86,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPROMLOKJIJFFAG67CA,,170.17,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPOOMLOKJIJFFAG37CA,,168.12,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPXNMLOKJIJFFAG18CA,,182.93,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPQPMLOKJIJFFAG67CA,,172.01,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPXOMLOKJIJFFAG28CA,,169.89,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPOPMLOKJIJFFAG47CA,,169.89,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPPPMLOKJIJFFAG57CA,,169.67,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPWPMLOKJIJFFAG28CA,,181.12,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPTPMLOKJIJFFAG97CA,,168.91,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPSPMLOKJIJFFAG87CA,,167.28,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPRPMLOKJIJFFAG77CA,,172.01,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPUPMLOKJIJFFAG08CA,,168.91,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPVPMLOKJIJFFAG18CA,,170.95,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPSQMLOKJIJFFAG97CA,32,177.61,住家用,鋼筋混凝土加強磚造,71年11月30日,三層,
RPXPMLOKJIJFFAG38CA,,181.12,住家用,見其他登記事項,103年9月10日,三層,一層 二層 三層
RPRPMLMKJIJFFAG57CA,19,80.85,住家用,鋼筋混凝土造,84年8月14日,七層,五層
RPRPMLMKJIJFFAG57CA,19,5.64,共有部份,鋼筋混凝土造,84年8月14日,七層,
