編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSOMLNJJIJFFAF47CA,大觀段,219.78,都市：住
RPQOMLNJJIJFFAF27CA,大觀段,109.89,都市：住
RPUPMLNJJIJFFAF77CA,江子翠段第三崁小段,38.80,都市：住
RPVPMLNJJIJFFAF87CA,員福段,7.62,都市：住
RPOPMLNJJIJFFAF17CA,幸福段,2.53,都市：住
RPPOMLOJJIJFFAF27CA,幸福段,1.12,都市：住
RPPOMLOJJIJFFAF27CA,幸福段,22.01,都市：住
RPOPMLOJJIJFFAF27CA,瑞興段,22.81,都市：住
RPRPMLOJJIJFFAF57CA,篤行段,33.05,都市：住
RPXOMLOJJIJFFAF08CA,文化段,12.48,都市：住
RPWOMLOJJIJFFAF97CA,幸福段,1.44,都市：住
RPTQMLPJJIJFFAF97CA,海山段,27.75,都市：住
RPOOMLRJJIJFFAF47CA,員福段,30.65,都市：住
RPOOMLRJJIJFFAF47CA,員福段,.43,都市：其他
RPPPMLOLJIJFFAF57CA,學林段,37.16,都市：住
RPQNMLKKJIJFFAF96CA,員和段,.65,都市：住
RPQNMLKKJIJFFAF96CA,員和段,.37,都市：住
RPQNMLKKJIJFFAF96CA,員和段,1.03,都市：住
RPQNMLKKJIJFFAF96CA,員和段,.67,都市：商
RPQNMLKKJIJFFAF96CA,員和段,1.68,都市：商
RPQNMLKKJIJFFAF96CA,員和段,.59,都市：住
RPVOMLRJJIJFFAF18CA,幸福段,2.44,都市：住
RPOOMLRKJIJFFAF57CA,埔墘段,17.00,都市：住
RPOPMLMKJIJFFAF17CA,海山段,20.50,都市：住
RPOPMLMKJIJFFAF17CA,海山段,2.00,都市：住
RPQNMLSKJIJFFAF77CA,清水段,14.42,都市：住
RPVPMLLLJIJFFAF87CA,南天母段,48.21,都市：住
RPSRMLOJJIJFFBF97CA,榮富段,25.16,都市：住
RPSQMLOJJIJFFBF87CA,石德段,31.08,都市：住
RPPTMLOJJIJFFBF87CA,龍鳳段,7.83,都市：其他
