編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUOMLKKRHNFFAW77DA,坡道平面,0,
RPXNMLRJRHNFFAW48CA,坡道平面,0,39.24
RPWNMLRJRHNFFAW38CA,坡道平面,0,39.24
RPOOMLRJRHNFFAW67CA,坡道平面,0,39.24
RPVNMLRJRHNFFAW28CA,坡道平面,0,39.24
RPPOMLRJRHNFFAW77CA,坡道平面,0,39.24
RPUNMLRJRHNFFAW18CA,坡道平面,0,39.24
RPQOMLRJRHNFFAW87CA,坡道平面,0,39.24
RPROMLRJRHNFFAW97CA,坡道平面,0,39.24
RPROMLRJRHNFFAW97CA,坡道平面,0,39.24
RPXOMLRJRHNFFAW58CA,坡道平面,0,39.24
RPSOMLRJRHNFFAW08CA,坡道平面,0,39.24
RPSOMLRJRHNFFAW08CA,坡道平面,0,39.24
RPTOMLRJRHNFFAW18CA,坡道平面,0,39.24
RPWOMLRJRHNFFAW48CA,坡道平面,0,39.24
RPVOMLRJRHNFFAW38CA,坡道平面,0,39.24
RPPPMLRJRHNFFAW87CA,坡道平面,0,39.24
RPQPMLRJRHNFFAW97CA,坡道平面,0,39.24
RPOPMLRJRHNFFAW77CA,坡道平面,0,39.24
RPUOMLRJRHNFFAW28CA,坡道平面,0,39.24
RPRPMLRJRHNFFAW08CA,坡道平面,0,39.24
RPRNMLKKRHNFFAW27CA,坡道平面,0,39.24
RPPNMLKKRHNFFAW07CA,坡道平面,0,39.24
RPSNMLKKRHNFFAW37CA,坡道平面,0,39.24
RPQPMLKMQHNFFAW47CA,坡道平面,0,39.24
RPQPMLKMQHNFFAW47CA,坡道平面,0,39.24
RPRNMLLKKINFFAW76CA,坡道平面,0,39.24
RPPNMLQJRHNFFAW57CA,一樓平面,0,
RPROMLOKRHNFFAW77CA,坡道平面,0,32.05
RPTNMLNJIINFFAW86CA,坡道平面,0,39.24
RPUNMLNJIINFFAW96CA,坡道平面,0,39.24
RPPOMLOKRHNFFAW57CA,坡道平面,0,32.88
RPPOMLOKRHNFFAW57CA,坡道平面,0,12.82
RPPOMLOKRHNFFAW57CA,坡道平面,0,13.94
RPVNMLNJIINFFAW07CA,坡道平面,0,39.24
RPXNMLNJIINFFAW27CA,坡道平面,0,39.24
RPWNMLNJIINFFAW17CA,坡道平面,0,39.24
RPPOMLNJIINFFAW56CA,坡道平面,0,39.24
RPROMLNJIINFFAW76CA,坡道平面,0,39.24
RPROMLNJIINFFAW76CA,坡道平面,0,39.24
RPXOMLOKRHNFFAW38CA,坡道平面,0,32.05
RPXOMLOKRHNFFAW38CA,坡道平面,0,12.82
RPSOMLOKRHNFFAW87CA,坡道平面,0,32.05
RPSOMLOKRHNFFAW87CA,坡道平面,0,13.94
RPPPMLOKRHNFFAW67CA,坡道平面,0,32.05
RPRPMLOKRHNFFAW87CA,坡道平面,0,32.05
RPRNMLRKRHNFFAW97CA,坡道平面,0,13.94
RPRNMLRKRHNFFAW97CA,坡道平面,0,32.15
RPQNMLRKRHNFFAW87CA,坡道平面,0,13.94
RPOPMLOKRHNFFAW57CA,坡道平面,0,13.94
RPXNMLRKRHNFFAW58CA,坡道平面,0,13.94
RPOOMLRKRHNFFAW77CA,坡道平面,0,12.82
RPVNMLRKRHNFFAW38CA,坡道平面,0,31.17
RPUOMLOKRHNFFAW08CA,坡道平面,0,32.05
RPXOMLRKRHNFFAW68CA,坡道平面,0,13.94
RPOPMLRKRHNFFAW87CA,坡道平面,0,12.82
RPSNMLKLRHNFFAW47CA,坡道平面,0,13.94
RPRNMLKLRHNFFAW37CA,坡道平面,0,21.28
RPQNMLKLRHNFFAW27CA,坡道平面,0,12.82
RPQOMLKLRHNFFAW37CA,坡道機械,200000,9.94
SPQOMLKLRHNFFAW47CA,坡道機械,200000,9.94
RPOOMLLJIINFFAW88CA,坡道平面,0,39.24
RPPNMLSJIINFFAW96CA,坡道平面,0,39.24
RPRNMLQLIINFFAW17CA,坡道平面,0,39.24
RPRNMLQLIINFFAW17CA,坡道平面,0,39.24
RPRNMLQLIINFFAW17CA,坡道平面,0,39.24
RPSNMLQJJINFFAW17CA,坡道平面,0,39.24
RPSNMLQJJINFFAW17CA,坡道平面,0,39.24
RPQNMLQLIINFFAW07CA,坡道平面,0,39.24
RPROMLQLIINFFAW27CA,坡道平面,1000000,36.10
RPROMLQLIINFFAW27CA,坡道平面,1000000,36.10
RPSOMLQLIINFFAW37CA,坡道平面,1000000,36.10
RPTNMLTLJINFFAW77CA,坡道平面,400000,39.24
RPWNMLOKJINFFAW47CA,坡道平面,0,39.24
