編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLLKKHOFFBA87CC,成功段一小段,.00,都市：商
RPUOMLLKKHOFFBA87CC,成功段一小段,.00,都市：商
RPTPMLLKKHOFFCA97CC,長春段三小段,.00,都市：住
RPSNMLLKKHOFFCA67CC,德惠段四小段,.00,都市：商
RPVNMLLKKHOFFCA97CC,中山段二小段,.00,都市：商
RPXOMLLKKHOFFCA28CC,碧湖段五小段,.00,都市：住
RPOPMLLKKHOFFCA47CC,吉林段二小段,.00,都市：商
RPPPMLLKKHOFFCA57CC,德惠段二小段,.00,都市：住
RPRPMLLKKHOFFCA77CC,長安段四小段,.00,都市：住
RPXNMLLKKHOFFCA18CC,吉林段四小段,.00,都市：商
RPUNMLLKKHOFFCA87CC,正義段一小段,.00,都市：商
RPUOMLLKKHOFFEA18CC,百齡段三小段,.00,都市：工
RPQNMLLKKHOFFEA67CC,天山段二小段,.00,都市：其他
RPQNMLLKKHOFFEA67CC,天山段二小段,.00,都市：住
RPVOMLLKKHOFFEA28CC,天母段三小段,.00,都市：商
RPRNMLLKKHOFFEA77CC,天山段二小段,.00,都市：商
RPWOMLLKKHOFFEA38CC,文林段五小段,.00,都市：住
RPUNMLMKKHOFFAA77CC,南海段三小段,.00,都市：住
RPRNMLMKKHOFFDA87DC,經貿段,49.98,都市：住
RPXNMLLKKHOFFFA48CC,大安段三小段,.00,都市：其他
RPOOMLLKKHOFFFA67CC,仁愛段一小段,.00,都市：其他
RPRPMLLKKHOFFDA87CC,雅祥段四小段,.00,都市：商
RPRPMLLKKHOFFDA87CC,雅祥段四小段,.00,都市：商
RPQPMLLKKHOFFDA77CC,敦化段一小段,.00,都市：住
RPWNMLLKKHOFFDA18CC,永吉段二小段,.00,都市：住
RPSPMLLKKHOFFDA97CC,玉成段四小段,.00,都市：住
RPXOMLLKKHOFFDA38CC,民生段,45.47,都市：住
RPTOMLLKKHOFFDA97CC,福德段一小段,.00,非都市： ; 非都市編定：
RPPNMLMKKHOFFDA57CC,信義段二小段,.00,都市：商
RPQNMLMKKHOFFBA47CC,玉泉段一小段,.00,都市：商
RPXNMLMKKHOFFBA18CC,城中段三小段,.00,都市：商
RPPPMLNKKHOFFCA77CC,文德段二小段,.00,都市：住
RPSPMLMKKHOFFCA97CC,石潭段四小段,.00,都市：商
RPWOMLMKKHOFFCA28CC,中山段四小段,111.28,都市：商
RPUNMLMKKHOFFCA97CC,長安段一小段,.00,都市：商
RPOOMLMKKHOFFCA47CC,康寧段三小段,.00,非都市： ; 非都市編定：
RPXNMLNKKHOFFCA38CC,金泰段,.00,都市：商
RPPPMLMKKHOFFCA67CC,西湖段四小段,52.28,都市：其他
RPXOMLMKKHOFFCA38CC,正義段四小段,.00,都市：商
RPVPMLNKKHOFFCA38CC,德惠段三小段,.00,都市：住
RPWPMLNKKHOFFCA48CC,文德段一小段,.00,都市：住
RPWPMLNKKHOFFCA48CC,文德段一小段,.00,都市：住
RPWQMLNKKHOFFCA58CC,石潭段四小段,.00,都市：商
RPRQMLNKKHOFFCA08CC,石潭段四小段,.00,都市：商
RPTQMLNKKHOFFCA28CC,長安段一小段,.00,都市：住
RPVQMLNKKHOFFCA48CC,石潭段四小段,.00,都市：商
RPOPMLNKKHOFFDA77CC,祥和段二小段,.00,都市：商
RPUNMLNKKHOFFDA18CC,寶清段五小段,.00,都市：其他
RPWOMLNKKHOFFDA48CC,新光段三小段,.00,都市：住
RPSPMLNKKHOFFDA18CC,美仁段一小段,.00,都市：住
RPUPMLNKKHOFFDA38CC,玉成段五小段,.00,都市：住
RPUPMLNKKHOFFDA38CC,玉成段五小段,.00,都市：住
RPVPMLNKKHOFFDA48CC,西松段二小段,.00,都市：住
RPXNMLNKKHOFFBA28CC,臨沂段三小段,.00,都市：商
RPWNMLNKKHOFFBA18CC,城中段三小段,.00,都市：商
RPUQMLNKKHOFFBA28CC,臨沂段三小段,.00,都市：商
RPOOMLNKKHOFFBA47CC,臨沂段三小段,.00,都市：商
RPOOMLNKKHOFFBA47CC,臨沂段三小段,.00,都市：商
RPOOMLNKKHOFFBA47CC,臨沂段三小段,.00,都市：商
RPWUMLNKKHOFFBA88CC,圓環段三小段,.00,都市：商
RPQPMLNKKHOFFBA77CC,市府段一小段,.00,都市：商
RPSQMLNKKHOFFBA08CC,直興段二小段,.00,都市：商
RPTOMLNKKHOFFEA28CC,蘭雅段三小段,.00,都市：住
RPPOMLNKKHOFFAA47CC,南海段三小段,.00,都市：商
RPUOMLNKKHOFFEA38CC,三玉段三小段,.00,都市：住
RPXNMLNKKHOFFFA68CC,金華段一小段,.00,都市：住
RPWNMLNKKHOFFFA58CC,瑞安段二小段,.00,都市：住
RPPOMLNKKHOFFFA97CC,學府段二小段,.00,都市：住
RPSOMLNKKHOFFFA28CC,辛亥段一小段,.00,都市：其他
RPSOMLNKKHOFFFA28CC,辛亥段一小段,.00,都市：住
RPQOMLNKKHOFFFA08CC,通化段二小段,.00,都市：住
RPTOMLNKKHOFFFA38CC,通化段五小段,.00,都市：住
RPVOMLNKKHOFFFA58CC,懷生段二小段,.00,都市：住
RPUOMLNKKHOFFFA48CC,大安段一小段,.00,都市：住
RPSOMLOKKHOFFDA18CC,民生段,.00,都市：住
RPWNMLOKKHOFFFA68CC,瑞安段二小段,.00,都市：住
RPXNMLOKKHOFFFA78CC,仁愛段一小段,.00,都市：住
RPSNMLOKKHOFFEA18CC,天母段三小段,.00,都市：住
RPSOMLOKKHOFFEA28CC,陽明段四小段,.00,都市：住
RPVNMLOKKHOFFEA48CC,文林段四小段,.00,都市：住
RPVNMLOKKHOFFEA48CC,文林段四小段,.00,都市：住
RPTOMLOKKHOFFEA38CC,桃源段四小段,.00,都市：住
