編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMLKHOFFAI58CC,16,177.79,住家用,鋼筋混凝土造,92年5月30日,四層,
RPRNMLPKKHOFFAI78EC,26,95.64,農舍,鋼造,81年11月27日,一層,
RPPNMLLJLHOFFAI97CC,22,65.97,住家用,鋼筋混凝土造,85年11月20日,三層,
RPRNMLLJLHOFFAI18CC,49,183.03,住商用,鋼筋混凝土加強磚造,59年1月5日,四層,
RPSNMLQJLHOFFAI88DC,21,84.41,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPUNMLKLKHOFFAI58DC,21,84.41,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQPMLRJLHOFFAI88CC,13,36.00,見其他登記事項,鋼筋混凝土造,94年9月13日,四層,
RPPOMLNKKHOFFAI38DC,21,115.37,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLNKKHOFFAI28DC,3,30.00,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPTNMLPJLHOFFAI78CC,25,140.02,住家用,鋼筋混凝土造,83年6月2日,十層,
RPTNMLKLKHOFFAI38CC,25,209.03,住家用,鋼筋混凝土造,82年10月6日,四層,
RPRNMLLKLHOFFAI28CC,14,85.04,共有部份,鋼筋混凝土造,93年10月29日,十四層,
RPRNMLLKLHOFFAI28CC,14,128.94,住家用,鋼筋混凝土造,93年10月29日,十四層,
RPQNMLLKLHOFFAI18CC,26,67.98,住家用,鋼筋混凝土造,82年6月12日,七層,
RPQNMLLKLHOFFAI18CC,26,10.61,共有部份,鋼筋混凝土造,82年6月12日,七層,
RPQNMLLKLHOFFAI18CC,26,11.18,共有部份,鋼筋混凝土造,82年6月12日,七層,
RPPNMLLKLHOFFAI08CC,13,165.65,見其他登記事項,鋼筋混凝土造,95年7月25日,四層,
RPSNMLLKLHOFFAI38CC,14,115.40,住家用,鋼筋混凝土造,93年11月1日,十四層,
RPSNMLLKLHOFFAI38CC,14,73.24,共有部份,鋼筋混凝土造,93年11月1日,十四層,
RPWNMLMKLHOFFAI98DC,21,124.73,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLMKLHOFFAI68DC,21,124.74,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLKLLHOFFAI98DC,35,87.94,住家用,鋼筋混凝土造,73年6月23日,五層,
RPWNMLKLLHOFFAI88DC,21,116.61,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPPOMLLLLHOFFAI28CC,25,77.19,住家用,鋼筋混凝土造,82年10月18日,十四層,
RPOOMLMKLHOFFAI28DC,21,147.54,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPUOMLSKLHOFFAI76CC,22,84.38,見其他登記事項,鋼筋混凝土造,85年9月20日,三層,
RPOOMLKLLHOFFAI18DC,3,26.45,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPUNMLQLLHOFFAI66DC,3,16.72,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPVNMLQLLHOFFAI76DC,21,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQOMLSLLHOFFAI56DC,21,151.04,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPPOMLSLLHOFFAI98CC,3,68.88,見其他登記事項,見其他登記事項,105年4月14日,四層,
RPQNMLTLLHOFFAI09CC,6,65.88,見其他登記事項,見其他登記事項,101年9月25日,三層,
RPVNMLKKMHOFFAI68CC,60,151.63,住家用,鋼筋混凝土加強磚造,48年5月21日,三層,
RPPOMLTJMHOFFAI98CC,4,65.08,見其他登記事項,見其他登記事項,104年8月25日,五層,
RPSNMLSKMHOFFAI56CC,2,74.76,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPTNMLSKMHOFFAI66CC,36,44.85,住商用,鋼筋混凝土造,71年2月20日,三層,
RPPNMLSKMHOFFAI98DC,51,408.58,住商用,鋼筋混凝土加強磚造,57年1月15日,五層,
RPPNMLKLMHOFFAI28DC,21,112.72,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLKLMHOFFAI38DC,3,39.75,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPQNMLKMMHOFFAI48DC,15,115.04,住家用,鋼筋混凝土造,93年10月28日,十二層,
RPQNMLKMMHOFFAI48DC,15,72.28,共有部份,鋼筋混凝土造,93年10月28日,十二層,
RPSNMLPLMHOFFAI09DC,14,127.58,住家用,鋼筋混凝土造,93年10月28日,十四層,
RPSNMLPLMHOFFAI09DC,14,71.55,共有部份,鋼筋混凝土造,93年10月28日,十四層,
RPSNMLKMMHOFFAI68DC,21,119.94,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLMJNHOFFAI68CC,26,117.56,住家用,鋼筋混凝土造,82年6月23日,十二層,
RPWNMLLJNHOFFAI88CC,26,74.19,住家用,鋼筋混凝土造,82年3月25日,六層,
RPPNMLKKNHOFFAI18CC,24,92.71,住家用,鋼筋混凝土造,84年10月4日,十一層,
RPXNMLRJNHOFFAI96CC,3,171.77,見其他登記事項,見其他登記事項,105年5月10日,十四層,
