編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLMJNHIFFAE97CA,1,132.71,住家用,鋼筋混凝土造,101年4月11日,二十八層,二十七層
RPXOMLMJNHIFFAE97CA,1,77.87,見其它登記事項,鋼筋混凝土造,101年4月11日,二十八層,
RPOSMLLJNHIFFAE37CA,7,143.31,住家用,鋼筋混凝土造,95年2月21日,二十五層,七層
RPOSMLLJNHIFFAE37CA,7,82.54,共有部分,鋼筋混凝土造,95年2月21日,二十五層,
RPOPMLMJNHIFFAE17CA,1,180.55,住家用,鋼筋混凝土造,101年4月11日,二十八層,十三層
RPOPMLMJNHIFFAE17CA,1,101.50,見其它登記事項,鋼筋混凝土造,101年4月11日,二十八層,
RPVNMLRJNHIFFAE18CA,25,143.71,,鋼筋混凝土造,77年4月29日,十二層,八層
RPVNMLRJNHIFFAE18CA,25,30.64,,鋼筋混凝土造,77年4月29日,十二層,
RPQNMLQJNHIFFAE57CA,16,29.18,住家用,鋼筋混凝土造,85年10月28日,十二層,十層
RPQNMLQJNHIFFAE57CA,16,11.22,見使用執照,鋼筋混凝土造,85年10月28日,十二層,
RPVOMLMJNHIFFAE77CA,1,180.55,住家用,鋼筋混凝土造,101年4月11日,二十八層,十四層
RPVOMLMJNHIFFAE77CA,1,101.50,見其它登記事項,鋼筋混凝土造,101年4月11日,二十八層,
RPPOMLNJNHIFFAE27CA,1,148.03,住家用,鋼筋混凝土造,101年10月3日,十八層,十四層
RPPOMLNJNHIFFAE27CA,1,130.08,見其它登記事項,鋼筋混凝土造,101年10月3日,十八層,
RPWOMLNJNHIFFAE97CA,7,59.18,住家用,鋼筋混凝土造,94年10月27日,十五層,八層
RPWOMLNJNHIFFAE97CA,7,21.69,共有部分,鋼筋混凝土造,94年10月27日,十五層,
RPQOMLPJNHIFFAE57CA,35,83.67,,鋼筋混凝土造,67年10月7日,四層,四層
RPPOMLPJNHIFFAE47CA,4,43.11,住家用,鋼筋混凝土造,98年3月25日,十五層,三層
RPQOMLTJNHIFFAE97CA,45,115.10,,加強磚造,56年12月25日,三層,一層 二層 三層
RPWOMLTJNHIFFAE58CA,9,90.66,住家用,鋼筋混凝土造,92年10月22日,十四層,六層
RPWOMLTJNHIFFAE58CA,9,38.55,共有部分,鋼筋混凝土造,92年10月22日,十四層,
RPSOMLKKNHIFFAE37CA,52,54.86,,加強磚造,49年12月2日,二層,一層 二層
RPTOMLKKNHIFFAE47CA,75,110.38,住家用,見使用執照,,二層,一層 二層
RPRNMLKKNHIFFAE17CA,7,90.81,住家用,鋼筋混凝土造,95年6月2日,十五層,十四層
RPRNMLKKNHIFFAE17CA,7,47.58,共有部分,鋼筋混凝土造,95年6月2日,十五層,
RPUOMLSJNHIFFAE28CA,34,82.91,,鋼筋混凝土造,68年3月14日,五層,一層 騎樓
RPVOMLSJNHIFFAE38CA,18,101.48,住家用,鋼筋混凝土造,84年1月26日,十六層,十三層
RPVOMLSJNHIFFAE38CA,18,30.12,見使用執照,鋼筋混凝土造,84年1月26日,十六層,
RPVNMLMKNHIFFAE77CA,,115.99,住家用,鋼筋混凝土造,101年11月7日,十五層,四層
RPVNMLMKNHIFFAE77CA,,71.86,見其它登記事項,鋼筋混凝土造,101年11月7日,十五層,
RPRPMLSJNHIFFAE08CA,7,78.63,住家用,鋼筋混凝土造,95年4月14日,十五層,四層
RPRPMLSJNHIFFAE08CA,7,47.18,共有部分,鋼筋混凝土造,95年4月14日,十五層,
RPUNMLMKNHIFFAE67CA,,139.59,住家用,鋼筋混凝土造,101年11月7日,十五層,八層
RPUNMLMKNHIFFAE67CA,,83.00,見其它登記事項,鋼筋混凝土造,101年11月7日,十五層,
RPTOMLMLNHIFFAE77CA,18,98.98,住家用,鋼筋混凝土造,84年6月15日,十六層,十二層
RPTOMLMLNHIFFAE77CA,18,40.25,見使用執照,鋼筋混凝土造,84年6月15日,十六層,
RPPNMLTKNHIFFAE87CA,9,97.52,住家用,鋼筋混凝土造,93年2月24日,十四層,四層
RPPNMLTKNHIFFAE87CA,9,41.34,共有部分,鋼筋混凝土造,93年2月24日,十四層,
RPVNMLOKNHIFFAE97CA,11,80.24,住家用,鋼筋混凝土造,90年10月8日,十四層,十三層
RPVNMLOKNHIFFAE97CA,11,53.87,共有部分,鋼筋混凝土造,90年10月8日,十四層,
RPVOMLOKNHIFFAE08CA,18,40.43,見使用執照,鋼筋混凝土造,84年6月15日,十六層,
RPVOMLOKNHIFFAE08CA,18,98.98,住家用,鋼筋混凝土造,84年6月15日,十六層,十三層
RPQPMLRLNHIFFAE08CA,8,52.94,住家用,鋼筋混凝土造,93年10月4日,十四層,十三層
RPQPMLRLNHIFFAE08CA,8,21.05,共有部分,鋼筋混凝土造,93年10月4日,十四層,
RPPNMLQKNHIFFAE57CA,17,52.65,見使用執照,鋼筋混凝土造,84年10月11日,十六層,
RPPNMLQKNHIFFAE57CA,17,103.19,住家用,鋼筋混凝土造,84年10月11日,十六層,三層
RPTNMLTLNHIFFAE38CA,7,64.78,住家用,鋼筋混凝土造,95年8月9日,十五層,五層
RPTNMLTLNHIFFAE38CA,7,29.30,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPUNMLTLNHIFFAE48CA,7,54.15,住家用,鋼筋混凝土造,95年8月9日,十五層,七層
RPUNMLTLNHIFFAE48CA,7,25.42,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPVNMLOLNHIFFAE08CA,6,90.53,住家用,鋼筋混凝土造,95年10月30日,十五層,九層
RPVNMLOLNHIFFAE08CA,6,46.17,見其它登記事項,鋼筋混凝土造,95年10月30日,十五層,
RPWOMLNLNHIFFAE18CA,9,49.95,住家用,鋼筋混凝土造,93年10月18日,十一層,二層
RPWOMLNLNHIFFAE18CA,9,21.86,共有部分,鋼筋混凝土造,93年10月18日,十一層,
RPUOMLOLNHIFFAE08CA,11,46.64,住家用,鋼筋混凝土造,91年6月18日,二十二層,二層
RPUOMLOLNHIFFAE08CA,11,60.07,共有部分,鋼筋混凝土造,91年6月18日,二十二層,
RPVNMLSKNHIFFAE38CA,3,91.50,住家用,鋼筋混凝土造,98年12月30日,十五層,八層
RPVNMLSKNHIFFAE38CA,3,55.55,共有部分,鋼筋混凝土造,98年12月30日,十五層,
RPUPMLNJNHIFFBE97CA,3,218.88,住家用,鋼筋混凝土造,98年11月9日,二十四層,九層
RPUPMLNJNHIFFBE97CA,3,141.48,見其他登記事項,鋼筋混凝土造,98年11月9日,二十四層,
RPTOMLOJNHIFFBE87CA,32,73.81,,鋼筋混凝土造,70年4月22日,五層,一層
RPRNMLNJNHIFFBE47CA,44,262.40,住商用,加強磚造,58年3月26日,四層,
RPRNMLQJNHIFFBE77CA,33,61.42,,鋼筋混凝土造,69年3月13日,十二層,六層
RPRNMLQJNHIFFBE77CA,33,26.07,,鋼筋混凝土造,69年3月13日,十二層,
RPXNMLQJNHIFFBE38CA,34,43.30,,鋼筋混凝土造,68年9月20日,十一層,六層
