鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物),臺南市中西區保安路185巷1~30號,0.0,住,,,1020330,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0540131,36.87,2,2,1,有,無,有,6000,163,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料,RPOQMLLJNHIFFAD27CC
中西區,建物,臺南市中西區大同路一段1~30號,0.0,住,,,1020409,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0680406,45.9,1,1,1,有,無,有,7500,163,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料,RPQQMLLJNHIFFAD47CC
北區,房地(土地+建物),臺南市北區育德二路342巷1~30號,0.0,住,,,1020420,土地1建物1車位0,一層,,套房(1房1廳1衛),,,,0.0,1,1,1,有,無,有,5000,0,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料3.此為透天分租套房,RPRQMLLJNHIFFAD57CC
北區,建物,臺南市北區北安路一段176巷1~30號,0.0,住,,,1020416,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0951129,74.5,2,2,2,有,有,有,16000,215,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料,RPSQMLLJNHIFFAD67CC
安平區,建物,臺南市安平區建平十七街151~180號,0.0,住,,,1020418,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0821213,76.58,2,1,1,有,有,有,10000,131,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料,RPTQMLLJNHIFFAD77CC
安平區,房地(土地+建物),臺南市安平區安平路606巷17弄1~30號,0.0,住,,,1020414,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680922,118.44,4,2,1,有,無,有,16000,135,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料3.租賃層次為整棟,RPUQMLLJNHIFFAD87CC
南區,房地(土地+建物),臺南市南區福吉五街1~30號,0.0,住,,,1020425,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,0691119,386.21,5,2,3,有,無,無,30000,78,,0.0,0,,RPVOMLLJNHIFFCD97CC
南區,房地(土地+建物),臺南市南區新和二路1~30號,0.0,工,,,1020425,土地1建物1車位0,一層,4,工廠,見其他登記事項,鋼筋混凝土構造,0721229,457.88,0,1,1,有,無,無,40000,,,0.0,0,,RPWOMLLJNHIFFCD08CC
東區,建物,臺南市東區裕豐街185巷12弄1~30號,0.0,住,,,1020421,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0800830,52.04,2,1,1,有,無,有,8800,169,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料,RPXOMLLJNHIFFCD18CC
南區,建物,臺南市南區金華路二段3巷1~30號,0.0,住,,,1020413,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0670509,75.67,3,2,1,有,無,有,6500,86,,0.0,0,,RPPPMLLJNHIFFCD47CC
東區,房地(土地+建物),臺南市東區建東街43巷31~60號,0.0,住,,,1020409,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0650416,82.68,4,2,3,有,無,無,9000,109,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料3.租賃層次為整棟,RPQPMLLJNHIFFCD57CC
安南區,房地(土地+建物),臺南市安南區環館北路811~840號,0.0,住,,,1020406,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,0971128,244.31,4,3,4,有,無,有,19000,78,,0.0,0,1.因合約書無填具土地租賃面積2.由所有權人提供出資料3.租賃層次為整棟,RPSOMLLJNHIFFBD57CC
永康區,建物,臺南市永康區文化路331~360號,0.0,住,,,1020403,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940214,241.59,5,2,5,有,無,有,25000,103,,0.0,0,,RPQPMLMJNHIFFHR96CC
永康區,建物,臺南市永康區中華一路203巷1~30號,0.0,住,,,1020413,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871026,51.0,3,1,1,有,有,有,9000,176,,0.0,0,,RPXPMLMJNHIFFHR67CC
