編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPPMLQJNHIFFBJ28CA,坡道機械,0,
RPROMLMJNHIFFBJ97CA,升降機械,0,
RPXOMLMJNHIFFBJ58CA,坡道平面,1100000,31.61
RPXOMLMJNHIFFBJ58CA,坡道平面,1050000,29.52
RPOPMLMJNHIFFBJ77CA,坡道平面,1100000,31.61
RPOPMLMJNHIFFBJ77CA,坡道平面,1100000,31.61
RPQNMLKKNHIFFBJ67CA,坡道機械,0,21.81
RPQNMLKKNHIFFBJ67CA,坡道機械,0,21.81
RPRNMLKKNHIFFBJ77CA,坡道平面,0,33.33
RPRNMLKKNHIFFBJ77CA,坡道機械,0,21.81
RPROMLRKNHIFFBJ58CA,升降機械,400000,17.88
RPROMLRKNHIFFBJ58CA,升降機械,400000,17.87
RPWPMLRKNHIFFBJ56CA,坡道平面,0,
RPUPMLRKNHIFFBJ98CA,坡道平面,0,
RPPQMLRKNHIFFBJ58CA,坡道平面,0,
RPXPMLRKNHIFFBJ66CA,坡道平面,0,
RPOQMLRKNHIFFBJ48CA,坡道平面,0,
RPPNMLKLNHIFFBJ67CA,其他,0,
RPPNMLKLNHIFFBJ67CA,其他,0,
RPVNMLTKNHIFFBJ09CA,其他,0,
RPVNMLTKNHIFFBJ09CA,其他,0,
RPXQMLNLNHIFFBJ09CA,坡道平面,0,
RPXQMLNLNHIFFBJ09CA,坡道平面,0,
RPPNMLOJNHIFFBJ97DA,坡道平面,0,
RPQNMLOJNHIFFBJ08DA,坡道平面,0,
RPPNMLRJNHIFFBJ28DA,坡道平面,0,
RPTOMLPKNHIFFCJ68CA,坡道機械,0,
RPRNMLRLNHIFFBJ68DA,坡道平面,0,25.80
RPOOMLKMNHIFFDJ97CA,一樓平面,0,
RPQNMLPJNHIFFBJ08CA,坡道平面,0,
RPPPMLPKNHIFFBJ28CA,坡道平面,0,
RPSPMLRJNHIFFBJ68CA,一樓平面,0,
RPSPMLRJNHIFFBJ68CA,一樓平面,0,
RPTPMLRJNHIFFBJ78CA,一樓平面,0,
RPTPMLRJNHIFFBJ78CA,一樓平面,0,
RPTNMLRLNHIFFCJ88CA,坡道平面,0,31.97
RPWNMLSLNHIFFCJ66CA,坡道平面,0,
RPRPMLSJNHIFFBJ68CA,坡道平面,1150000,39.43
RPXNMLMKNHIFFBJ58CA,坡道平面,0,
RPROMLKKNHIFFBJ87CA,坡道平面,1150000,34.78
RPROMLKKNHIFFBJ87CA,坡道平面,1150000,34.78
RPQOMLKKNHIFFBJ77CA,坡道平面,900000,34.78
RPQOMLKKNHIFFBJ77CA,坡道平面,900000,34.78
RPQOMLKKNHIFFBJ77CA,坡道平面,900000,34.78
RPSOMLKKNHIFFBJ97CA,坡道平面,900000,34.78
RPSOMLKKNHIFFBJ97CA,坡道平面,900000,34.78
RPRRMLPKNHIFFBJ68CA,坡道平面,0,
RPRRMLPKNHIFFBJ68CA,坡道平面,0,
RPRQMLKLNHIFFBJ18CA,坡道平面,0,
RPQNMLPKNHIFFBJ18CA,坡道平面,0,30.65
RPRQMLNKNHIFFBJ38CA,坡道平面,0,
RPXOMLTJNHIFFCJ76CA,坡道平面,0,
RPQPMLOLNHIFFBJ38CA,坡道平面,0,45.06
RPRPMLOLNHIFFBJ48CA,坡道平面,0,45.06
RPSNMLRJNHIFFDJ68CA,坡道平面,0,
RPTOMLLJOHIFFBJ18CA,升降平面,0,
RPUOMLLJOHIFFBJ28CA,升降平面,0,
