編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPWOMLOLNHIFFAU47EA,一樓平面,0,13.50
RPVOMLOLNHIFFAU37EA,一樓平面,0,13.50
RPXPMLPKNHIFFAU47CA,一樓平面,0,13.40
RPSNMLKLNHIFFAU98CA,一樓平面,0,13.51
RPQOMLMLNHIFFAU09CA,一樓平面,0,13.40
RPVNMLRLNHIFFAU57EA,坡道平面,0,13.51
RPSPMLQJOHIFFAU07CA,升降機械,0,.18
RPSPMLQJOHIFFAU07CA,升降機械,0,.18
RPQNMLLKOHIFFAU88CA,一樓平面,0,13.51
RPVPMLOKQHIFFAU47CA,坡道平面,400000,14.09
RPXQMLOLOHIFFAU77DA,坡道平面,0,
RPQPMLMKPHIFFAU66CA,坡道平面,0,
RPOQMLOKQHIFFAU86CA,坡道平面,0,45.99
RPWPMLOKQHIFFAU57CA,坡道平面,400000,14.09
RPWNMLTJPHIFFAU67CA,坡道平面,0,25.82
RPWPMLSKPHIFFAU87CA,升降機械,0,
RPUOMLLKPHIFFAU96DA,一樓平面,0,13.50
RPXQMLNLPHIFFAU67CA,一樓平面,0,13.40
RPQPMLTKPHIFFAU37CA,一樓平面,0,
RPQOMLQLPHIFFAU07CA,一樓平面,0,
RPUNMLTLPHIFFAU77DA,升降機械,50000,
RPUPMLKLQHIFFAU07CA,坡道平面,0,
RPTQMLLJQHIFFAU96CA,一樓平面,0,13.51
RPQQMLRLQHIFFAU47CA,坡道平面,0,21.96
