鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
馬公市,土地,文石段511~540地號,308.01,,一般農業區,甲種建築用地,1070328,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12670000,41135,,0.0,0,,RPPNMLMKNHNFFAX96CA
馬公市,土地,鎖港南段151~180地號,713.13,,一般農業區,農牧用地,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1402,,0.0,0,,RPQNMLQKNHNFFAX47CA
湖西鄉,土地,龍門南段211~240地號,47.69,,鄉村區,乙種建築用地,1070409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,4194,,0.0,0,,RPPNMLSKNHNFFAX57CA
湖西鄉,土地,沙港東段121~150地號,655.26,,一般農業區,農牧用地,1061208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1526,,0.0,0,,RPPNMLPLNHNFFAX37CA
馬公市,房地(土地+建物),澎湖縣馬公市三多路146巷15弄1~30號,73.74,住,,,1070420,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670607,76.64,3,1,2,有,無,6600000,86117,,0.0,0,,RPRNMLQKNHNFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公市文山路27巷1~30號,26.04,住,,,1070430,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060328,101.57000000000001,3,2,2,有,有,6400000,63011,,0.0,0,,RPSNMLQKNHNFFAX77DA
白沙鄉,房地(土地+建物),澎湖縣白沙鄉大赤崁391~420號,301.18,,一般農業區,甲種建築用地,1070409,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061206,276.98,7,1,7,有,無,6400000,23106,,0.0,0,,RPSNMLSKNHNFFAX97DA
馬公市,房地(土地+建物),澎湖縣馬公市五福路78巷23弄1~30號,224.36,,一般農業區,甲種建築用地,1070412,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070202,311.05,5,2,5,有,無,11200000,36007,,0.0,0,,RPVNMLOLNHNFFAX97DA
馬公市,房地(土地+建物),澎湖縣馬公市光復路445巷1~30號,55.0,,鄉村區,乙種建築用地,1070427,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0690530,92.2,3,2,2,有,無,915000,9924,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLRJOHNFFAX57DA
白沙鄉,土地,講美段1261~1290地號,514.16,,一般農業區,農牧用地,1070416,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,1361,,0.0,0,土地增值稅125069買方支付親友、員工或其他特殊關係間之交易。,RPQNMLMLNHNFFAX27DA
馬公市,土地,北極段1201~1230地號,62.76,住,,,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1243500,19814,,0.0,0,,RPPNMLKLNHNFFAX96DA
馬公市,土地,北極段1201~1230地號,173.48,住,,,1070426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3437300,19814,,0.0,0,土地增值稅買賣雙方各半負擔。包含公共設施保留地之交易。,RPSNMLLLNHNFFAX37DA
馬公市,土地,文東段1891~1920地號,281.46,,一般農業區,農牧用地,1070111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,17765,,0.0,0,,RPPNMLQKNHNFFAX37CA
馬公市,房地(土地+建物),澎湖縣馬公市西衛里121~150號,191.19,,一般農業區,甲種建築用地,1070324,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070201,320.13,9,0,9,有,無,13000000,40609,,0.0,0,,RPVNMLPLNHNFFAX97CA
馬公市,房地(土地+建物),澎湖縣馬公市文山路27巷1~30號,26.68,住,,,1070502,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060328,113.65,3,2,2,有,有,5700000,50154,,0.0,0,,RPTNMLQKNHNFFAX77CA
馬公市,土地,井垵西段1531~1560地號,713.03,,一般農業區,農牧用地,1070326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3880000,5442,,0.0,0,,RPPNMLLLNHNFFAX96CA
馬公市,土地,鐵線段1051~1080地號,1140.09,,一般農業區,農牧用地,1070425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3450000,3026,,0.0,0,土地增值稅買賣雙方各半,RPPNMLMLNHNFFAX17DA
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港991~1020號,121.57,住,,,1070409,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840704,220.24,4,1,3,有,無,3380000,15347,,0.0,0,,RPTNMLSKNHNFFAX08DA
馬公市,土地,興仁段811~840地號,1182.05,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6796800,5750,,0.0,0,,RPTNMLMJOHNFFAX47DA
馬公市,房地(土地+建物),澎湖縣馬公市成功街6巷1~30號,158.18,住,,,1070418,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強空心磚造,0560206,57.04,4,2,2,有,無,9200000,161290,,0.0,0,,RPRNMLSKNHNFFAX77CA
馬公市,土地,裡新段481~510地號,177.66,,森林區,丙種建築用地,1070509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1652238,9300,,0.0,0,向政府機關承購之案件。權利人有2人,RPUNMLSKNHNFFAX08CA
湖西鄉,土地,西溪新段481~510地號,430.71,,一般農業區,農牧用地,1070319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3483,,0.0,0,,RPPNMLNLNHNFFAX17CA
白沙鄉,土地,後寮南段1081~1110地號,684.75,,一般農業區,農牧用地,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,620000,905,,0.0,0,,RPQNMLNLNHNFFAX27CA
湖西鄉,土地,林投北段631~660地號,142.81,,一般農業區,水利用地,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1121059,7850,,0.0,0,向政府機關承購之案件。;,RPPNMLKMNHNFFAX96CA
湖西鄉,土地,北寮新段31~60地號,120.66,,鄉村區,乙種建築用地,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,2901,,0.0,0,向政府機關承購之案件。;逾期未辦繼承標售案,RPQNMLKMNHNFFAX17DA
馬公市,土地,鎖港西段91~120地號,108.74,住,,,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1994292,18340,,0.0,0,向政府機關承購之案件。,RPRNMLLLNHNFFAX37EA
湖西鄉,土地,潭邊新段631~660地號,335.83,,鄉村區,乙種建築用地,1070306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,10720,,0.0,0,逾期未辦繼承標售案,RPRNMLNLNHNFFAX47DA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文昌街31~60號,49.25,住,,,1070417,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821027,229.9,4,1,2,有,無,6500000,28273,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLPLNHNFFAX18CA
