編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOJPHNFFDK56CC,6,190.05,見其他登記事項,鋼筋混凝土造,101年12月13日,十五層,
RPPOMLKLOHNFFBK78DC,22,132.24,住家用,鋼筋混凝土造,84年12月21日,,
RPRNMLLJOHNFFBK68CC,26,118.33,住家用,鋼筋混凝土造,81年9月28日,,
RPRNMLLJOHNFFBK68CC,26,8.95,,鋼筋混凝土造,81年9月28日,,
RPTNMLRKPHNFFBK17DC,19,87.46,住家用,鋼筋混凝土造,88年12月6日,十二層,
RPQNMLQKOHNFFBK66DC,22,82.25,住家用,鋼筋混凝土造,85年6月10日,七層,
RPTNMLTKPHNFFBK37DC,25,82.00,住家用,鋼筋混凝土造,82年7月1日,十二層,
RPQNMLRLOHNFFBK76CC,30,36.49,住商用,鋼筋混凝土造,77年8月26日,,
RPQNMLNJQHNFFBK09DC,35,105.54,住家用,鋼筋混凝土造,72年9月12日,,
RPQNMLMJPHNFFBK78CC,37,92.71,住家用,鋼筋混凝土造,70年12月28日,五層,
RPSNMLRKPHNFFBK07DC,31,90.00,住家用,鋼筋混凝土造,76年6月3日,五層,
RPRNMLQKOHNFFBK76DC,23,99.13,住家用,鋼筋混凝土造,84年5月10日,十層,
RPUOMLQJQHNFFDK37CC,3,193.72,商業用,鋼筋混凝土造,104年12月28日,五層,
RPSNMLOKNHNFFFK86CC,30,118.53,住家用,鋼筋混凝土造,77年11月2日,二層,
