編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPKOHNFFBC28DC,,244.62,住家用,磚造,,三層,
RPXNMLQJOHNFFBC09DC,14,198.35,見其他登記事項,鋼筋混凝土造,93年1月15日,十二層,
RPVNMLTKOHNFFBC56CC,26,202.36,見其他登記事項,鋼筋混凝土造,81年11月5日,十二層,
RPVNMLTKOHNFFBC56CC,26,202.36,見其他登記事項,鋼筋混凝土造,81年11月5日,十二層,
RPVNMLQLOHNFFBC98CC,21,133.94,住家用,鋼筋混凝土造,86年11月21日,二十層,
RPTNMLLJOHNFFBC08CC,19,95.34,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLQKPHNFFBC88DC,36,118.31,住家用,鋼筋混凝土造,71年10月12日,六層,
RPUNMLQLOHNFFCC98CC,41,65.75,住家用,鋼筋混凝土造,65年12月21日,四層,
RPUNMLMKPHNFFCC58CC,2,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,
RPUNMLMKPHNFFCC58CC,2,.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLMKPHNFFCC58CC,2,34.59,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXNMLTKPHNFFCC96CC,27,1047.86,商業用,鋼筋混凝土造,80年6月7日,十層,
RPXNMLTKPHNFFCC96CC,27,10.36,商業用,鋼筋混凝土造,80年6月7日,十層,
RPXNMLTKPHNFFCC96CC,27,5.20,共用部份,鋼筋混凝土造,80年6月7日,十層,
RPRNMLRLOHNFFCC78CC,39,88.40,住家用,鋼筋混凝土造,68年6月25日,四層,
RPRNMLLJQHNFFCC18CC,18,78.48,住家用,鋼筋混凝土造,89年3月13日,九層,
