編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLRKNHNFFAG09EC,水源段,71.59,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLRKNHNFFAG09EC,水源段,14.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLRKNHNFFAG09EC,水源段,12.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLRKNHNFFAG56EC,中華段,122.11,都市：住
RPOOMLRKNHNFFAG58CC,協孝段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLSKNHNFFAG88CC,和平段,.00,都市：住
RPQOMLPKNHNFFAG78EC,南昌段,23.55,都市：住
RPSOMLLLNHNFFAG48CC,信義段,.00,都市：商
RPSNMLLLNHNFFAG38CC,隆昌段,12.87,都市：住
RPVRMLKMNHNFFAG09CC,興東段,14.00,都市：住
RPRRMLKMNHNFFAG68CC,興東段,10.89,都市：商
RPUNMLLJOHNFFAG68EC,公正段,169.00,都市：住
RPURMLKMNHNFFAG98CC,羅莊段,28.03,都市：住
RPRNMLRJOHNFFAG78CC,頂寮段,316.92,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLQJOHNFFAG78CC,蘇市段,.00,非都市： ; 非都市編定：
RPSNMLQJOHNFFAG78CC,蘇市段,.00,都市：商
RPVNMLRJOHNFFAG56CC,東光段,.00,都市：商
RPQNMLTJOHNFFAG88CC,北成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLMKOHNFFAG48CC,公正段,.00,都市：住
RPSNMLQLOHNFFAG98CC,國華段,.00,都市：住
RPXNMLMJPHNFFAG98CC,大洲一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLTJPHNFFAG09CC,南昌段,.00,都市：住
RPSPMLPKNHNFFBG98CC,金六結段七結小段,.00,都市：住
RPRNMLKKPHNFFAG28CC,北成段,22.00,都市：住
RPOPMLOKOHNFFBG58CC,新福段,400.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLOKOHNFFBG58CC,新福段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLOKOHNFFBG58CC,新福段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLOKOHNFFBG58CC,新福段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLMLNHNFFBG88CC,金六結段七結小段,.00,都市：住
RPUOMLMLNHNFFBG88CC,金六結段七結小段,.00,都市：住
RPTNMLMKPHNFFAG68CC,新甲段,131.23,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLMKPHNFFAG68CC,新甲段,121.50,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLTKPHNFFAG66CC,鹿安二段,.00,都市：住
RPXNMLNKPHNFFBG66CC,乾門一段,270.22,都市：商
RPOPMLQKNHNFFBG68CC,坤門三段,.00,都市：住
RPPOMLLKOHNFFBG48EC,乾門二段,.00,都市：商
RPQOMLMLNHNFFBG48CC,保安段,.00,都市：住
RPVOMLQLOHNFFBG86CC,珍子滿力段擺厘小段,.00,都市：商
RPXOMLNKPHNFFBG76CC,女中段,.00,都市：住
RPQNMLLLNHNFFBG28CC,金六結段金結小段,.00,都市：住
RPRNMLNLNHNFFBG58CC,永同段,1012.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLSKPHNFFBG56CC,巽門一段,.00,都市：商
RPVNMLNLPHNFFAG09CC,猴猴段,111.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLKMPHNFFBG78CC,乾門三段,.00,都市：商
RPUNMLOLPHNFFAG66EC,中華段,37.75,都市：商
RPQOMLOLPHNFFBG88CC,坤門一段,.00,都市：商
RPOOMLPLPHNFFAG68CC,南昌段,28.00,都市：住
RPUNMLKMPHNFFBG88CC,和睦段,.00,都市：住
RPTNMLQLPHNFFBG66CC,金六結一段,.00,都市：住
RPOOMLKMPHNFFBG38CC,東村段,.00,都市：住
RPOOMLKMPHNFFBG38CC,和睦段,.00,都市：住
RPXNMLPLPHNFFAG86CC,東安段,.00,都市：住
RPWRMLKMPHNFFAG76CC,維揚段,87.00,都市：商
RPWRMLKMPHNFFAG76CC,維揚段,32.00,都市：商
RPWRMLKMPHNFFAG76CC,維揚段,12.00,都市：商
RPXOMLLJQHNFFAG09CC,義成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLNJQHNFFAG58CC,羅莊段,11.71,都市：住
RPOPMLKKQHNFFBG38CC,宜商段,.00,都市：住
RPOPMLLJQHNFFBG38CC,和睦段,.00,都市：住
RPOPMLLJQHNFFBG38CC,東村段,.00,都市：住
RPSOMLMJQHNFFBG78CC,金六結段六結小段,.00,都市：住
RPTNMLNJQHNFFAG78CC,東安段,19.25,都市：住
RPWNMLNJQHNFFAG09CC,北成段,33.00,都市：住
RPSNMLQJQHNFFAG56EC,中華段,12.25,都市：商
RPVNMLNJQHNFFAG98CC,羅莊段,35.30,都市：住
RPXNMLTJQHNFFAG37EC,北成段,30.60,都市：住
RPXPMLQJQHNFFBG17CC,珍子滿力段擺厘小段,.00,都市：住
RPTQMLQJQHNFFBG86CC,金六結二段,.00,都市：住
