編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLMJKHIFFAH87CC,坡道平面,0,
RPWNMLMJKHIFFAH97CC,坡道平面,0,
RPQPMLOJKHIFFAH77CC,坡道平面,15000,32.79
RPVOMLPJKHIFFAH38DC,坡道平面,0,
RPUNMLPJKHIFFDH38CC,一樓平面,0,
RPPRMLTKKHIFFAH48CC,坡道平面,0,28.53
RPTPMLKLKHIFFAH87CC,坡道平面,1700,
RPQQMLLLKHIFFAH87DC,坡道平面,0,
RPRPMLMLKHIFFBH97CC,坡道平面,0,
RPOTMLMLKHIFFBH08CC,升降機械,0,
RPTPMLNLKHIFFBH28CC,坡道平面,0,
RPROMLPLKHIFFGH68CC,其他,2500,33.72
RPTPMLTKKHIFFEH56DC,坡道平面,0,
RPTPMLTKKHIFFEH56DC,坡道平面,0,
RPPPMLNLKHIFFEH18CC,坡道平面,0,
RPPNMLOLKHIFFEH18DC,坡道平面,0,
RPPNMLNLKHIFFEH97CC,坡道平面,0,33.40
RPSNMLPLKHIFFEH48CC,坡道平面,0,30.07
RPWNMLPLKHIFFAH48CC,坡道平面,2000,26.39
RPVRMLRLKHIFFEH76CC,坡道平面,0,
RPPOMLRLKHIFFFH58CC,坡道平面,0,30.76
RPWRMLQLKHIFFAH98CC,一樓平面,0,
RPPOMLSLKHIFFAH18CC,坡道平面,2000,
RPUQMLLJLHIFFAH08CC,坡道平面,0,31.88
RPPNMLNJLHIFFEH97DC,坡道平面,0,
RPUNMLMJLHIFFAH97DC,坡道平面,0,
RPPPMLQJLHIFFEH38CC,坡道平面,0,39.75
RPPNMLRJLHIFFAH87CC,坡道平面,0,23.00
RPTOMLLKLHIFFAH87CC,一樓平面,0,
RPUOMLLKLHIFFBH18DC,坡道平面,0,
RPWOMLLKLHIFFBH38DC,坡道平面,0,
RPTPMLSJLHIFFAH58CC,坡道平面,0,40.52
RPVQMLSJLHIFFAH88CC,坡道平面,0,25.02
RPQNMLMKLHIFFAH67DC,坡道機械,0,
RPWOMLMKLHIFFAH48EC,坡道平面,0,
RPSOMLMKLHIFFBH97CC,坡道平面,0,
RPVNMLMKLHIFFAH18DC,坡道平面,0,
RPQQMLPJLHIFFCH28CC,坡道平面,0,36.44
RPOQMLPJLHIFFCH08CC,坡道平面,0,36.44
RPXPMLPJLHIFFCH88CC,坡道平面,0,36.44
RPQNMLOKLHIFFFH48EC,坡道平面,0,
RPORMLOKLHIFFBH08CC,坡道平面,1500,11.25
RPWNMLOKLHIFFEH78CC,坡道平面,2000,44.58
RPQNMLTKLHIFFCH48CC,坡道平面,0,36.45
RPSUMLMLLHIFFEH09DC,坡道平面,0,
RPROMLMLLHIFFAH87CC,一樓平面,0,
RPWPMLPLLHIFFAH78CC,坡道平面,0,
RPTQMLPLLHIFFAH58CC,坡道平面,0,
RPSNMLQLLHIFFCH48CC,坡道平面,0,40.33
RPTNMLQLLHIFFFH88CC,坡道平面,0,
RPWOMLLJMHIFFCH38CC,坡道平面,0,36.45
RPQPMLLJMHIFFCH87CC,坡道平面,0,
RPSNMLLMLHIFFEH38DC,坡道平面,0,
RPXNMLLJMHIFFFH68CC,坡道平面,0,
RPRQMLNJMHIFFEH48CC,坡道平面,0,15.56
RPVOMLSJMHIFFBH98DC,坡道平面,0,
RPTRMLNJMHIFFAH38CC,坡道平面,0,41.97
RPRPMLNJMHIFFAH97CC,坡道平面,3000,40.01
RPRPMLNJMHIFFAH97CC,坡道平面,3000,40.01
RPRPMLNJMHIFFAH97CC,坡道平面,3000,40.01
RPQSMLTLLHIFFBH98CC,坡道平面,0,41.13
RPOOMLSJMHIFFEH48CC,坡道平面,0,38.65
RPWNMLLKMHIFFCH38CC,坡道平面,0,40.33
RPSOMLKKMHIFFAH77CC,坡道平面,0,
RPOOMLNKMHIFFAH67CC,坡道平面,0,
RPSPMLRKMHIFFBH78DC,坡道平面,0,
RPORMLSKMHIFFBH58CC,坡道平面,0,
RPUOMLRKMHIFFEH56DC,坡道平面,0,
RPWNMLNLMHIFFEH88CC,坡道平面,0,
RPPPMLMLMHIFFBH97CC,坡道平面,0,14.75
RPQPMLOLMHIFFAH18CC,坡道平面,0,41.31
RPUPMLQLMHIFFAH78CC,坡道平面,0,
RPPPMLQLMHIFFAH28CC,坡道平面,3000,33.03
RPRRMLKMMHIFFFH68CC,坡道平面,0,
RPWPMLQLMHIFFAH98CC,坡道平面,0,
RPTQMLQLMHIFFAH88DC,坡道平面,0,28.82
RPTQMLQLMHIFFAH88DC,坡道平面,0,28.82
RPPRMLQLMHIFFAH58DC,坡道平面,0,30.47
RPQWMLKMMHIFFAH58CC,坡道平面,0,15.43
