編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPWPMLQJKHJFFAB87CA,坡道平面,0,
RPVPMLPJKHJFFAB67CA,坡道平面,0,28.08
RPVPMLPJKHJFFAB67CA,坡道平面,0,28.08
RPVPMLPJKHJFFAB67CA,坡道平面,0,28.08
RPVOMLPLKHJFFAB77CA,坡道機械,0,13.10
RPRPMLRJKHJFFBB57CA,坡道平面,0,
RPXNMLMKLHJFFAB57CA,坡道機械,0,
RPXNMLMKLHJFFAB57CA,坡道機械,0,
RPVQMLMKKHJFFBB67CA,坡道機械,0,
RPRTMLQKKHJFFBB97CA,坡道平面,0,
RPSNMLLKKHJFFBB96CA,坡道平面,0,24.48
RPVPMLPJKHJFFCB87CA,坡道平面,0,
RPVPMLPJKHJFFCB87CA,升降機械,0,
RPSOMLQJKHJFFCB57CA,坡道平面,0,22.28
RPVNMLQJKHJFFCB77CA,坡道機械,0,
RPOOMLQJKHJFFCB17CA,坡道平面,0,
RPVOMLRJKHJFFCB97CA,坡道平面,0,27.55
RPPRMLLLKHJFFBB17CA,坡道機械,0,
RPRPMLQLKHJFFBB67CA,升降平面,0,
RPQRMLLLKHJFFBB27CA,坡道平面,0,
RPXPMLQLKHJFFBB28CA,坡道平面,0,
RPXNMLSJKHJFFCB18CA,坡道平面,0,
RPPQMLRJKHJFFCB57CA,坡道平面,0,15.10
RPPQMLRJKHJFFCB57CA,坡道平面,0,15.10
RPRQMLKLKHJFFCB27CA,坡道機械,0,
RPUPMLLKKHJFFCB47CA,坡道平面,0,
RPUPMLLKKHJFFCB47CA,坡道平面,0,
RPRQMLLKKHJFFCB27CA,坡道機械,0,
RPQQMLLKKHJFFCB17CA,坡道機械,0,
RPQQMLLKKHJFFCB17CA,坡道機械,0,
RPURMLLLKHJFFCB77CA,坡道平面,0,
RPWOMLPJLHJFFCB97CA,坡道平面,0,
RPROMLPJKHJFFFL68CA,坡道機械,0,
RPOQMLTKKHJFFGL56CA,坡道平面,790000,20.08
RPXPMLTKKHJFFGL37CA,坡道機械,360000,9.66
RPPQMLTKKHJFFGL66CA,坡道平面,730000,20.08
RPPQMLTKKHJFFGL66CA,坡道平面,790000,24.07
RPUQMLTKKHJFFGL17CA,坡道平面,840000,24.07
RPQQMLTKKHJFFGL76CA,坡道機械,300000,9.66
RPRQMLTKKHJFFGL86CA,坡道機械,300000,9.66
RPUSMLTKKHJFFGL37CA,坡道平面,790000,24.07
RPTQMLTKKHJFFGL07CA,坡道機械,360000,9.66
RPWRMLTKKHJFFGL47CA,坡道平面,730000,20.08
RPSSMLTKKHJFFGL17CA,坡道機械,300000,9.66
RPVSMLTKKHJFFGL47CA,坡道平面,730000,20.08
RPVSMLTKKHJFFGL47CA,坡道機械,300000,9.66
RPWOMLLLKHJFFGL09CA,坡道機械,0,
RPPOMLLKKHJFFHL38CA,坡道機械,0,
RPPNMLNKKHJFFHL48CA,坡道平面,0,
RPTNMLRKKHJFFHL66CA,坡道機械,0,
RPRNMLLLKHJFFHL58CA,坡道機械,0,
RPVSMLOLMHJFFHL37CA,坡道平面,1150000,27.81
RPVSMLOLMHJFFHL37CA,坡道機械,850000,17.12
RPWSMLOLMHJFFHL47CA,坡道平面,1100000,27.81
RPWSMLOLMHJFFHL47CA,坡道機械,850000,17.12
RPOOMLMKKHJFFEL18DA,坡道平面,0,23.18
RPXPMLRJKHJFFGL17DA,坡道機械,0,
RPPOMLRKKHJFFHL98CA,坡道平面,0,
RPXRMLTKKHJFFGL57CA,坡道平面,790000,20.08
RPPSMLTKKHJFFGL86CA,坡道平面,840000,24.07
RPQSMLTKKHJFFGL96CA,坡道機械,420000,10.62
RPWQMLTKKHJFFGL37CA,坡道平面,790000,20.08
RPWQMLTKKHJFFGL37CA,坡道機械,360000,10.62
RPORMLTKKHJFFGL66CA,坡道平面,730000,20.08
RPPRMLTKKHJFFGL76CA,坡道機械,340000,10.62
RPQRMLTKKHJFFGL86CA,坡道平面,790000,20.08
RPXQMLTKKHJFFGL47CA,坡道平面,790000,10.62
RPTNMLOLKHJFFHL09CA,坡道平面,1100000,
RPPSMLQLKHJFFCB87CA,坡道機械,600000,14.11
RPSOMLQJKHJFFAL38CA,坡道平面,0,
RPSSMLQLKHJFFCB18CA,坡道機械,490000,12.34
RPQSMLQLKHJFFCB97CA,坡道平面,980000,21.95
RPTSMLQLKHJFFCB28CA,坡道平面,940000,21.95
RPWQMLLKKHJFFFL09CA,坡道機械,0,
RPUSMLQLKHJFFCB38CA,坡道平面,940000,21.95
RPSTMLQLKHJFFCB28CA,坡道平面,940000,21.95
RPRTMLQLKHJFFCB18CA,坡道平面,980000,21.95
RPTTMLQLKHJFFCB38CA,坡道平面,940000,21.95
RPUTMLQLKHJFFCB48CA,坡道機械,490000,12.34
RPXSMLQLKHJFFCB68CA,坡道平面,940000,21.95
RPPTMLQLKHJFFCB97CA,坡道平面,980000,21.95
RPOTMLQLKHJFFCB87CA,坡道平面,980000,21.95
RPWTMLQLKHJFFCB68CA,坡道機械,490000,12.14
RPVTMLQLKHJFFCB58CA,坡道平面,980000,21.95
RPVNMLOLKHJFFCB77CA,坡道平面,0,28.38
RPVNMLOLKHJFFCB77CA,坡道平面,0,28.38
RPWQMLLKKHJFFCB77CA,坡道平面,0,22.54
RPWQMLLKKHJFFCB77CA,坡道平面,0,22.54
RPUPMLOKKHJFFCB77CA,坡道平面,0,
RPQNMLSJKHJFFCB47CA,坡道機械,0,
RPSOMLMKKHJFFCB27CA,坡道機械,0,
RPPNMLSJKHJFFCB37CA,坡道機械,0,
RPRQMLQJKHJFFCB67CA,坡道機械,0,13.92
RPOQMLRKKHJFFBB47CA,坡道機械,0,13.60
RPWQMLQKKHJFFBB18CA,坡道平面,0,
RPTPMLOKKHJFFBB57CA,坡道平面,0,21.49
RPQNMLTJKHJFFBB47CA,升降機械,0,
RPVNMLRJKHJFFBB77CA,坡道機械,0,
RPSNNLQJKHJFFBB47CA,坡道平面,0,27.23
RPTNNLQJKHJFFBB57CA,坡道機械,0,
RPQNMLSJKHJFFBB37CA,坡道機械,0,
RPXQMLMKKHJFFAB77CA,坡道機械,0,
RPXQMLMKKHJFFAB77CA,坡道機械,0,
RPSQMLKLKHJFFAB17CA,坡道平面,0,
RPRNMLNLKHJFFAB07CA,坡道平面,0,27.63
RPPNMLQKKHJFFAB07CA,坡道平面,0,
RPTOMLMKKHJFFAB17CA,坡道平面,0,19.85
RPTOMLMKKHJFFAB17CA,坡道平面,0,19.85
RPRNMLRLKHJFFAB47CA,坡道機械,0,
RPQRMLMKKHJFFAB17CA,坡道平面,0,
SPVPMLMKKHJFFAB57CA,坡道平面,0,19.85
SPVPMLMKKHJFFAB57CA,坡道平面,0,19.85
RPPPMLMKKHJFFAB86CA,坡道平面,0,19.85
RPXOMLMKKHJFFAB57CA,坡道平面,0,19.85
RPQPMLMKKHJFFAB96CA,坡道平面,0,19.85
RPOOMLSJKHJFFBB27CA,升降機械,0,
RPQOMLLKKHJFFBB86CA,坡道平面,0,
RPUTMLRKKHJFFBB38CA,升降機械,0,
RPWTMLRKKHJFFBB58CA,坡道平面,0,18.53
RPROMLSKKHJFFBB67CA,坡道平面,0,19.90
RPROMLSKKHJFFBB67CA,坡道平面,0,19.90
RPVPMLQLKHJFFBB08CA,坡道平面,0,15.04
RPVPMLQLKHJFFBB08CA,坡道機械,0,9.31
RPOQMLPLKHJFFBB37CA,坡道機械,0,
RPTOMLOLKHJFFBB57CA,坡道機械,0,
RPOQMLRJKHJFFCB47CA,坡道平面,0,
RPQOMLSJKHJFFCB57CA,坡道機械,0,14.60
RPVPMLKKKHJFFCB47CA,坡道平面,0,
RPSNMLKLKHJFFBB96CA,坡道機械,0,
RPSNMLLKKHJFFCB07CA,坡道平面,1300000,26.47
RPQOMLLKKHJFFCB96CA,坡道平面,0,23.16
RPWNMLLKKHJFFCB47CA,坡道平面,1300000,15.83
RPWNMLLKKHJFFCB47CA,坡道平面,1300000,15.83
RPPQMLOKKHJFFCB37CA,坡道平面,0,33.94
RPTNMLOKKHJFFCB47CA,坡道平面,1000000,28.81
RPTNMLOKKHJFFCB47CA,坡道平面,1000000,28.81
RPQNMLQKKHJFFCB37CA,坡道機械,0,
RPQPMLTKKHJFFCB87CA,坡道平面,0,24.90
RPQPMLTKKHJFFCB87CA,坡道平面,0,24.90
RPXNMLSKKHJFFCB28CA,坡道平面,0,14.75
RPQNMLSKLHJFFCB67CA,坡道機械,0,
RPTNMLLKKHJFFGL58CA,坡道平面,0,
RPRRMLTKKHJFFGL96CA,坡道機械,300000,9.66
RPSRMLTKKHJFFGL07CA,坡道機械,300000,9.66
RPTRMLTKKHJFFGL17CA,坡道機械,300000,9.66
RPSOMLNKKHJFFHL88CA,坡道平面,0,
RPQOMLMKKHJFFHL58CA,坡道平面,0,
RPWNMLPJLHJFFFL56CA,坡道機械,0,
RPOQMLOJLHJFFBB27DA,坡道平面,0,24.22
RPOOMLSKKHJFFHL98CA,坡道平面,0,
RPPOMLMKKHJFFHL48CA,坡道平面,0,
RPQOMLRJLHJFFHL56DA,坡道機械,0,
RPSNMLKLKHJFFGL48CA,坡道平面,0,
RPRNMLOLKHJFFAB27DA,坡道平面,0,25.26
RPRNMLMLKHJFFGL58CA,坡道平面,0,
RPRPMLRLKHJFFCB87CA,坡道平面,0,
RPROMLSKKHJFFCB77CA,坡道平面,0,35.97
RPTPMLQLKHJFFCB97CA,坡道平面,0,
RPSPMLRJLHJFFCB87CA,坡道平面,0,
RPQRMLKLKHJFFCB27CA,坡道平面,0,
RPQRMLKLKHJFFCB27CA,坡道機械,0,
RPSPMLLLKHJFFCB37CA,坡道平面,0,
RPUSMLSKKHJFFCB48CA,坡道機械,0,
RPQNMLPKKHJFFCB27CA,坡道平面,0,22.57
RPSNMLNKKHJFFCB27CA,坡道平面,0,18.22
RPQNMLKLKHJFFCB86CA,坡道平面,0,
RPQNMLKLKHJFFCB86CA,坡道平面,0,
RPTOMLOKKHJFFCB57CA,坡道平面,0,
RPOQMLLKKHJFFCB96CA,坡道平面,0,25.80
RPOQMLLKKHJFFCB96CA,坡道平面,0,25.80
RPUPMLQLKHJFFBB97CA,坡道平面,0,
RPPQMLKKKHJFFCB96CA,坡道機械,0,
RPUPMLNKKHJFFCB67CA,坡道機械,0,
RPUPMLNKKHJFFCB67CA,坡道機械,0,
RPUPMLNKKHJFFCB67CA,坡道平面,0,
RPTVMLRKKHJFFBB48CA,坡道平面,0,
RPWQMLQLKHJFFBB28CA,坡道平面,0,
RPVQMLTKKHJFFBB38CA,坡道平面,0,
RPUPMLKLKHJFFBB37CA,坡道機械,0,
RPROMLLLKHJFFBB07CA,坡道平面,0,29.76
RPQRMLSKKHJFFBB87CA,坡道機械,0,11.57
RPORMLKKKHJFFBB86CA,坡道平面,0,13.25
RPXPMLLLKHJFFAB67CA,坡道平面,0,27.59
