編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLOJKHJFFCA37CC,大湖段二小段,.00,都市：商
RPRNMLOJKHJFFCA27CC,東湖段一小段,.00,都市：住
RPOPMLPJKHJFFBA17CC,臨沂段四小段,.00,都市：住
RPWOMLPJKHJFFBA87CC,圓環段一小段,.00,都市：商
RPWOMLPJKHJFFBA87CC,圓環段一小段,.00,都市：商
RPPPMLPJKHJFFBA27CC,臨沂段四小段,.00,都市：住
RPPNMLPJKHJFFBA07CC,市府段一小段,.00,都市：商
RPPNMLOJKHJFFEA27CC,芝山段二小段,.00,都市：住
RPVOMLPJKHJFFEA08CC,三玉段一小段,.00,非都市： ; 非都市編定：
RPSQMLPJKHJFFEA97CC,天山段二小段,.00,都市：住
RPVPMLPJKHJFFEA18CC,芝蘭段四小段,.00,都市：住
RPSPMLPJKHJFFEA87CC,芝山段一小段,.00,都市：住
RPROMLPJKHJFFDA57CC,三興段一小段,72.76,都市：住
RPUOMLPJKHJFFDA87CC,永春段一小段,.00,都市：住
RPWOMLPJKHJFFDA08CC,福德段三小段,.00,都市：住
RPOPMLPJKHJFFDA37CC,福德段三小段,.00,都市：住
RPXOMLPJKHJFFDA18CC,福德段三小段,.00,都市：住
RPSNMLPJKHJFFCA47CC,中山段四小段,.00,都市：商
RPPOMLPJKHJFFCA27CC,中山段三小段,.00,都市：商
RPXOMLPJKHJFFCA08CC,吉林段一小段,6.92,都市：商
RPPNMLPJKHJFFCA17CC,東湖段一小段,.00,都市：住
RPWOMLPJKHJFFCA97CC,長安段二小段,.00,都市：商
RPWOMLPJKHJFFCA97CC,長安段二小段,.00,都市：商
RPVNMLPJKHJFFCA77CC,中山段三小段,.00,都市：商
RPQPMLPJKHJFFCA47CC,長安段三小段,.00,都市：商
RPWNMLPJKHJFFCA87CC,榮星段六小段,.00,非都市： ; 非都市編定：
RPWNMLPJKHJFFCA87CC,榮星段六小段,.00,非都市： ; 非都市編定：
RPSOMLPJKHJFFCA57CC,文德段二小段,.00,都市：住
RPPPMLPJKHJFFCA37CC,長安段三小段,.00,都市：住
RPRPMLPJKHJFFCA57CC,吉林段四小段,.00,都市：商
RPOQMLPJKHJFFCA37CC,西湖段四小段,.00,都市：工
RPSPMLPJKHJFFCA67CC,康寧段三小段,.00,都市：住
RPWPMLPJKHJFFCA08CC,中山段一小段,.00,都市：商
RPWPMLPJKHJFFCA08CC,中山段一小段,.00,都市：商
RPQOMLQJKHJFFCA47CC,吉林段四小段,.00,都市：商
RPXPMLQJKHJFFCA28CC,長安段三小段,.00,都市：其他
RPXPMLQJKHJFFCA28CC,長安段三小段,.00,都市：商
RPXPMLQJKHJFFCA28CC,長安段三小段,.00,都市：商
RPQQMLQJKHJFFCA67CC,吉林段五小段,.76,都市：其他
RPRNMLQJKHJFFAA27CC,福和段二小段,.00,都市：商
RPSNMLQJKHJFFAA37CC,萬慶段一小段,33.33,都市：住
RPRQMLQJKHJFFCA77CC,吉林段五小段,.76,都市：其他
RPQRMLQJKHJFFCA77CC,西湖段四小段,106.74,都市：工
RPQRMLQJKHJFFCA77CC,西湖段四小段,106.86,都市：工
RPQOMLQJKHJFFFA77CC,復興段三小段,.00,都市：其他
RPOOMLQJKHJFFFA57CC,懷生段二小段,.00,都市：商
RPOOMLQJKHJFFFA57CC,懷生段二小段,.00,都市：住
RPXNMLPJKHJFFFA28CC,瑞安段二小段,.00,都市：住
RPQNMLQJKHJFFFA67CC,學府段一小段,42.00,都市：住
RPSNMLPJKHJFFFA77CC,通化段六小段,.00,都市：住
RPOPMLPJKHJFFFA57CC,瑞安段二小段,.00,都市：住
RPPOMLPJKHJFFFA57CC,仁愛段二小段,.00,都市：住
RPPOMLPJKHJFFFA57CC,仁愛段二小段,.00,都市：住
RPPOMLPJKHJFFFA57CC,仁愛段二小段,.00,都市：住
RPUOMLQJKHJFFBA77CC,中正段三小段,.00,都市：住
RPUOMLQJKHJFFBA77CC,中正段三小段,.00,都市：住
RPTPMLQJKHJFFBA77CC,臨沂段二小段,34.69,都市：住
RPQOMLQJKHJFFBA37CC,市府段一小段,.00,都市：其他
RPQOMLQJKHJFFBA37CC,市府段一小段,.00,都市：其他
RPQOMLQJKHJFFBA37CC,公園段一小段,.00,都市：其他
RPRNMLQJKHJFFDA57CC,三興段三小段,.00,都市：商
RPRNMLQJKHJFFDA57CC,三興段三小段,.00,都市：商
RPWOMLQJKHJFFDA18CC,信義段五小段,231.93,都市：商
RPQOMLQJKHJFFDA57CC,延吉段一小段,.00,都市：商
RPQOMLQJKHJFFDA57CC,延吉段一小段,.00,都市：商
RPQOMLQJKHJFFDA57CC,延吉段一小段,.00,都市：住
RPPOMLQJKHJFFDA47CC,敦化段一小段,.00,都市：商
RPXNMLQJKHJFFDA18CC,敦化段一小段,.00,都市：商
RPOPMLQJKHJFFEA57CC,光華段二小段,.00,都市：住
RPTNMLQJKHJFFEA87CC,光華段三小段,.00,都市：商
RPWOMLQJKHJFFEA28CC,天母段一小段,.00,都市：住
RPPSMLQJKHJFFEA97CC,蘭雅段一小段,.00,都市：住
RPPPMLQJKHJFFEA67CC,行義段三小段,.00,都市：住
RPWRMLQJKHJFFEA58CC,三玉段一小段,.00,都市：住
RPWRMLQJKHJFFEA58CC,三玉段一小段,.00,都市：住
RPUNMLRJKHJFFEA08CC,蘭雅段二小段,.00,都市：住
RPUOMLRJKHJFFEA18CC,奇岩段三小段,.00,都市：住
RPOPMLRJKHJFFEA67CC,文林段五小段,.00,都市：住
RPOPMLQJKHJFFDA47CC,信義段五小段,.00,都市：住
RPXPMLQJKHJFFDA38CC,敦化段三小段,.00,都市：商
RPXPMLQJKHJFFDA38CC,敦化段三小段,.00,都市：商
RPTOMLRJKHJFFCA87CC,金泰段,86.13,都市：住
RPWPMLRJKHJFFCA28CC,中山段二小段,6.15,都市：商
RPQQMLRJKHJFFCA77CC,中山段一小段,.00,都市：商
RPRQMLRJKHJFFCA87CC,中山段一小段,.00,都市：商
RPSQMLRJKHJFFCA97CC,中山段一小段,.00,都市：商
RPSNMLRJKHJFFEA97DC,蘭雅段二小段,.00,都市：住
RPRPMLRJKHJFFDA87CC,永吉段二小段,.00,都市：住
RPRNMLRJKHJFFDA67CC,三興段一小段,33.25,都市：住
RPXOMLRJKHJFFDA38CC,雅祥段四小段,.00,都市：商
RPOQMLRJKHJFFDA67CC,敦化段一小段,.00,都市：商
RPOQMLRJKHJFFDA67CC,敦化段一小段,.00,都市：商
RPOQMLRJKHJFFDA67CC,敦化段一小段,.00,都市：商
RPOQMLRJKHJFFDA67CC,敦化段一小段,.00,都市：商
RPOQMLRJKHJFFDA67CC,敦化段一小段,.00,都市：商
RPSNMLRJKHJFFDA77CC,玉成段一小段,.00,都市：工
RPRNMLSJKHJFFCA67CC,長安段四小段,9.58,都市：商
RPRNMLSJKHJFFCA67CC,長安段四小段,4.10,都市：商
RPSNMLSJKHJFFCA77CC,長安段一小段,10.19,都市：住
RPWNMLRJKHJFFBA97CC,市府段二小段,.00,都市：商
RPSOMLRJKHJFFBA67CC,公園段二小段,.00,都市：商
RPVPMLRJKHJFFBA08CC,臨沂段一小段,.00,都市：住
RPPOMLRJKHJFFBA37CC,市府段二小段,.00,都市：商
RPXNMLRJKHJFFFA48CC,復興段二小段,.00,都市：商
RPTNMLRJKHJFFFA08CC,懷生段四小段,.00,都市：住
RPTNMLRJKHJFFFA08CC,懷生段四小段,.00,都市：住
RPWNMLRJKHJFFFA38CC,大安段三小段,.00,都市：住
RPQOMLKKKHJFFBA86CC,成功段三小段,62.85,都市：商
RPVOMLKKKHJFFBA37CC,公園段二小段,15.55,都市：商
RPVOMLKKKHJFFBA37CC,公園段二小段,51.91,都市：商
RPWOMLKKKHJFFBA47CC,公園段二小段,.00,都市：商
RPQPMLKKKHJFFBA96CC,公園段一小段,.00,都市：其他
RPQPMLKKKHJFFBA96CC,市府段一小段,.00,都市：其他
RPQPMLKKKHJFFBA96CC,市府段一小段,.00,都市：其他
RPROMLKKKHJFFBA96CC,福星段三小段,136.00,都市：商
RPRPMLKKKHJFFBA07CC,公園段一小段,.00,都市：其他
RPRPMLKKKHJFFBA07CC,市府段一小段,.00,都市：其他
RPRPMLKKKHJFFBA07CC,市府段一小段,.00,都市：其他
RPPPMLKKKHJFFBA86CC,公園段一小段,.00,都市：其他
RPPPMLKKKHJFFBA86CC,市府段一小段,.00,都市：其他
RPPPMLKKKHJFFBA86CC,市府段一小段,.00,都市：其他
RPQPMLKKKHJFFDA17CC,雅祥段四小段,.00,都市：商
RPORMLKKKHJFFDA17CC,信義段五小段,.00,都市：其他
RPURMLKKKHJFFDA77CC,信義段三小段,.00,非都市： ; 非都市編定：
RPVRMLKKKHJFFDA87CC,信義段三小段,.00,非都市： ; 非都市編定：
RPQRMLKKKHJFFDA37CC,雅祥段三小段,.00,都市：商
RPQNMLKKKHJFFCA86CC,中山段三小段,.00,非都市： ; 非都市編定：
RPUNMLKKKHJFFCA27CC,中山段三小段,.00,非都市： ; 非都市編定：
RPRPMLKKKHJFFCA17CC,中山段一小段,34.24,都市：商
RPXOMLKKKHJFFCA67CC,東湖段二小段,.00,非都市： ; 非都市編定：
RPXPMLKKKHJFFCA77CC,榮星段二小段,.00,都市：商
RPUPMLKKKHJFFCA47CC,西湖段四小段,56.34,都市：工
RPUQMLKKKHJFFCA57CC,碧湖段三小段,.00,都市：住
RPOPMLKKKHJFFCA86CC,北安段三小段,25.53,都市：住
RPPNMLSJKHJFFEA67CC,三玉段三小段,117.00,都市：住
RPUPMLKKKHJFFEA67CC,大業段五小段,.00,都市：住
RPTPMLKKKHJFFEA57CC,文林段一小段,.00,都市：住
RPRNMLKKKHJFFFA27CC,通化段六小段,.00,都市：其他
RPQNMLKKKHJFFFA17CC,金華段二小段,.00,都市：商
RPXNMLLKKHJFFFA97CC,仁愛段六小段,76.60,都市：住
RPWNMLKKKHJFFFA77CC,仁愛段六小段,.00,都市：住
RPSOMLKKKHJFFFA47CC,復興段二小段,.00,都市：其他
RPSOMLKKKHJFFFA47CC,復興段二小段,.00,都市：其他
RPSNMLKKKHJFFFA37CC,辛亥段四小段,.00,都市：住
RPSNMLKKKHJFFFA37CC,辛亥段四小段,.00,都市：其他
RPTNMLLKKHJFFFA57CC,仁愛段一小段,.00,都市：住
RPTNMLLKKHJFFFA57CC,仁愛段一小段,.00,都市：住
