鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南投市,房地(土地+建物),南投縣南投巿永鳴路160巷1~30號,218.02,,山坡地保育區,丙種建築用地,1021231,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721228,133.34,3,2,3,有,無,3500000,26249,,0.0,0,,RPVNMLRJKHJFFAM78CA
南投市,土地,成功段511~540地號,139.85,住,,,1021226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2538000,18148,,0.0,0,,RPQNMLRKKHJFFAM38CA
南投市,房地(土地+建物),南投縣南投巿育樂路71巷1弄1~30號,105.0,住,,,1021229,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0770516,119.1,4,2,2,有,無,6280000,52729,,0.0,0,,RPVNMLTKKHJFFAM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮吉祥巷1~30號,100.08,住,,,1021119,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0630107,47.7,1,1,1,有,無,1800000,37736,,0.0,0,,RPRNMLNJLHJFFCM28CA
竹山鎮,房地(土地+建物),南投縣竹山鎮大義街121~150號,147.78,住,,,1030101,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1020131,279.98,6,3,4,有,無,10000000,35717,,0.0,0,,RPPNMLKKKHJFFDM87CA
鹿谷鄉,土地,鹿彰段1~30地號,137.97,住,,,1030111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2920000,21164,,0.0,0,,RPRNMLMKKHJFFDM28CA
竹山鎮,土地,鹿山段391~420地號,571.23,住,,,1030125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7290000,12762,,0.0,0,,RPSNMLRLKHJFFDM98CA
竹山鎮,土地,鹿山段391~420地號,36.29,住,,,1030125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,435000,11987,,0.0,0,,RPTNMLRLKHJFFDM09CA
竹山鎮,土地,鹿山段391~420地號,12.78,住,,,1020125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,11737,,0.0,0,,RPUNMLRLKHJFFDM56CA
